#contig	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
NODE_9_length_109007_cov_29.973566	228575.309279	53933.5440187	452853.256231	552647.886505	41820.605339	58427.6923431	151410.909766	306046.260104	496167.071684	435483.194765	131969.602849	397838.786513	205747.721517	147729.366921	203231.642309	278310.72157	626957.284293	122202.361707	38220.3832419	209144.79568
NODE_24_length_82296_cov_31.970282	225616.46404	88683.7479975	413836.732631	536883.420974	76452.2599528	86571.5574029	176659.055331	274007.237553	450270.34335	354192.052624	269925.134133	423507.871221	277348.08129	232989.608118	283304.806753	232544.600129	480506.109419	173128.492337	139874.434763	245371.037094
NODE_29_length_75266_cov_31.285663	184689.583384	66301.9945269	365584.117647	446630.78279	52360.1764764	54431.3048998	126267.697373	208370.261658	369566.79497	327205.459786	124812.854105	348551.471287	215239.981513	118391.008906	212378.991502	184871.563307	484805.973229	107120.936137	63903.7855487	190132.335968
NODE_33_length_71882_cov_28.253275	164946.677566	35297.6875661	264103.915327	331807.073199	29423.3382861	36736.9760852	81386.5006243	176834.320614	292776.494369	268539.045661	39400.9110785	226402.357198	94113.4179746	62797.788244	107262.646793	153407.934388	373697.647376	61738.8394252	13395.209645	120198.453013
NODE_50_length_63339_cov_6.317584	39295.5068029	239629.716757	244736.519568	342954.155355	57752.7324879	55882.2111989	32290.6408495	52676.9061407	70027.5906505	67678.9822592	120589.27999	147463.390924	126154.754503	120352.854595	111334.62394	57910.2451143	70478.5561803	52789.0630046	62225.424902	57157.5597818
NODE_80_length_55245_cov_29.121326	188751.600077	97925.1665281	272523.099128	348711.335786	78199.0201538	66751.1023767	150317.367501	241952.158789	302505.101032	271921.319429	187973.589266	315462.647741	264950.078354	138571.373666	221818.815814	173009.136834	348482.356302	103405.190895	77593.7343885	165638.588874
NODE_82_length_54436_cov_30.300969	119103.075593	33316.9381474	227698.000433	270437.576597	32869.3220949	17710.8357512	87106.219393	148698.431682	253471.57707	220385.861569	32491.9098848	190363.299244	80025.6136744	44773.4421445	82310.4323607	120056.290751	329663.740536	37094.0516183	16286.3297987	122749.768512
NODE_92_length_52907_cov_96.575948	1785985.40228	4628195.66131	555439.74328	503226.2874	3043313.01777	1767885.89985	3761214.31754	4625332.52638	2829499.46556	3151930.66567	180961.115903	338310.713548	480108.94522	298925.229807	334256.467169	137592.159494	194441.460318	119311.582386	206865.282308	151191.221726
NODE_98_length_52244_cov_31.368890	125874.363164	72758.5170644	261115.020256	291463.925445	44215.4671845	36792.1775108	109608.506151	177130.004815	271058.209954	231561.71906	159015.814449	285615.30243	194066.130187	129025.033205	195783.118088	158226.036552	355263.503057	97076.9814345	64816.1714818	156156.274258
NODE_108_length_51498_cov_35.672492	170038.489233	117627.188918	294409.628949	387335.729375	99845.2763877	54594.6030534	122400.972438	227522.984447	285811.144714	257790.122403	260343.292185	357755.299741	285566.17563	198610.468709	268408.552988	201198.797751	353924.486263	166624.603419	91200.8766703	203092.604551
