	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
NODE_17_length_89084_cov_7.877882	0.0	0.0	0.0	908.129595133	0.0	1359.57963005	1402.15768594	2697.45684331	1165.45773797	5043.68410288	3473.70550107	2134.05393844	345958.95809	1063.40435661	31051.2664743	1179684.95571	0.0	80755.2541438	2058513.52733	42807.0193121
NODE_32_length_72346_cov_8.080190	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2317.60216567	0.0	261023.856662	0.0	15036.4456768	998889.75128	950.862588674	57247.1951981	1748033.20998	27371.158119
NODE_61_length_59600_cov_7.851239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209734.385201	0.0	25082.7488291	814655.164226	951.731660842	40446.5041546	1295685.09093	39307.9742933
NODE_64_length_58113_cov_7.540218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3480.04018157	0.0	209764.171211	0.0	14048.1485741	764224.729424	0.0	46070.1256585	1275659.94778	32165.4024808
NODE_89_length_53543_cov_7.653455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2321.07481521	0.0	206309.195604	0.0	17065.8919003	691266.309977	1904.63334197	57332.5651037	1199838.88933	26220.8977028
NODE_105_length_51778_cov_8.478781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1160.75268986	0.0	204573.817773	0.0	15061.0218081	736423.972475	0.0	49473.0904283	1280260.32932	27418.260728
NODE_114_length_49850_cov_7.718185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174375.595455	0.0	10042.8945935	690653.796437	0.0	39362.6088168	1122383.83523	28617.0404288
NODE_125_length_48655_cov_8.142572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2322.3823812	0.0	186910.033709	0.0	16071.0198247	698699.927712	0.0	46117.5027866	1127334.9853	26236.3394318
NODE_126_length_48411_cov_8.260030	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	195766.436274	0.0	13058.0905078	643328.363019	0.0	41877.3804577	1130620.08964	25304.8149843
NODE_127_length_48308_cov_230.345533	1401019.72429	273758.642845	1204978.56949	1737948.78847	735056.704914	688458.756016	5350633.01374	3264966.43725	2543584.04945	3157444.21048	1486402.63971	1122695.93082	1701413.03433	808715.148153	2140552.05336	608627.505864	1276908.21396	385829.746053	417975.144746	892076.308718
NODE_171_length_42487_cov_7.840309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1162.2405563	1071.20581502	194172.093812	0.0	10053.3126757	540159.942911	953.75867747	47285.6992668	989630.356916	19098.8125666
NODE_194_length_40453_cov_228.227957	1085267.92233	234086.672346	1112101.99723	1512600.43744	603183.635839	552768.877363	4571237.95922	2660343.99204	2196847.45041	2714688.57918	1294622.82992	970897.257964	1545076.58079	656006.425849	1707656.17369	535919.298012	1090563.51662	299585.193585	337835.923683	673483.420196
NODE_196_length_40369_cov_7.779704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	140787.928971	0.0	19108.3263714	509776.104677	0.0	23651.8424405	881220.184889	7164.84626228
NODE_267_length_36970_cov_7.484546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144461.385493	0.0	8051.08684463	464593.150963	0.0	33812.0532376	816340.937345	11949.9255596
NODE_269_length_36790_cov_7.471077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135549.979623	0.0	12077.1026397	463927.547483	0.0	27050.745702	829581.880386	14340.4962554
NODE_273_length_36684_cov_8.003740	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2327.17287901	1072.51143067	135600.285195	0.0	11070.9306796	531027.898508	0.0	26294.1208024	842695.291469	19838.0590068
NODE_297_length_35752_cov_8.195647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1163.8511001	0.0	153192.750371	0.0	17816.3995404	476372.947508	955.116828076	32694.2684672	829382.714392	8671.53135584
NODE_312_length_35240_cov_7.439676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112408.440087	0.0	12081.4050831	449718.529631	0.0	22550.5959223	778146.46931	11954.9214823
NODE_333_length_34365_cov_8.235063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133851.708625	0.0	14098.0365948	505594.343663	0.0	38344.5543383	793757.293843	22719.5009353
NODE_348_length_33895_cov_223.381915	948182.369255	182730.784827	925738.617409	1281906.2535	498373.77403	446924.719349	3709510.49287	2230303.93546	1844989.19407	2292667.20957	1014176.99238	782416.485583	1270725.38743	539387.936731	1504642.68482	396728.917936	838985.442469	243630.955694	277751.053237	574038.810498
NODE_351_length_33776_cov_7.705228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1164.43038361	1073.30924101	126734.349151	0.0	3021.45621407	452532.255009	0.0	36094.6455902	748700.772149	14351.4512782
NODE_360_length_33507_cov_8.077873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1164.49959917	0.0	148165.930273	0.0	12086.7141344	477360.748271	0.0	25944.9146905	764130.470976	14352.5020132
NODE_361_length_33437_cov_8.061770	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139243.14538	0.0	13094.1793194	472055.281397	0.0	24817.3550362	778561.964671	10764.5834889
NODE_385_length_32748_cov_7.834338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3494.23614838	0.0	137486.741342	0.0	10074.3452547	440250.239283	0.0	31591.8602514	752745.624417	19140.8396774
