#contig	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
NODE_1_length_282097_cov_10.011800	266576.00253	3580291.26189	113429.417571	86935.9106281	495016.67621	390699.644824	211282.999709	1089137.11675	2560966.53325	1686063.94158	57759.9061294	51904.4712301	14180.3210789	15921.7921753	51094.1418562	505026.389651	209988.227518	147703.512407	34631.5048918	87256.2540174
NODE_2_length_268131_cov_10.228812	243857.780358	3405841.4046	115583.165655	74521.8592786	499828.6707	336453.643793	199956.931463	1028496.66824	2547783.78783	1628805.5736	64694.8578148	69128.9028024	31913.5772159	11666.4743983	63233.3425053	491216.66189	215262.284022	152222.414387	38192.0180087	106947.033649
NODE_3_length_204028_cov_8.747467	623534.837007	2080714.83215	657566.502884	743719.599683	742310.106073	860415.62605	213239.01069	259612.653641	679318.996392	536849.010278	16320.7724648	296035.29627	34034.4436611	117303.437493	64174.6472318	51952.0777841	76819.5677764	120719.824716	83220.3468368	75532.9771597
NODE_4_length_169276_cov_9.660367	125367.689214	2127301.92732	63165.6296396	41859.8404177	282131.26926	234849.707936	107810.284585	694762.784271	1541235.71322	988916.67124	35836.9474174	26630.3211408	3542.11640245	10613.8972477	16180.9908577	263020.071266	129554.388745	82863.3342832	16228.6230721	42736.0243626
NODE_5_length_134075_cov_21.502141	1564476.0077	475265.442133	54998.8776193	37182.5907434	895401.972351	11538553.3937	1305479.44656	876965.278623	862588.242154	1323890.91632	1156.53758639	0.0	3543.95035668	0.0	0.0	0.0	0.0	0.0	0.0	1187.73329965
NODE_6_length_132578_cov_13.547671	70011.748734	28897.7451075	130682.446504	124652.05763	30858.727485	13581.4899066	19615.4155785	176475.437275	43085.4265875	42536.7083522	780261.680229	904347.412005	209603.302152	1260908.77054	659649.594555	887575.434672	890245.169941	906457.526959	858740.353619	428955.34652
NODE_7_length_119489_cov_9.967639	109778.900204	1574897.50757	57307.8252044	42638.3551315	183283.976695	165733.300055	88268.0357651	433893.610756	1042093.49991	738725.830533	20824.1704955	15990.7275599	3841.57116939	4262.47141277	18014.4865903	211683.118586	99669.3920363	64444.0169329	11463.5389575	34452.6861021
NODE_9_length_109007_cov_29.973566	228575.309279	53933.5440187	452853.256231	552647.886505	41820.605339	58427.6923431	151410.909766	306046.260104	496167.071684	435483.194765	131969.602849	397838.786513	205747.721517	147729.366921	203231.642309	278310.72157	626957.284293	122202.361707	38220.3832419	209144.79568
NODE_10_length_104218_cov_16.693183	16904.683342	20366.8406558	33960.3603987	27213.7571446	25739.488289	16439.3440688	12626.5274207	9609.17960678	23894.9803541	19568.6569735	373061.788574	802644.799026	73058.9010666	873590.864271	795004.484944	993712.595795	958982.165593	869313.287725	844410.903422	618093.419377
NODE_11_length_102951_cov_23.208978	196114.033478	118377.952111	223600.70569	199682.76528	151422.228268	237823.799899	215845.910928	270962.696281	196869.448374	250041.379653	209483.688649	380743.201921	342239.640589	873626.954953	266320.589566	234242.378924	258299.942233	267938.228584	150038.26679	299507.85609
