	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Cell growth and death;Apoptosis	2194.95864956	2048.10584845	1848.93487307	1905.36327301	2087.12165679	2252.15250182	2211.83780284	2034.19094231	2102.78180913	2242.85607756	1416.1761978	1508.72164974	1659.03043111	1812.02536386	1597.8166448	1874.49131144	1872.93898712	1633.71413824	1549.96180151	1874.820704
Cell growth and death;Cell	10247.0960492	10047.2963625	10553.7709699	11043.8571698	9988.44754968	9090.43924715	14912.8478612	14359.1603372	12379.8920102	13132.2671052	16846.4099977	16389.2488866	18844.2315395	16318.9477514	15939.6392578	11351.5951954	11007.7856645	12015.9544929	12112.2146779	12338.2221682
Cell growth and death;Ferroptosis	9838.90665272	9950.93996983	10773.240611	10395.1510381	9746.69013832	9603.82905461	7856.5008392	8786.71799529	9353.82672052	9041.98197656	9166.03201746	9000.33330061	8501.92834197	9117.58557442	9132.10620727	9118.54387868	10382.913586	8862.21478909	9734.53842599	9637.96489599
Cell growth and death;Meiosis	669.660976722	1009.96114019	735.570650752	861.299489977	866.571824501	657.261789119	1477.95181579	1489.53863037	988.090156441	1199.33744318	1318.63091734	1711.95249411	1689.51920697	1809.97806368	1645.0000125	830.517188427	862.684574247	795.005709484	921.714282015	899.955279855
Cell motility;Flagellar	730.845226258	626.849409878	862.397519695	997.032008372	618.557092396	297.132130225	1025.4631913	1254.23523028	1170.5369447	1101.88641115	1626.30609375	1903.80800757	1701.97209355	1513.8217292	1397.39811876	614.385976334	1029.08562269	604.311670431	691.898501508	919.391045266
Cellular community - eukaryotes;Tight	1813.91630113	1995.21631969	1627.26873505	1655.97370036	1877.94537488	2210.8551201	1522.77625119	1638.8397912	1843.12784846	1755.54632161	1239.74686864	1315.69228013	1300.76347897	1415.57106907	1292.04904937	2016.94893539	1623.13684555	1854.72243758	1482.71705567	1721.51301044
Cellular community - prokaryotes;Quorum	141223.914362	142366.473726	150459.322234	145930.152968	144900.669924	143493.985397	131516.775714	136024.382834	137277.70486	134841.253327	118356.153116	121264.209558	116180.161354	126940.24968	121108.608369	138809.324642	140245.584067	140699.587868	140955.218613	143717.598659
Folding, sorting and degradation;Proteasome	11309.911688	11511.8389381	9817.23968146	9903.39152044	11454.6202493	12438.0456251	8872.67993102	8891.0821795	10164.053653	9511.62644567	7564.83204916	8490.3993859	7833.29257103	9469.67525883	7741.8736238	10321.0833732	10613.6830004	10657.7293486	9341.95118089	9784.76498993
Folding, sorting and degradation;RNA	16723.6800598	16148.1338174	16265.9410843	16722.420263	16526.4235918	14575.3366349	22323.4933763	21375.0103545	18799.9483619	19615.3089975	24800.5061411	24174.0012239	26166.7143051	22623.8805472	24304.2032796	17242.4840566	16971.0563409	18145.5157639	18040.0966385	18128.2188076
Folding, sorting and degradation;Sulfur	17552.8927729	16830.7091259	17397.7820471	17686.4384033	17264.3155703	17349.1482808	17125.9491428	17307.8994343	17605.7695564	17583.8057951	17825.1173595	19135.9955676	18200.3121698	18109.2713172	18724.8537064	20090.3816551	19332.6489667	19041.4999512	19110.862336	17857.9540905
Membrane transport;ABC	150769.376116	140775.746157	154846.164622	151471.962386	149045.653106	150515.311282	152595.881235	150192.032575	149001.94178	148439.926524	139045.888951	139616.635161	140144.4227	143535.787819	141807.300544	148015.110808	148641.439991	147908.097999	152105.84929	151594.33394
Membrane transport;Bacterial	20582.9345679	20802.0416917	20695.2255766	22335.4051826	20476.2568738	18718.9090898	22994.9295053	23166.5974842	21938.1592577	21909.0733301	25355.677684	25281.2232535	26748.2248713	24497.5523525	26300.7651245	21373.9525053	21580.5404725	22958.0764215	22125.1172263	21842.3805465
Membrane transport;Phosphotransferase	2198.75919605	1726.31716807	2060.41841123	2110.85521216	2040.9162946	2372.07483191	2193.98375783	2340.61350172	2307.17201328	2293.89156671	3386.46613194	2992.93828671	3173.07134699	2808.4528303	2902.79493393	2637.08101556	2383.80425278	2617.59535591	2404.62235361	2764.06567342
Replication and repair;Base	22017.8248441	23307.0341239	22545.2718007	22647.4597515	22242.16995	22299.2198288	20415.8761341	20944.7263595	21921.8966714	21815.2200696	21318.3722702	22120.8159323	21618.1992941	21285.4326285	21550.4306553	22943.9182146	23068.9471157	23163.1327433	21994.8845335	21990.8401067
Replication and repair;Homologous	14495.8108625	14371.4615378	15540.8085235	16355.0068064	14142.3467476	11740.3584523	21798.2198528	20770.2343327	17821.0033066	18807.4266445	34835.2901562	26793.9972607	30400.0537127	23358.456575	27543.2385251	15402.6525077	15392.7157374	16502.5176018	18791.7780804	18704.8430172
Replication and repair;Mismatch	31328.578921	31377.1653692	32851.2500783	33044.4431653	31462.294866	30259.6159233	33161.9488932	32581.291482	32187.044559	33092.4464792	43861.1933397	38216.9589201	39329.0539742	35405.4122897	38462.1661382	33205.982086	32594.465963	33403.1387428	35102.9670152	34379.269923
Replication and repair;Non-homologous	2279.20406633	2448.05599078	2755.6438289	2711.87243009	2258.5535831	2275.33694011	1651.38121151	1772.91471011	2284.62124577	2174.3844385	1936.46232878	1758.30555313	1663.81737449	1886.33991832	1648.55421028	2237.78894623	1938.86949681	2246.94994934	2219.9742051	2211.71326551
Signal transduction;AMPK	8731.4918621	8981.35549441	9475.90435343	9251.05043776	9306.42190986	8492.57121417	8952.17936774	9338.85392871	9058.76325451	8967.96451084	9640.33452678	10115.9476091	10227.9981248	10051.2393104	10224.1572379	9379.5011273	9845.05631527	9072.19425321	8625.09591726	9403.74548089
Signal transduction;Apelin	1670.12584492	1745.72022587	1748.43967634	1658.51331038	1721.98950578	1718.29074481	1140.06330124	1317.53375774	1441.55892541	1404.63403763	1050.58985767	1219.55225538	1066.78650706	1518.14361031	1077.08925678	1551.8619792	1555.17965781	1512.60498691	1364.33182179	1387.71197896
Signal transduction;FoxO	3076.39397531	2698.2178971	2447.62421978	2609.10077014	2925.90179553	3524.34287676	3788.43862979	3282.14775776	2969.00614587	3285.36434822	3313.35382049	2986.83815962	3526.81771407	2921.9316707	3271.23233186	2226.46785749	2341.67291026	2136.95566473	2232.75705458	2228.93423799
Signal transduction;HIF-1	13834.1553966	13541.2406428	14539.2945	14239.9515313	13158.0908284	14049.8127382	14401.5619776	14608.95918	14011.6818037	14089.5985205	14116.0604709	14311.4498274	13869.8409855	14287.247826	14139.18848	15152.9436914	15163.9485275	14961.8150725	14456.6088341	14938.4083298
Signal transduction;MAPK	7794.51572726	6852.40237325	6431.75057517	6606.00173396	7530.2537166	8288.51378983	8382.09251177	7700.53740512	7251.43218163	7540.47134175	6852.70046994	7097.26587005	7468.40645377	7113.14244069	7242.25095592	6154.49953747	6142.13771606	5941.65225064	6104.55945534	5903.25653023
Signal transduction;PI3K-Akt	1789.8465854	1938.88746923	1859.21725995	1802.79173759	1814.41680919	1800.30974398	1568.54647819	1620.66831479	1707.14133147	1707.95119448	1296.02050869	1421.90051248	1283.31874112	1758.88158117	1317.41039594	1761.96242537	1757.85600634	1652.40925203	1561.43497043	1505.17119886
Signal transduction;Phosphatidylinositol	4315.3718618	4396.73028874	4842.4789413	4944.28765687	4291.48134506	4184.44236273	5370.78960156	5060.17555681	4570.13444154	4778.22974521	5344.07585412	5355.71188768	5384.80150989	5389.47455474	5353.9243286	4819.01185896	4806.09979114	4361.89691667	4358.78676658	4636.90508694
Signal transduction;Two-component	47026.9700512	44960.8215673	49930.7340493	50415.2662164	46166.8535696	46349.1681908	54187.2746293	53449.4433159	49771.7469156	51820.492229	54459.4370958	55157.4785192	54116.3927611	52076.6061953	55823.4074222	48971.1056288	49460.282196	48515.5849888	49509.4884255	50227.9819575
Signal transduction;cAMP	222.606047812	184.462496775	242.171926144	248.276388493	180.877693204	135.859484098	272.204249656	288.318293251	237.801884564	242.047935929	518.510640155	611.591214271	628.017952297	587.656973582	657.291481415	286.527356004	267.805589864	288.446295411	316.741805546	318.90606273
Signal transduction;mTOR	1696.85011628	1757.07586195	1764.81148304	1676.84293717	1744.02758607	1747.01563056	1189.24076154	1355.61434334	1460.87628103	1457.62477906	1084.4094147	1263.88233999	1113.00725749	1655.43726095	1117.12749434	1576.81566209	1584.59518126	1557.5668616	1385.33262741	1423.61414644
Transcription;Basal	22811.2735954	23627.3249463	22471.0294824	22705.3843754	23083.1570811	25896.3967903	18640.1124011	20111.9406417	22389.5004224	21723.0990903	15274.4975942	17735.890363	15502.0661598	19369.6344141	17049.478916	23911.8958875	23280.9120052	23450.9230932	22071.966443	22040.5705631
Translation;Aminoacyl-tRNA	60323.3474477	64587.4684884	60396.4215653	60274.4680987	60830.3627828	61349.6280894	62515.7528916	62601.8680641	62997.5243355	62788.421252	64061.8026145	65186.086021	64986.5237977	63699.8727979	66023.5581422	63634.6142439	63098.1600322	63870.337153	63129.3463382	62587.7203009
Translation;RNA	28420.1776992	30412.7283746	27273.9740833	26987.6196887	28706.923266	29942.1961132	22870.4270894	23326.5562628	26384.0096344	25415.6915234	21742.5725854	23143.3745089	21724.1248045	24909.3517605	22676.5158616	29082.5634827	28023.4010155	28277.7324341	27608.20289	26836.0549415
