	SG1-TOP-2017-02mt-9am-DNA-10	SG1-TOP-2017-02mt-9am-DNA-3	SG1-TOP-2016-02mt-9b	SG1-TOP-2017-02mt-9am-DNA-6	SG1-TOP-2017-02mt-9am-DNA-9	SG1-TOP-2014-09-5	SG1-TOP-2014-09-7	SG1-TOP-2017-02mt-9am-DNA-1	SG1-TOP-2017-02mt-9am-DNA-12	SG1-TOP-2016-02mt-17b	SG1-TOP-2017-02mt-8pm-DNA-1	SG1-TOP-2017-02mt-9am-DNA-11	SG1-TOP-2016-02mt-13a	SG1-TOP-2017-02mt-9am-DNA-2	SG1-TOP-2014-09-2	SG1-TOP-2014-09-1	SG1-TOP-2017-02mt-8pm-DNA-3	SG1-TOP-2017-02mt-8pm-DNA-2	SG1-TOP-2015-06-3	SG1-TOP-2016-02mt-3-1	SG1-TOP-2014-09-9	SG1-TOP-2017-02mt-9am-DNA-5	SG1-TOP-2015-06-8	SG1-TOP-2016-02mt-1-2	SG1-TOP-2014-09-10	SG1-TOP-2014-09-6	SG1-TOP-2015-06-9	SG1-TOP-2017-02mt-9am-DNA-8	SG1-TOP-2017-02mt-9am-DNA-7	SG1-TOP-2015-06-7	SG1-TOP-2016-02mt-10-1	SG1-TOP-2014-09-8	SG1-TOP-2017-02mt-9am-DNA-4	SG1-TOP-2015-06-6	SG1-TOP-2016-02mt-2-2	SG1-TOP-2014-09-3	SG1-TOP-2017-02-9am-1	SG1-TOP-2015-06-1	SG1-TOP-2016-02-1a	SG1-TOP-2016-02mt-17a	SG1-TOP-2016-02mt-13b	SG1-TOP-2016-02-17a	SG1-TOP-2016-02-9b	SG1-TOP-2016-02mt-1a	SG1-TOP-2016-02-9a	SG1-TOP-2016-02-13a	SG1-TOP-2015-06-2	SG1-TOP-2016-02-1b	SG1-TOP-2015-06-4	SG1-TOP-2014-09-4	SG1-TOP-2017-02-9am-2	SG1-TOP-2016-02mt-1b	SG1-TOP-2016-02-17b	SG1-TOP-2016-02-13b	SG1-TOP-2015-06-5
SG1-TOP-2017-02mt-9am-DNA-10	0.0	0.0418921046119	0.129895865718	0.0293181053001	0.041751572294	0.0660817148523	0.0526067951443	0.0276703676269	0.0404502161895	0.12982011394	0.0398166951015	0.0341375276565	0.11270326804	0.0319872582652	0.0891036499439	0.0725249585583	0.0365660702642	0.0270765232816	0.0474037686843	0.0970235475328	0.0649384685403	0.0320681594225	0.0740625501432	0.125837716534	0.0842787879389	0.0652323442634	0.066548660024	0.0294780120138	0.0400747192027	0.0674741608052	0.103708115032	0.0693135737963	0.0611179526544	0.0481379231273	0.103673774399	0.0500262300569	0.0505543294018	0.0819518477694	0.106296522524	0.115692749639	0.0947864225185	0.127687945504	0.173875197131	0.097047801174	0.0767419968526	0.129198897204	0.0710252503857	0.125010969009	0.0872456872806	0.0551051250548	0.0481577004848	0.100973022027	0.135945460559	0.110958469635	0.0678587133451
SG1-TOP-2017-02mt-9am-DNA-3	0.0418921046119	0.0	0.106836741146	0.0431526857102	0.0296627019959	0.0627706546624	0.0641876400436	0.048016109398	0.0347658545439	0.111486461386	0.0356972660349	0.0555127872882	0.0933536882727	0.0480906862442	0.107704055286	0.0736251740684	0.0550286731813	0.0385053132619	0.0646762355526	0.0841733717266	0.0883695601716	0.0261591579165	0.0976721138815	0.112013003715	0.07590352604	0.0623410977042	0.0576806245143	0.0472898978659	0.0292702507062	0.064616946575	0.0891126034831	0.0563478233518	0.0340378231907	0.0663085478351	0.0830412359064	0.0777285536853	0.0370177599618	0.103611154544	0.083055431307	0.0967834933199	0.08186033209	0.106379813643	0.150113882418	0.0766395016371	0.0572437996908	0.111150805767	0.0653024470266	0.106931387573	0.0774956746982	0.0614178954917	0.065683137734	0.0839004255732	0.120315510477	0.0967691681486	0.0597715854587
SG1-TOP-2016-02mt-9b	0.129895865718	0.106836741146	0.0	0.131727139453	0.115235582707	0.126465581244	0.145843057607	0.133695091183	0.117996800106	0.0414302755578	0.120534790385	0.146456264989	0.0394846870152	0.139793176822	0.179320580374	0.145917495728	0.146717049506	0.131480962662	0.138543785617	0.0565862791764	0.168867724812	0.116867635194	0.1820238855	0.0382239613695	0.127018495173	0.127097265309	0.126938970601	0.135245327457	0.112031302474	0.132921501057	0.0559862727471	0.130149972433	0.0865414703425	0.139420828719	0.0482720365826	0.156227237353	0.113167572824	0.186845156933	0.0621876108833	0.0402579779832	0.0495470878585	0.0409870102298	0.0572323510774	0.0471282374758	0.0898871452068	0.0388677937286	0.131958858283	0.0412739354019	0.130915760837	0.136627120364	0.151188710873	0.0543923164132	0.0508333914553	0.0470358534374	0.127373712224
SG1-TOP-2017-02mt-9am-DNA-6	0.0293181053001	0.0431526857102	0.131727139453	0.0	0.0366220804418	0.0662866316491	0.049749519374	0.0232663189362	0.0380370005934	0.132117492107	0.0347993691172	0.029698956962	0.116008496623	0.0259908058757	0.0915419066234	0.0774019494113	0.0303087267945	0.0207738885443	0.0531094204322	0.0997190302514	0.0679937630825	0.0342709354399	0.0718744435474	0.128712004079	0.0898062300279	0.0652041524222	0.0717260274045	0.028477556209	0.037498881649	0.0750541012874	0.109939331033	0.0586762891055	0.0579119418118	0.0520694415781	0.0987290809452	0.0538234921389	0.0507534180124	0.0816467720549	0.110586144502	0.114028092678	0.0990615864258	0.125691027891	0.174772010824	0.100147509508	0.0751809957843	0.133476242528	0.0779507044716	0.125961870346	0.0936048621939	0.0567266070999	0.0438379752878	0.102525787854	0.139541724881	0.113471662238	0.0761475353677
SG1-TOP-2017-02mt-9am-DNA-9	0.041751572294	0.0296627019959	0.115235582707	0.0366220804418	0.0	0.0581952912695	0.0569217945412	0.0403533256997	0.0262195677717	0.117337887758	0.0256608803527	0.0465123152598	0.0991531072515	0.0412147951945	0.110359363893	0.073907893157	0.0495495390467	0.0348931935619	0.0633365648243	0.0833782835487	0.0862385418925	0.0270567349944	0.0923522071329	0.113568125059	0.0810033413548	0.05766781845	0.0651831359775	0.0373857853449	0.0287106956913	0.069962880704	0.0954829367615	0.0564356474198	0.0424525211483	0.064450471182	0.0858805965849	0.0734317278912	0.0381469736842	0.10243220343	0.0948902842584	0.0966739785524	0.0822903015656	0.108687643125	0.157737756516	0.0838221661914	0.0632443142322	0.11458065779	0.0705806248086	0.112962194889	0.0837826963104	0.0602258871746	0.0609687732856	0.0891688582835	0.123609015285	0.0974489216942	0.0675741029485
SG1-TOP-2014-09-5	0.0660817148523	0.0627706546624	0.126465581244	0.0662866316491	0.0581952912695	0.0	0.04382780354	0.0713954216456	0.0593854854744	0.11894187705	0.0644824859372	0.0755674126363	0.107273374577	0.0735981381345	0.109532114639	0.0587618399565	0.0689808489722	0.0664254579593	0.0652516914442	0.087026924952	0.0775691923867	0.0564787995011	0.0903249869334	0.119463740975	0.0485416006056	0.0277919904988	0.0623652969743	0.0705806803782	0.0622921002843	0.0615161176935	0.0941840098375	0.0426974275477	0.0586494862497	0.0660777388634	0.0951781882698	0.0633490086403	0.0552236984522	0.0906060500428	0.100952924173	0.105767370146	0.0913263491851	0.113372560835	0.164914794509	0.0956785623015	0.0636219932295	0.118597691407	0.0672118419804	0.107276340179	0.060614521159	0.0443356343773	0.0754958948061	0.0886043666255	0.122623746068	0.100594293284	0.0602036751162
SG1-TOP-2014-09-7	0.0526067951443	0.0641876400436	0.145843057607	0.049749519374	0.0569217945412	0.04382780354	0.0	0.054417318584	0.0602421240809	0.140027424482	0.0559297058824	0.0589637371795	0.126848347372	0.0525826312825	0.0911890021111	0.0474585665107	0.0506501082061	0.0500629496553	0.0485169607137	0.10797285114	0.0517138071429	0.0502508527247	0.0644699106934	0.13932843337	0.0632753475936	0.0373861593846	0.060894008663	0.0506642114604	0.0541881144948	0.0547947501859	0.114117953264	0.0481089466883	0.0757976421569	0.0497104000301	0.112373675351	0.0430130474744	0.0622129312801	0.0644451211159	0.119743073657	0.126217522788	0.112390965128	0.132793083529	0.18488849909	0.115157406701	0.0808498285428	0.140838826357	0.0614055211194	0.12694020029	0.0592869237071	0.0328178661599	0.0552936202545	0.108297057307	0.141705346399	0.120706038442	0.0601411490532
SG1-TOP-2017-02mt-9am-DNA-1	0.0276703676269	0.048016109398	0.133695091183	0.0232663189362	0.0403533256997	0.0713954216456	0.054417318584	0.0	0.0397864622615	0.136807821361	0.0375972008181	0.0310229320592	0.11987318249	0.0263069182843	0.094076090821	0.0850158840597	0.0327398170492	0.0276379788588	0.0571377158251	0.102475330304	0.0728123086069	0.0357588343218	0.0736337302338	0.131816369308	0.0967716494162	0.0719833392145	0.0748770750626	0.0314287271058	0.040163678261	0.0782581221798	0.111402613132	0.0645774883566	0.0603889442966	0.0544985312332	0.103710084975	0.0560165896739	0.0569719209316	0.0858488203917	0.115124333038	0.115877427199	0.101948939074	0.129290187031	0.177610524714	0.105701942065	0.0804820167178	0.137680786617	0.0837919245891	0.13050073022	0.0975431580099	0.0608495893567	0.0442261601283	0.107525814775	0.142861559723	0.117701486877	0.0778038031279
SG1-TOP-2017-02mt-9am-DNA-12	0.0404502161895	0.0347658545439	0.117996800106	0.0380370005934	0.0262195677717	0.0593854854744	0.0602421240809	0.0397864622615	0.0	0.117938132239	0.0253318181818	0.0514165976162	0.101349462913	0.0448362953247	0.11120059145	0.0764351704545	0.0539963062141	0.036152792378	0.0628562337333	0.0864157510483	0.0893597290179	0.0284414345214	0.0945822621068	0.1124716096	0.0821640447443	0.0618147620123	0.0665863491611	0.0389163798299	0.0367152289127	0.0721986110905	0.0973203479636	0.0615897650175	0.0467724768519	0.0641556555408	0.087080015491	0.0709457761549	0.0431730418386	0.103419505425	0.0974703097662	0.10177947546	0.0822627630455	0.113938176253	0.161378362999	0.0869650135325	0.0673264453125	0.118912295949	0.0739759104491	0.114526023382	0.08604890625	0.0597664299508	0.0652454494958	0.0896434951303	0.126268311624	0.0966335677253	0.0687088573491
SG1-TOP-2016-02mt-17b	0.12982011394	0.111486461386	0.0414302755578	0.132117492107	0.117337887758	0.11894187705	0.140027424482	0.136807821361	0.117938132239	0.0	0.122661392774	0.145277500699	0.0434334891299	0.14315786788	0.177871776921	0.13932034965	0.144681177877	0.13067018496	0.128802937164	0.0576026681785	0.164543566034	0.116045217888	0.177011849998	0.0350696397019	0.120320843531	0.123497000081	0.120765523147	0.135390380964	0.118465403604	0.126118620013	0.0585449628632	0.125746029629	0.0941548493913	0.136030998594	0.057302562716	0.152886833352	0.108037587083	0.183857768433	0.0642644905095	0.0514786104123	0.0496258258318	0.0479149404712	0.0662006486855	0.0515434192815	0.0884558085664	0.0433510475558	0.124814310349	0.0447550295479	0.122031864997	0.132974102728	0.147432937683	0.054830181515	0.036037598478	0.0456465586109	0.119880400665
SG1-TOP-2017-02mt-8pm-DNA-1	0.0398166951015	0.0356972660349	0.120534790385	0.0347993691172	0.0256608803527	0.0644824859372	0.0559297058824	0.0375972008181	0.0253318181818	0.122661392774	0.0	0.0428075851399	0.104931839311	0.038243928201	0.106386334052	0.0781960700758	0.0451957979928	0.030053134953	0.0632042030172	0.0870827634573	0.0870093534632	0.0252398473511	0.0909787883052	0.115109111485	0.087382405303	0.0628768476309	0.0668496904032	0.0361039783923	0.0336430687045	0.0729451408337	0.0967736451863	0.0565206907135	0.0467574638047	0.0622414981255	0.0879061794797	0.0698426049901	0.0391219911378	0.0997922487542	0.0988738347763	0.103910457174	0.0856329537242	0.115843587619	0.163618465714	0.0882944732616	0.0663395549242	0.120585615015	0.0740315864566	0.117012515792	0.088940262228	0.0599476068267	0.0577498629916	0.0925667910042	0.127749106385	0.100119041672	0.0706620268256
SG1-TOP-2017-02mt-9am-DNA-11	0.0341375276565	0.0555127872882	0.146456264989	0.029698956962	0.0465123152598	0.0755674126363	0.0589637371795	0.0310229320592	0.0514165976162	0.145277500699	0.0428075851399	0.0	0.130389640886	0.0250765663156	0.0876579609957	0.0856214884324	0.0242727810444	0.0296156695264	0.0595959154068	0.1111330995	0.0647082952381	0.0455725985556	0.0694167067414	0.141762799937	0.0960746567599	0.0745183365051	0.0789573446269	0.0294313975496	0.0436447629467	0.081284509029	0.120702621086	0.0691754407146	0.0712354951567	0.0604785220408	0.111840303009	0.057353538364	0.055682429463	0.0773102995996	0.122400878277	0.126302392446	0.112624132222	0.139830910982	0.188891853886	0.113675703423	0.0852442728438	0.14475095815	0.0850341309221	0.139258194294	0.100926597539	0.0669880837943	0.045603341353	0.11641427398	0.149815377153	0.127024194524	0.0844139604417
SG1-TOP-2016-02mt-13a	0.11270326804	0.0933536882727	0.0394846870152	0.116008496623	0.0991531072515	0.107273374577	0.126848347372	0.11987318249	0.101349462913	0.0434334891299	0.104931839311	0.130389640886	0.0	0.12442174106	0.162365915885	0.127030156733	0.129823974566	0.114687627235	0.117761174041	0.0427038913158	0.149665603628	0.0996262282617	0.161921633824	0.0420742726967	0.108745096307	0.11008324866	0.111055921934	0.118467162874	0.101736304585	0.115140973445	0.0452871482796	0.11154621287	0.0783305566893	0.122020629376	0.0382034896574	0.138367324848	0.093888336863	0.167883107367	0.0504616161616	0.0366564572533	0.0357257412016	0.0404764166915	0.0795648353964	0.0336538967328	0.0723704115131	0.0304358928674	0.118258204406	0.0372082417042	0.119172613226	0.118482673794	0.132986887273	0.0409699748838	0.0451126954128	0.0338853131292	0.110919801393
SG1-TOP-2017-02mt-9am-DNA-2	0.0319872582652	0.0480906862442	0.139793176822	0.0259908058757	0.0412147951945	0.0735981381345	0.0525826312825	0.0263069182843	0.0448362953247	0.14315786788	0.038243928201	0.0250765663156	0.12442174106	0.0	0.0892052121469	0.0820136646743	0.0248934040841	0.0278935096959	0.0581373365914	0.109945653226	0.0655099987621	0.0381518358043	0.0700810770829	0.136812589205	0.0932496466342	0.0696255477304	0.0777390870613	0.0215301503359	0.0381330398885	0.078935612883	0.119730273744	0.068311120115	0.0627546899673	0.0582097325618	0.108570782673	0.0554875807918	0.0575992070512	0.079520061551	0.118615638897	0.122639430163	0.106293887887	0.13559021452	0.182752513155	0.108291542201	0.0849372628309	0.140753465293	0.08137522675	0.136850077013	0.0983485468984	0.0651158933022	0.0464150487051	0.112810708202	0.148600779188	0.122011881568	0.0820225157232
