	SG1-TOP-2017-02mt-9am-DNA-10	SG1-TOP-2017-02mt-9am-DNA-3	SG1-TOP-2016-02mt-9b	SG1-TOP-2017-02mt-9am-DNA-6	SG1-TOP-2017-02mt-9am-DNA-9	SG1-TOP-2014-09-5	SG1-TOP-2014-09-7	SG1-TOP-2017-02mt-9am-DNA-1	SG1-TOP-2017-02mt-9am-DNA-12	SG1-TOP-2016-02mt-17b	SG1-TOP-2017-02mt-8pm-DNA-1	SG1-TOP-2017-02mt-9am-DNA-11	SG1-TOP-2016-02mt-13a	SG1-TOP-2017-02mt-9am-DNA-2	SG1-TOP-2014-09-2	SG1-TOP-2014-09-1	SG1-TOP-2017-02mt-8pm-DNA-3	SG1-TOP-2017-02mt-8pm-DNA-2	SG1-TOP-2015-06-3	SG1-TOP-2016-02mt-3-1	SG1-TOP-2014-09-9	SG1-TOP-2017-02mt-9am-DNA-5	SG1-TOP-2015-06-8	SG1-TOP-2016-02mt-1-2	SG1-TOP-2014-09-10	SG1-TOP-2014-09-6	SG1-TOP-2015-06-9	SG1-TOP-2017-02mt-9am-DNA-8	SG1-TOP-2017-02mt-9am-DNA-7	SG1-TOP-2015-06-7	SG1-TOP-2016-02mt-10-1	SG1-TOP-2014-09-8	SG1-TOP-2017-02mt-9am-DNA-4	SG1-TOP-2015-06-6	SG1-TOP-2016-02mt-2-2	SG1-TOP-2014-09-3	SG1-TOP-2017-02-9am-1	SG1-TOP-2015-06-1	SG1-TOP-2016-02-1a	SG1-TOP-2016-02mt-17a	SG1-TOP-2016-02mt-13b	SG1-TOP-2016-02-17a	SG1-TOP-2016-02-9b	SG1-TOP-2016-02mt-1a	SG1-TOP-2016-02-9a	SG1-TOP-2016-02-13a	SG1-TOP-2015-06-2	SG1-TOP-2016-02-1b	SG1-TOP-2015-06-4	SG1-TOP-2014-09-4	SG1-TOP-2017-02-9am-2	SG1-TOP-2016-02mt-1b	SG1-TOP-2016-02-17b	SG1-TOP-2016-02-13b	SG1-TOP-2015-06-5
SG1-TOP-2017-02mt-9am-DNA-10	0.0	0.215789746807	0.300228177489	0.237565539302	0.201180951492	0.351031893966	0.31853096371	0.197521465876	0.242174054988	0.291290160033	0.193615025358	0.220458981452	0.280386004729	0.19698050136	0.556125583385	0.389446764463	0.237335159356	0.201252209018	0.338692667648	0.272944070372	0.35495515804	0.197464074387	0.34314398649	0.294202527273	0.376944722503	0.334928898505	0.39563486436	0.189093136146	0.221681182558	0.383535204743	0.26707814706	0.37520801113	0.235201114322	0.371781061	0.309527762847	0.349137044676	0.336199537575	0.41815819071	0.337419635008	0.313709828758	0.254783235624	0.345955940906	0.382792218639	0.283594572141	0.358162892929	0.314053114676	0.40666457724	0.318250052735	0.4229107808	0.362439993721	0.376468324408	0.299023181789	0.313388914145	0.318255595895	0.372015944635
SG1-TOP-2017-02mt-9am-DNA-3	0.215789746807	0.0	0.285778666516	0.23070256023	0.241283807457	0.393888565471	0.336981283781	0.235366891044	0.224412299641	0.303470999208	0.265657896461	0.2736858037	0.264072500817	0.204391558303	0.57914584469	0.435322391067	0.257704576623	0.221360707142	0.365691571952	0.301618866207	0.391663495114	0.218226668178	0.386391492447	0.338815925263	0.409182210588	0.370275048829	0.424170268884	0.241918581217	0.202807188599	0.411329457123	0.311841611009	0.395607290795	0.203993191486	0.377399016701	0.275425521135	0.384693882472	0.365471735979	0.453469164912	0.353108216181	0.263497072538	0.284306372392	0.324475615223	0.376253852955	0.306723392199	0.404537318493	0.366696457149	0.424303615556	0.352574785131	0.439096168848	0.38007731016	0.403608291349	0.283218926967	0.365802183646	0.311409816304	0.398305911282
SG1-TOP-2016-02mt-9b	0.300228177489	0.285778666516	0.0	0.316820661977	0.330954382704	0.460189979676	0.389381985051	0.307294978769	0.312457236776	0.311626061665	0.326573962331	0.320460557781	0.314371497274	0.332398813054	0.584204751678	0.445599968168	0.340994741877	0.304062688962	0.400219115464	0.302488060369	0.439916433864	0.333389604563	0.434246185187	0.274616573674	0.455312814658	0.396817005785	0.437559537401	0.320023838454	0.313392165665	0.428230200043	0.292207183714	0.423217906172	0.308286958303	0.397632418284	0.261499359326	0.443771951265	0.403043379838	0.493512723762	0.354416851027	0.263371131995	0.26292632383	0.357878042337	0.288099894534	0.26173650023	0.384309379387	0.29730430406	0.453749114217	0.335290039985	0.44774243479	0.431628396577	0.430957650328	0.264161760881	0.32817991563	0.316021776375	0.419438763623
SG1-TOP-2017-02mt-9am-DNA-6	0.237565539302	0.23070256023	0.316820661977	0.0	0.201548627194	0.326885155366	0.276241662889	0.214694510135	0.205666468706	0.260459787673	0.199973854648	0.210724113238	0.243679584643	0.205448394051	0.53961469626	0.367695950378	0.221664746232	0.203870188515	0.280820999979	0.252072665204	0.319460610362	0.200631271591	0.321937693864	0.308362037682	0.355774136673	0.294738993991	0.364111563428	0.21416683344	0.215368862307	0.354433682503	0.297977656181	0.352138477849	0.204163765097	0.320348427321	0.228051366933	0.338943759952	0.297941932863	0.406851265197	0.304420820762	0.280799458236	0.240516653851	0.262654611966	0.374645690165	0.276284007938	0.338791584279	0.33208020309	0.375410821401	0.287862772409	0.400146058171	0.342130351225	0.355291408868	0.281684531808	0.311524826971	0.231521339301	0.355516105421
SG1-TOP-2017-02mt-9am-DNA-9	0.201180951492	0.241283807457	0.330954382704	0.201548627194	0.0	0.33812212928	0.288673950684	0.212796000923	0.244709520569	0.289555683228	0.241526793123	0.211660635143	0.267621298894	0.220934862775	0.577832576793	0.377866538397	0.220053645414	0.211892990716	0.341974331459	0.281277041885	0.343064342337	0.22165243674	0.345874612418	0.299817040593	0.368766740637	0.329298140691	0.399020451332	0.16496617927	0.222489607988	0.375982541365	0.267040703711	0.398767886634	0.238814534744	0.361946222738	0.29612979055	0.354636466491	0.343265735756	0.415683339527	0.340162355488	0.289515804041	0.233960774497	0.322994577978	0.37565311481	0.264844811515	0.37484646393	0.309976726644	0.415705489193	0.306325302747	0.415813184542	0.369914944131	0.395007349931	0.30222517372	0.305802617859	0.305892754056	0.381375119283
SG1-TOP-2014-09-5	0.351031893966	0.393888565471	0.460189979676	0.326885155366	0.33812212928	0.0	0.221862451383	0.362768174776	0.365841002475	0.342132438504	0.327826131718	0.377231621415	0.368712281239	0.353010212974	0.469169223782	0.289026615051	0.327947837565	0.371919307794	0.245386303965	0.347065936795	0.215487765858	0.31432675743	0.240699595951	0.371942291591	0.228102769729	0.223016279097	0.29331723218	0.320263838431	0.376034325768	0.262993325211	0.3634483247	0.303450047885	0.374074964126	0.253346879359	0.380669156552	0.242155218628	0.346560279034	0.275936988538	0.400392285297	0.382629441752	0.370497289255	0.338769018714	0.447040327957	0.391287144855	0.358036506811	0.361406465169	0.308851061038	0.313881762302	0.277925036546	0.275513908398	0.335415659835	0.341539843783	0.361165126928	0.326908184673	0.300709018935
SG1-TOP-2014-09-7	0.31853096371	0.336981283781	0.389381985051	0.276241662889	0.288673950684	0.221862451383	0.0	0.295914947612	0.309058724656	0.319785742497	0.262221793352	0.309788192928	0.3100715384	0.288743810282	0.450101199457	0.25439823625	0.274819422085	0.321149489232	0.217140629354	0.303499061525	0.182593101151	0.26189967445	0.206556007826	0.30202807597	0.248022972704	0.16429144738	0.241144077261	0.261847478518	0.332934937255	0.220143283487	0.281540635147	0.223086839611	0.315833804067	0.185853010048	0.340953727544	0.250360254754	0.244902356761	0.2703864796	0.328265112989	0.337788042789	0.310988099755	0.300474830211	0.406342835366	0.353179155425	0.297590644042	0.335788139627	0.281791779074	0.260471762758	0.227252120185	0.20553953046	0.279471648036	0.286445421921	0.289961577112	0.266596842632	0.230720090947
SG1-TOP-2017-02mt-9am-DNA-1	0.197521465876	0.235366891044	0.307294978769	0.214694510135	0.212796000923	0.362768174776	0.295914947612	0.0	0.204584624461	0.306801293904	0.205100849108	0.21919508179	0.266250731523	0.174354566073	0.563478115592	0.369355167956	0.2106988887	0.180786953222	0.32926912162	0.267311322836	0.353008880537	0.169685065041	0.352331957993	0.286825494426	0.383223949468	0.339061824915	0.391697934291	0.208605270484	0.205034673624	0.367337249138	0.291952103971	0.389266501473	0.176410788684	0.34859860046	0.288233837008	0.35156585441	0.325458277149	0.436245291988	0.361693170012	0.272875403849	0.226760217074	0.325071690679	0.396939277063	0.270128852272	0.339255474841	0.335185207454	0.419330629203	0.309472518893	0.416577645647	0.355440426371	0.38249310665	0.290592612799	0.312612097861	0.298950667771	0.37346068155
SG1-TOP-2017-02mt-9am-DNA-12	0.242174054988	0.224412299641	0.312457236776	0.205666468706	0.244709520569	0.365841002475	0.309058724656	0.204584624461	0.0	0.295106857581	0.216727314804	0.253199123552	0.26089489187	0.222822139882	0.560439726461	0.37170369451	0.255542183658	0.262796979323	0.329324858272	0.297044279189	0.354529881022	0.228889698414	0.355185704058	0.310292242403	0.375773077764	0.344396831447	0.400055782039	0.235907909212	0.23430940481	0.385532582248	0.312338059526	0.383814084857	0.231530494387	0.362343048402	0.227147393503	0.358675283208	0.33334488671	0.430519712487	0.359233624256	0.267939559073	0.26999991398	0.295643590514	0.36819770968	0.304624604885	0.34637107079	0.352824188924	0.420949233529	0.330076105591	0.426766586806	0.381662494328	0.368712911202	0.272673865162	0.333348490268	0.262778106795	0.36329520824
SG1-TOP-2016-02mt-17b	0.291290160033	0.303470999208	0.311626061665	0.260459787673	0.289555683228	0.342132438504	0.319785742497	0.306801293904	0.295106857581	0.0	0.320036751976	0.304010757148	0.228629042065	0.334506036044	0.555411574343	0.39798281143	0.316830624675	0.321656943224	0.344222710985	0.297382835663	0.369634449022	0.315617036412	0.37196745696	0.279228382383	0.36623475278	0.348587683776	0.38840160086	0.298265041722	0.293776908768	0.377432831354	0.298471865565	0.35370748326	0.299563981114	0.358958740566	0.282711013492	0.38412612009	0.333834295679	0.43379174723	0.325281360591	0.241908223983	0.231418463441	0.262509898251	0.317013239211	0.268619738133	0.365662254166	0.280297863772	0.384773587025	0.289687346932	0.382338868451	0.379246429167	0.369655954242	0.240286045279	0.220916271793	0.203394544579	0.368089954374
