#Gene product	SG1-2015-06-1	SG1-N-2013-04-2	SG1-2015-06-3	SG1-2015-06-2	SG1-2015-06-5	SG1-2015-06-4	SG1-N-2013-04-4	SG1-N-2013-04-3	SG1-N-2013-04-1	SG1-N-2017-02-5	SG1-N-2017-02-1	SG1-N-2017-02-2	SG1-N-2015-12-1	SG1-N-2015-12-3	SG1-N-2013-04-5	SG1-N-2015-12-5	SG1-N-2015-12-4	SG1-2014-09-5	SG1-2014-09-4	SG1-2014-09-1	SG1-2014-09-3	SG1-2014-09-2	SG1-N-2017-02-3	SG1-N-2015-12-2	SG1-2017-02-5	SG1-2017-02-4	SG1-2017-02-3	SG1-2017-02-2	SG1-2017-02-1	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-N-2017-02-4
Bacterioferritin-associated ferredoxin	0.492913	1.85495	2.84542	1.24979	2.00446	1.70939	4.80512	5.57885	2.37248	2.70264	2.35586	1.52204	3.61139	4.96461	1.20158	5.60608	1.257101	1.00612	1.99954	3.07167	2.03101	0.895604	4.49025	2.60231	1.50372	1.875796	8.26426	2.656124	3.247529	2.495321	4.214007	3.53808	3.196638	1.634202	3.265689
hydrogenase nickel incorporation protein HypA	15.240068	31.2904227	35.6370325	62.549394	40.740183	39.4884792	29.6151179	19.4097886	26.5353119	19.207762	12.5848381	37.9353476	42.542296	27.582525	10.5689617	21.4786271	26.3379537	16.598838	21.852548	18.066587	13.8413859	28.482029	30.5947842	36.3978913	10.918913	5.5073636	9.296427	18.694047	9.4248707	12.8080729	10.8015138	15.81366628	9.5913613	19.1513082	10.9613011
Ycf48-like protein	199.6414922	135.2655115	144.1851793	185.8642	144.0737716	143.9595595	163.2011693	141.321638	127.0376027	115.0673424	134.6059234	198.9643569	178.6151902	166.8162265	116.4623662	119.5690513	198.2293856	152.4533088	110.9826574	183.5695181	103.4800715	137.1322159	168.8068655	184.7931083	90.256003	80.8196472	79.567579	97.6866461	86.3354075	203.3662862	96.0197454	121.903601	79.1412706	122.5815196	93.0060406
Kinase A inhibitor	108.371794	18.2973988	18.235586	26.608816	28.2085829	22.1967061	31.7425338	24.589083	17.727343	11.6371381	9.6387757	8.8724502	14.3534947	20.149187	18.708716	6.2333433	9.697648	28.5071915	20.847774	31.403774	16.260055	23.4691046	17.6334101	14.0954913	6.7610359	10.3317418	7.3503551	11.236764	9.1398998	8.0577162	10.4911242	9.1093088	9.4300362	8.1039406	4.2560398
C4-dicarboxylate TRAP transporter large permease protein DctM	160.3981729	82.3433946	136.948209	154.5659034	139.257764	136.5245731	121.1191138	113.9240819	88.3026293	93.6232791	98.7813702	111.8173976	96.5541931	100.751589	116.9840662	114.2307562	99.8403692	108.0087375	115.7010256	107.8113023	107.8255817	109.18445443	129.7480221	85.8109517	111.5817422	140.9997191	113.3590117	104.8321026	152.2967455	59.3302295	128.2623288	67.7548633	124.3813931	93.5655153	70.7325653
Putative 8-oxo-dGTP diphosphatase 3	60.97297	20.09706	19.154008	31.880812	58.086627	49.369577	31.821234	38.488234	19.548235	31.67639	32.971485	29.60724	19.478658	19.810687	30.970992	36.554269	24.80577	50.465071	48.75135	54.6893	54.21158	62.573182	26.920653	20.06636	50.757715	63.47652	51.12247	34.61737	40.62387	29.50661	31.29381	19.2827	28.259134	20.477248	50.822483
Putative 8-oxo-dGTP diphosphatase 2	1.968617	1.0896879	6.83918	7.571756	5.78947	8.68955	0.26877931	0.293753	0.8869519	0.508242	0.619241	0.4901733	0.896774	1.0436941	0.19716382	1.4539295	0.366165	4.473718	1.025144	0.937923	0.609258	12.30384	1.6556775	1.31634973	0.478656	0.2882801	0.668709	0.4763	0.8838653	0.3218772	1.1155352	0.4555905	1.9013184	0.8225233	0.358038
Octanoyl-[GcvH]:protein N-octanoyltransferase	92.9666563	47.8442214	31.398093	31.6172616	41.7537238	38.4244193	73.7100334	61.442788	48.5758894	25.6854491	13.2387128	44.876551	30.7531225	36.5139427	66.2179	23.0921259	17.424652	46.1747873	30.1231988	56.3064319	26.1291864	36.014649	56.9485609	37.2946129	17.31017	21.4924308	30.7329789	22.254309	26.324224	11.8682095	17.4588155	14.5847369	17.509324	16.5363825	16.3320116
Fluoroquinolones export permease protein	0.338745	0.643274	0.0	1.37058	1.84958	1.12151	0.687476	0.427234	2.10276	2.27148	0.641898	1.57521	1.61658	0.355098	2.61723	0.604001	4.09663	0.0	1.16977	0.771742	0.217468	0.423293	0.895663	1.95665	0.730616	0.188739	0.0	1.30037	0.189799	1.07427	1.30045	0.0	1.64471	0.632011	2.59609
Alpha-amylase 2	17.2078108	27.7838329	18.5877254	15.5912734	22.3518016	23.045	32.19755431	27.615976	24.4493841	34.1083966	45.8547632	34.7979123	34.281996	34.0986988	32.25617582	51.8723192	35.99171392	19.6290523	23.055279	14.618372	19.061982	48.421079	23.181614	40.26367173	39.951743	36.0852066	28.844943	90.29962	54.3087	31.7604152	37.885179	16.8463266	29.5577258	32.35979763	36.026227
