#sampleA	sampleB	fold_variance	rearangement_ave
SG1-2014-09-1	SG1-2014-09-1	0.0	0.0
SG1-2014-09-1	SG1-2014-09-2	0.111893802678	0.4092639063
SG1-2014-09-1	SG1-2014-09-3	0.144399594773	0.463005340284
SG1-2014-09-1	SG1-2014-09-4	0.148916163351	0.474151438764
SG1-2014-09-1	SG1-2014-09-5	0.0645844395842	0.34267216178
SG1-2014-09-1	SG1-2015-06-1	0.119822731616	0.41898859517
SG1-2014-09-1	SG1-2015-06-2	0.195173175838	0.391397630665
SG1-2014-09-1	SG1-2015-06-3	0.173924049595	0.398755887622
SG1-2014-09-1	SG1-2015-06-4	0.109276775074	0.369663465989
SG1-2014-09-1	SG1-2015-06-5	0.129835373467	0.382487486706
SG1-2014-09-1	SG1-2016-02-1	0.262877032719	0.576503925346
SG1-2014-09-1	SG1-2016-02-2	0.239636421883	0.59662664663
SG1-2014-09-1	SG1-2016-02-3	0.262480207571	0.538618741715
SG1-2014-09-1	SG1-2016-02-4	0.221876433824	0.568332412976
SG1-2014-09-1	SG1-2016-02-5	0.243719989891	0.590594917374
SG1-2014-09-1	SG1-2017-02-1	0.167650527154	0.61196819657
SG1-2014-09-1	SG1-2017-02-2	0.170149090088	0.572675796804
SG1-2014-09-1	SG1-2017-02-3	0.163937578342	0.579493652557
SG1-2014-09-1	SG1-2017-02-4	0.176957320156	0.607563307198
SG1-2014-09-1	SG1-2017-02-5	0.163378998077	0.544534970202
SG1-2014-09-2	SG1-2014-09-1	0.111893802678	0.4092639063
SG1-2014-09-2	SG1-2014-09-2	0.0	0.0
SG1-2014-09-2	SG1-2014-09-3	0.14550945964	0.435693043924
SG1-2014-09-2	SG1-2014-09-4	0.156330355848	0.435998113633
SG1-2014-09-2	SG1-2014-09-5	0.0782280341993	0.333524008654
SG1-2014-09-2	SG1-2015-06-1	0.147571962501	0.437378908429
SG1-2014-09-2	SG1-2015-06-2	0.229441735525	0.436333271423
SG1-2014-09-2	SG1-2015-06-3	0.19364463208	0.435487764028
SG1-2014-09-2	SG1-2015-06-4	0.139042375739	0.372631416508
SG1-2014-09-2	SG1-2015-06-5	0.160719839997	0.372367809688
SG1-2014-09-2	SG1-2016-02-1	0.261062855688	0.60726742654
SG1-2014-09-2	SG1-2016-02-2	0.233711071188	0.608917789084
SG1-2014-09-2	SG1-2016-02-3	0.262669306117	0.582019442086
SG1-2014-09-2	SG1-2016-02-4	0.217785815846	0.587049773679
SG1-2014-09-2	SG1-2016-02-5	0.244418502367	0.605984466082
SG1-2014-09-2	SG1-2017-02-1	0.161676931135	0.604533311557
SG1-2014-09-2	SG1-2017-02-2	0.165598800834	0.561843697958
SG1-2014-09-2	SG1-2017-02-3	0.142563501627	0.560795146912
SG1-2014-09-2	SG1-2017-02-4	0.170360972962	0.587192031155
SG1-2014-09-2	SG1-2017-02-5	0.151314385034	0.552294186094
SG1-2014-09-3	SG1-2014-09-1	0.144399594773	0.463005340284
SG1-2014-09-3	SG1-2014-09-2	0.14550945964	0.435693043924
SG1-2014-09-3	SG1-2014-09-3	0.0	0.0
SG1-2014-09-3	SG1-2014-09-4	0.0455362220495	0.276714332615
SG1-2014-09-3	SG1-2014-09-5	0.13878945367	0.436540703346
SG1-2014-09-3	SG1-2015-06-1	0.197982481706	0.479876317647
SG1-2014-09-3	SG1-2015-06-2	0.20138303799	0.459805760727
SG1-2014-09-3	SG1-2015-06-3	0.156508790055	0.419963880429
SG1-2014-09-3	SG1-2015-06-4	0.127009880361	0.413476511713
SG1-2014-09-3	SG1-2015-06-5	0.137382386617	0.411080624623
SG1-2014-09-3	SG1-2016-02-1	0.219935400505	0.540733113116
SG1-2014-09-3	SG1-2016-02-2	0.182614797198	0.520645428799
SG1-2014-09-3	SG1-2016-02-3	0.228420418965	0.508429950449
SG1-2014-09-3	SG1-2016-02-4	0.163932888784	0.506588364863
SG1-2014-09-3	SG1-2016-02-5	0.199855261375	0.529064659371
SG1-2014-09-3	SG1-2017-02-1	0.125521556834	0.532235291184
SG1-2014-09-3	SG1-2017-02-2	0.12708376134	0.504051282705
SG1-2014-09-3	SG1-2017-02-3	0.128127359798	0.5103754211
SG1-2014-09-3	SG1-2017-02-4	0.128971933584	0.548510912162
SG1-2014-09-3	SG1-2017-02-5	0.104388757281	0.478753962882
SG1-2014-09-4	SG1-2014-09-1	0.148916163351	0.474151438764
SG1-2014-09-4	SG1-2014-09-2	0.156330355848	0.435998113633
SG1-2014-09-4	SG1-2014-09-3	0.0455362220495	0.276714332615
SG1-2014-09-4	SG1-2014-09-4	0.0	0.0
SG1-2014-09-4	SG1-2014-09-5	0.147821043938	0.446375136239
SG1-2014-09-4	SG1-2015-06-1	0.204780445802	0.487431001148
SG1-2014-09-4	SG1-2015-06-2	0.188813712058	0.465294469752
SG1-2014-09-4	SG1-2015-06-3	0.145652079474	0.423263725772
SG1-2014-09-4	SG1-2015-06-4	0.120051207653	0.414050969562
SG1-2014-09-4	SG1-2015-06-5	0.127548527049	0.412713335717
SG1-2014-09-4	SG1-2016-02-1	0.21202333171	0.542964550173
SG1-2014-09-4	SG1-2016-02-2	0.175895410435	0.521440778614
SG1-2014-09-4	SG1-2016-02-3	0.221041164124	0.513401662941
SG1-2014-09-4	SG1-2016-02-4	0.158564025235	0.511394874739
SG1-2014-09-4	SG1-2016-02-5	0.192278520931	0.528558145727
SG1-2014-09-4	SG1-2017-02-1	0.128596002452	0.530899795225
SG1-2014-09-4	SG1-2017-02-2	0.129344055591	0.499364812742
SG1-2014-09-4	SG1-2017-02-3	0.13753500885	0.513762925782
SG1-2014-09-4	SG1-2017-02-4	0.130377560294	0.549361084202
SG1-2014-09-4	SG1-2017-02-5	0.110675346476	0.485069732807
SG1-2014-09-5	SG1-2014-09-1	0.0645844395842	0.34267216178
SG1-2014-09-5	SG1-2014-09-2	0.0782280341993	0.333524008654
SG1-2014-09-5	SG1-2014-09-3	0.13878945367	0.436540703346
SG1-2014-09-5	SG1-2014-09-4	0.147821043938	0.446375136239
SG1-2014-09-5	SG1-2014-09-5	0.0	0.0
SG1-2014-09-5	SG1-2015-06-1	0.120376030077	0.404770581926
SG1-2014-09-5	SG1-2015-06-2	0.209294330995	0.402955840423
SG1-2014-09-5	SG1-2015-06-3	0.180140510639	0.411632452518
SG1-2014-09-5	SG1-2015-06-4	0.123020148366	0.363880076983
SG1-2014-09-5	SG1-2015-06-5	0.142963284609	0.368494975325
SG1-2014-09-5	SG1-2016-02-1	0.26022747416	0.592903021173
SG1-2014-09-5	SG1-2016-02-2	0.234686852744	0.599014164755
SG1-2014-09-5	SG1-2016-02-3	0.258439390432	0.554938260251
SG1-2014-09-5	SG1-2016-02-4	0.217420399105	0.575809850601
SG1-2014-09-5	SG1-2016-02-5	0.241692486835	0.59372866644
SG1-2014-09-5	SG1-2017-02-1	0.164169294445	0.600193987294
SG1-2014-09-5	SG1-2017-02-2	0.168543552314	0.558371910842
SG1-2014-09-5	SG1-2017-02-3	0.151761798521	0.560891173948
SG1-2014-09-5	SG1-2017-02-4	0.170906384451	0.58581975287
SG1-2014-09-5	SG1-2017-02-5	0.153644390492	0.539083036822
SG1-2015-06-1	SG1-2014-09-1	0.119822731616	0.41898859517
SG1-2015-06-1	SG1-2014-09-2	0.147571962501	0.437378908429
SG1-2015-06-1	SG1-2014-09-3	0.197982481706	0.479876317647
SG1-2015-06-1	SG1-2014-09-4	0.204780445802	0.487431001148
SG1-2015-06-1	SG1-2014-09-5	0.120376030077	0.404770581926
SG1-2015-06-1	SG1-2015-06-1	0.0	0.0
SG1-2015-06-1	SG1-2015-06-2	0.261907263294	0.418631915377
SG1-2015-06-1	SG1-2015-06-3	0.247783671745	0.460290279024
SG1-2015-06-1	SG1-2015-06-4	0.186707975356	0.408333644256
SG1-2015-06-1	SG1-2015-06-5	0.204403178583	0.404900859814
SG1-2015-06-1	SG1-2016-02-1	0.327194985564	0.601197951314
SG1-2015-06-1	SG1-2016-02-2	0.302027625561	0.610735295998
SG1-2015-06-1	SG1-2016-02-3	0.327871858005	0.576249247012
SG1-2015-06-1	SG1-2016-02-4	0.281935371841	0.595133847281
SG1-2015-06-1	SG1-2016-02-5	0.309153035612	0.617231399097
SG1-2015-06-1	SG1-2017-02-1	0.211507950382	0.618141489138
SG1-2015-06-1	SG1-2017-02-2	0.214897540957	0.592000667157
SG1-2015-06-1	SG1-2017-02-3	0.209340905067	0.591720405424
SG1-2015-06-1	SG1-2017-02-4	0.230412034764	0.606147526245
SG1-2015-06-1	SG1-2017-02-5	0.220788791886	0.576696878615
SG1-2015-06-2	SG1-2014-09-1	0.195173175838	0.391397630665
SG1-2015-06-2	SG1-2014-09-2	0.229441735525	0.436333271423
SG1-2015-06-2	SG1-2014-09-3	0.20138303799	0.459805760727
SG1-2015-06-2	SG1-2014-09-4	0.188813712058	0.465294469752
SG1-2015-06-2	SG1-2014-09-5	0.209294330995	0.402955840423
SG1-2015-06-2	SG1-2015-06-1	0.261907263294	0.418631915377
SG1-2015-06-2	SG1-2015-06-2	0.0	0.0
SG1-2015-06-2	SG1-2015-06-3	0.0895417375709	0.334679300694
SG1-2015-06-2	SG1-2015-06-4	0.124867279294	0.339878881841
SG1-2015-06-2	SG1-2015-06-5	0.0969522428335	0.327490264327
SG1-2015-06-2	SG1-2016-02-1	0.204133442572	0.565426652128
SG1-2015-06-2	SG1-2016-02-2	0.206784249789	0.581618160931
SG1-2015-06-2	SG1-2016-02-3	0.197007146276	0.511906309513
SG1-2015-06-2	SG1-2016-02-4	0.204049428672	0.551948405457
SG1-2015-06-2	SG1-2016-02-5	0.182921154702	0.585783328089
SG1-2015-06-2	SG1-2017-02-1	0.226256293843	0.617691900889
SG1-2015-06-2	SG1-2017-02-2	0.225674003186	0.574245070638
SG1-2015-06-2	SG1-2017-02-3	0.229940464078	0.599137321535
SG1-2015-06-2	SG1-2017-02-4	0.209858338869	0.617043506581
SG1-2015-06-2	SG1-2017-02-5	0.202024051882	0.550064568868
SG1-2015-06-3	SG1-2014-09-1	0.173924049595	0.398755887622
SG1-2015-06-3	SG1-2014-09-2	0.19364463208	0.435487764028
SG1-2015-06-3	SG1-2014-09-3	0.156508790055	0.419963880429
SG1-2015-06-3	SG1-2014-09-4	0.145652079474	0.423263725772
SG1-2015-06-3	SG1-2014-09-5	0.180140510639	0.411632452518
SG1-2015-06-3	SG1-2015-06-1	0.247783671745	0.460290279024
SG1-2015-06-3	SG1-2015-06-2	0.0895417375709	0.334679300694
SG1-2015-06-3	SG1-2015-06-3	0.0	0.0
SG1-2015-06-3	SG1-2015-06-4	0.0936111580525	0.337326354732
SG1-2015-06-3	SG1-2015-06-5	0.0718659952434	0.332422529653
SG1-2015-06-3	SG1-2016-02-1	0.168458093429	0.542030685205
SG1-2015-06-3	SG1-2016-02-2	0.156897030573	0.545294919889
SG1-2015-06-3	SG1-2016-02-3	0.160060489371	0.499094994545
SG1-2015-06-3	SG1-2016-02-4	0.152676155121	0.530085707546
SG1-2015-06-3	SG1-2016-02-5	0.143245107726	0.552844671056
SG1-2015-06-3	SG1-2017-02-1	0.18353786165	0.593180974924
SG1-2015-06-3	SG1-2017-02-2	0.184642365002	0.541360097589
SG1-2015-06-3	SG1-2017-02-3	0.18442403138	0.564556880144
SG1-2015-06-3	SG1-2017-02-4	0.163996582095	0.598276052911
SG1-2015-06-3	SG1-2017-02-5	0.151006496922	0.51975259061
SG1-2015-06-4	SG1-2014-09-1	0.109276775074	0.369663465989
SG1-2015-06-4	SG1-2014-09-2	0.139042375739	0.372631416508
SG1-2015-06-4	SG1-2014-09-3	0.127009880361	0.413476511713
SG1-2015-06-4	SG1-2014-09-4	0.120051207653	0.414050969562
SG1-2015-06-4	SG1-2014-09-5	0.123020148366	0.363880076983
SG1-2015-06-4	SG1-2015-06-1	0.186707975356	0.408333644256
SG1-2015-06-4	SG1-2015-06-2	0.124867279294	0.339878881841
SG1-2015-06-4	SG1-2015-06-3	0.0936111580525	0.337326354732
SG1-2015-06-4	SG1-2015-06-4	0.0	0.0
SG1-2015-06-4	SG1-2015-06-5	0.0506601275236	0.276328671743
SG1-2015-06-4	SG1-2016-02-1	0.208680927078	0.575912956317
SG1-2015-06-4	SG1-2016-02-2	0.190608644424	0.572317927657
SG1-2015-06-4	SG1-2016-02-3	0.207245349394	0.531001586582
SG1-2015-06-4	SG1-2016-02-4	0.177980340908	0.559432107677
SG1-2015-06-4	SG1-2016-02-5	0.185731878174	0.576857496051
SG1-2015-06-4	SG1-2017-02-1	0.153626606427	0.594316099528
SG1-2015-06-4	SG1-2017-02-2	0.154333994012	0.538212257716
SG1-2015-06-4	SG1-2017-02-3	0.155837833065	0.567094928493
SG1-2015-06-4	SG1-2017-02-4	0.150274755082	0.597239113669
SG1-2015-06-4	SG1-2017-02-5	0.136906031724	0.534226395492
SG1-2015-06-5	SG1-2014-09-1	0.129835373467	0.382487486706
SG1-2015-06-5	SG1-2014-09-2	0.160719839997	0.372367809688
SG1-2015-06-5	SG1-2014-09-3	0.137382386617	0.411080624623
SG1-2015-06-5	SG1-2014-09-4	0.127548527049	0.412713335717
SG1-2015-06-5	SG1-2014-09-5	0.142963284609	0.368494975325
SG1-2015-06-5	SG1-2015-06-1	0.204403178583	0.404900859814
SG1-2015-06-5	SG1-2015-06-2	0.0969522428335	0.327490264327
SG1-2015-06-5	SG1-2015-06-3	0.0718659952434	0.332422529653
SG1-2015-06-5	SG1-2015-06-4	0.0506601275236	0.276328671743
SG1-2015-06-5	SG1-2015-06-5	0.0	0.0
SG1-2015-06-5	SG1-2016-02-1	0.195343840226	0.569068735512
SG1-2015-06-5	SG1-2016-02-2	0.180651627403	0.564291216728
SG1-2015-06-5	SG1-2016-02-3	0.191747747502	0.529998732905
SG1-2015-06-5	SG1-2016-02-4	0.173026389949	0.556073335474
SG1-2015-06-5	SG1-2016-02-5	0.170716042453	0.568672894415
SG1-2015-06-5	SG1-2017-02-1	0.168088977449	0.589021206423
SG1-2015-06-5	SG1-2017-02-2	0.167428190056	0.534501871989
SG1-2015-06-5	SG1-2017-02-3	0.170370886401	0.561293134678
SG1-2015-06-5	SG1-2017-02-4	0.158185090225	0.594632820498
SG1-2015-06-5	SG1-2017-02-5	0.144710339853	0.528154253142
SG1-2016-02-1	SG1-2014-09-1	0.262877032719	0.576503925346
SG1-2016-02-1	SG1-2014-09-2	0.261062855688	0.60726742654
SG1-2016-02-1	SG1-2014-09-3	0.219935400505	0.540733113116
SG1-2016-02-1	SG1-2014-09-4	0.21202333171	0.542964550173
SG1-2016-02-1	SG1-2014-09-5	0.26022747416	0.592903021173
SG1-2016-02-1	SG1-2015-06-1	0.327194985564	0.601197951314
SG1-2016-02-1	SG1-2015-06-2	0.204133442572	0.565426652128
SG1-2016-02-1	SG1-2015-06-3	0.168458093429	0.542030685205
SG1-2016-02-1	SG1-2015-06-4	0.208680927078	0.575912956317
SG1-2016-02-1	SG1-2015-06-5	0.195343840226	0.569068735512
SG1-2016-02-1	SG1-2016-02-1	0.0	0.0
SG1-2016-02-1	SG1-2016-02-2	0.121737479228	0.453290779594
SG1-2016-02-1	SG1-2016-02-3	0.103591118332	0.44452058826
SG1-2016-02-1	SG1-2016-02-4	0.148493811948	0.451878648431
SG1-2016-02-1	SG1-2016-02-5	0.106709004076	0.438916939557
SG1-2016-02-1	SG1-2017-02-1	0.231406091656	0.514868064004
SG1-2016-02-1	SG1-2017-02-2	0.235148598733	0.51027851631
SG1-2016-02-1	SG1-2017-02-3	0.222673108172	0.510497105426
SG1-2016-02-1	SG1-2017-02-4	0.194338922202	0.491701098663
SG1-2016-02-1	SG1-2017-02-5	0.188260811138	0.49638422138
SG1-2016-02-2	SG1-2014-09-1	0.239636421883	0.59662664663
SG1-2016-02-2	SG1-2014-09-2	0.233711071188	0.608917789084
SG1-2016-02-2	SG1-2014-09-3	0.182614797198	0.520645428799
SG1-2016-02-2	SG1-2014-09-4	0.175895410435	0.521440778614
SG1-2016-02-2	SG1-2014-09-5	0.234686852744	0.599014164755
SG1-2016-02-2	SG1-2015-06-1	0.302027625561	0.610735295998
SG1-2016-02-2	SG1-2015-06-2	0.206784249789	0.581618160931
SG1-2016-02-2	SG1-2015-06-3	0.156897030573	0.545294919889
SG1-2016-02-2	SG1-2015-06-4	0.190608644424	0.572317927657
SG1-2016-02-2	SG1-2015-06-5	0.180651627403	0.564291216728
SG1-2016-02-2	SG1-2016-02-1	0.121737479228	0.453290779594
SG1-2016-02-2	SG1-2016-02-2	0.0	0.0
SG1-2016-02-2	SG1-2016-02-3	0.127463443739	0.497200340206
SG1-2016-02-2	SG1-2016-02-4	0.0918600592791	0.409134734983
SG1-2016-02-2	SG1-2016-02-5	0.0982958559694	0.401303473561
SG1-2016-02-2	SG1-2017-02-1	0.185786419179	0.449616893938
SG1-2016-02-2	SG1-2017-02-2	0.187397932605	0.441514455189
SG1-2016-02-2	SG1-2017-02-3	0.177152063906	0.447485139093
SG1-2016-02-2	SG1-2017-02-4	0.156191604604	0.461629604844
SG1-2016-02-2	SG1-2017-02-5	0.14520181133	0.472060838259
SG1-2016-02-3	SG1-2014-09-1	0.262480207571	0.538618741715
SG1-2016-02-3	SG1-2014-09-2	0.262669306117	0.582019442086
SG1-2016-02-3	SG1-2014-09-3	0.228420418965	0.508429950449
SG1-2016-02-3	SG1-2014-09-4	0.221041164124	0.513401662941
SG1-2016-02-3	SG1-2014-09-5	0.258439390432	0.554938260251
SG1-2016-02-3	SG1-2015-06-1	0.327871858005	0.576249247012
SG1-2016-02-3	SG1-2015-06-2	0.197007146276	0.511906309513
SG1-2016-02-3	SG1-2015-06-3	0.160060489371	0.499094994545
SG1-2016-02-3	SG1-2015-06-4	0.207245349394	0.531001586582
SG1-2016-02-3	SG1-2015-06-5	0.191747747502	0.529998732905
SG1-2016-02-3	SG1-2016-02-1	0.103591118332	0.44452058826
SG1-2016-02-3	SG1-2016-02-2	0.127463443739	0.497200340206
SG1-2016-02-3	SG1-2016-02-3	0.0	0.0
SG1-2016-02-3	SG1-2016-02-4	0.150624492558	0.474218059161
SG1-2016-02-3	SG1-2016-02-5	0.101833018596	0.484741051496
SG1-2016-02-3	SG1-2017-02-1	0.245855717959	0.559021955844
SG1-2016-02-3	SG1-2017-02-2	0.250153516642	0.542916941822
SG1-2016-02-3	SG1-2017-02-3	0.230297153645	0.538261589199
SG1-2016-02-3	SG1-2017-02-4	0.207224514389	0.532814717201
SG1-2016-02-3	SG1-2017-02-5	0.196593461088	0.486148156102
SG1-2016-02-4	SG1-2014-09-1	0.221876433824	0.568332412976
SG1-2016-02-4	SG1-2014-09-2	0.217785815846	0.587049773679
SG1-2016-02-4	SG1-2014-09-3	0.163932888784	0.506588364863
SG1-2016-02-4	SG1-2014-09-4	0.158564025235	0.511394874739
SG1-2016-02-4	SG1-2014-09-5	0.217420399105	0.575809850601
SG1-2016-02-4	SG1-2015-06-1	0.281935371841	0.595133847281
SG1-2016-02-4	SG1-2015-06-2	0.204049428672	0.551948405457
SG1-2016-02-4	SG1-2015-06-3	0.152676155121	0.530085707546
SG1-2016-02-4	SG1-2015-06-4	0.177980340908	0.559432107677
SG1-2016-02-4	SG1-2015-06-5	0.173026389949	0.556073335474
SG1-2016-02-4	SG1-2016-02-1	0.148493811948	0.451878648431
SG1-2016-02-4	SG1-2016-02-2	0.0918600592791	0.409134734983
SG1-2016-02-4	SG1-2016-02-3	0.150624492558	0.474218059161
SG1-2016-02-4	SG1-2016-02-4	0.0	0.0
SG1-2016-02-4	SG1-2016-02-5	0.129873482707	0.428074267467
SG1-2016-02-4	SG1-2017-02-1	0.167904151967	0.474133463878
SG1-2016-02-4	SG1-2017-02-2	0.166756187033	0.479404871335
SG1-2016-02-4	SG1-2017-02-3	0.16198312932	0.46763452867
SG1-2016-02-4	SG1-2017-02-4	0.146381473132	0.482547384224
SG1-2016-02-4	SG1-2017-02-5	0.126422047218	0.448275919527
SG1-2016-02-5	SG1-2014-09-1	0.243719989891	0.590594917374
SG1-2016-02-5	SG1-2014-09-2	0.244418502367	0.605984466082
SG1-2016-02-5	SG1-2014-09-3	0.199855261375	0.529064659371
SG1-2016-02-5	SG1-2014-09-4	0.192278520931	0.528558145727
SG1-2016-02-5	SG1-2014-09-5	0.241692486835	0.59372866644
SG1-2016-02-5	SG1-2015-06-1	0.309153035612	0.617231399097
SG1-2016-02-5	SG1-2015-06-2	0.182921154702	0.585783328089
SG1-2016-02-5	SG1-2015-06-3	0.143245107726	0.552844671056
SG1-2016-02-5	SG1-2015-06-4	0.185731878174	0.576857496051
SG1-2016-02-5	SG1-2015-06-5	0.170716042453	0.568672894415
SG1-2016-02-5	SG1-2016-02-1	0.106709004076	0.438916939557
SG1-2016-02-5	SG1-2016-02-2	0.0982958559694	0.401303473561
SG1-2016-02-5	SG1-2016-02-3	0.101833018596	0.484741051496
SG1-2016-02-5	SG1-2016-02-4	0.129873482707	0.428074267467
SG1-2016-02-5	SG1-2016-02-5	0.0	0.0
SG1-2016-02-5	SG1-2017-02-1	0.206561821722	0.43676839809
SG1-2016-02-5	SG1-2017-02-2	0.210377099311	0.458566221923
SG1-2016-02-5	SG1-2017-02-3	0.195892827703	0.450407582094
SG1-2016-02-5	SG1-2017-02-4	0.172843986098	0.441123787629
SG1-2016-02-5	SG1-2017-02-5	0.163508003921	0.447182844173
SG1-2017-02-1	SG1-2014-09-1	0.167650527154	0.61196819657
SG1-2017-02-1	SG1-2014-09-2	0.161676931135	0.604533311557
SG1-2017-02-1	SG1-2014-09-3	0.125521556834	0.532235291184
SG1-2017-02-1	SG1-2014-09-4	0.128596002452	0.530899795225
SG1-2017-02-1	SG1-2014-09-5	0.164169294445	0.600193987294
SG1-2017-02-1	SG1-2015-06-1	0.211507950382	0.618141489138
SG1-2017-02-1	SG1-2015-06-2	0.226256293843	0.617691900889
SG1-2017-02-1	SG1-2015-06-3	0.18353786165	0.593180974924
SG1-2017-02-1	SG1-2015-06-4	0.153626606427	0.594316099528
SG1-2017-02-1	SG1-2015-06-5	0.168088977449	0.589021206423
SG1-2017-02-1	SG1-2016-02-1	0.231406091656	0.514868064004
SG1-2017-02-1	SG1-2016-02-2	0.185786419179	0.449616893938
SG1-2017-02-1	SG1-2016-02-3	0.245855717959	0.559021955844
SG1-2017-02-1	SG1-2016-02-4	0.167904151967	0.474133463878
SG1-2017-02-1	SG1-2016-02-5	0.206561821722	0.43676839809
SG1-2017-02-1	SG1-2017-02-1	0.0	0.0
SG1-2017-02-1	SG1-2017-02-2	0.0902269144743	0.409598635326
SG1-2017-02-1	SG1-2017-02-3	0.0967190687301	0.39710954469
SG1-2017-02-1	SG1-2017-02-4	0.0927148404419	0.398551606077
SG1-2017-02-1	SG1-2017-02-5	0.10408709246	0.425424267787
SG1-2017-02-2	SG1-2014-09-1	0.170149090088	0.572675796804
SG1-2017-02-2	SG1-2014-09-2	0.165598800834	0.561843697958
SG1-2017-02-2	SG1-2014-09-3	0.12708376134	0.504051282705
SG1-2017-02-2	SG1-2014-09-4	0.129344055591	0.499364812742
SG1-2017-02-2	SG1-2014-09-5	0.168543552314	0.558371910842
SG1-2017-02-2	SG1-2015-06-1	0.214897540957	0.592000667157
SG1-2017-02-2	SG1-2015-06-2	0.225674003186	0.574245070638
SG1-2017-02-2	SG1-2015-06-3	0.184642365002	0.541360097589
SG1-2017-02-2	SG1-2015-06-4	0.154333994012	0.538212257716
SG1-2017-02-2	SG1-2015-06-5	0.167428190056	0.534501871989
SG1-2017-02-2	SG1-2016-02-1	0.235148598733	0.51027851631
SG1-2017-02-2	SG1-2016-02-2	0.187397932605	0.441514455189
SG1-2017-02-2	SG1-2016-02-3	0.250153516642	0.542916941822
SG1-2017-02-2	SG1-2016-02-4	0.166756187033	0.479404871335
SG1-2017-02-2	SG1-2016-02-5	0.210377099311	0.458566221923
SG1-2017-02-2	SG1-2017-02-1	0.0902269144743	0.409598635326
SG1-2017-02-2	SG1-2017-02-2	0.0	0.0
SG1-2017-02-2	SG1-2017-02-3	0.115150763339	0.4045259131
SG1-2017-02-2	SG1-2017-02-4	0.129720235513	0.466079677407
SG1-2017-02-2	SG1-2017-02-5	0.106671564199	0.424951169104
SG1-2017-02-3	SG1-2014-09-1	0.163937578342	0.579493652557
SG1-2017-02-3	SG1-2014-09-2	0.142563501627	0.560795146912
SG1-2017-02-3	SG1-2014-09-3	0.128127359798	0.5103754211
SG1-2017-02-3	SG1-2014-09-4	0.13753500885	0.513762925782
SG1-2017-02-3	SG1-2014-09-5	0.151761798521	0.560891173948
SG1-2017-02-3	SG1-2015-06-1	0.209340905067	0.591720405424
SG1-2017-02-3	SG1-2015-06-2	0.229940464078	0.599137321535
SG1-2017-02-3	SG1-2015-06-3	0.18442403138	0.564556880144
SG1-2017-02-3	SG1-2015-06-4	0.155837833065	0.567094928493
SG1-2017-02-3	SG1-2015-06-5	0.170370886401	0.561293134678
SG1-2017-02-3	SG1-2016-02-1	0.222673108172	0.510497105426
SG1-2017-02-3	SG1-2016-02-2	0.177152063906	0.447485139093
SG1-2017-02-3	SG1-2016-02-3	0.230297153645	0.538261589199
SG1-2017-02-3	SG1-2016-02-4	0.16198312932	0.46763452867
SG1-2017-02-3	SG1-2016-02-5	0.195892827703	0.450407582094
SG1-2017-02-3	SG1-2017-02-1	0.0967190687301	0.39710954469
SG1-2017-02-3	SG1-2017-02-2	0.115150763339	0.4045259131
