	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Amino acid metabolism;Alanine,	7540.8501623	7894.46503775	7791.16574732	7835.00161643	7686.60671673	7466.24713508	7701.84224448	7594.05844837	7676.46400447	7673.25165414	7301.28044664	7468.96726834	7156.62537474	7462.31005311	7486.66343557	7898.64104097	7761.58764599	7867.43957945	7694.56538328	7780.20713284
Amino acid metabolism;Glycine,	10293.5244409	10267.7189079	10263.6585005	10120.5829527	10184.993686	10404.638479	10061.5052827	9972.50204013	10233.5934419	10168.561593	10226.402197	10534.3689942	10089.9636393	10288.0212342	10165.8024394	10920.3706578	10906.6318994	10607.8910252	10606.2713573	10472.0024737
Amino acid metabolism;Lysine	8435.36283773	8427.96853778	8190.62441437	8148.31625623	8430.42844588	8176.83192474	8058.02125465	8167.82675975	8156.85748538	8125.69576853	8403.39635193	8592.71348674	8619.68945799	8468.76444621	8462.80773122	8199.37459542	8145.79229365	8170.92553314	8227.9485262	8417.30016937
Amino acid metabolism;Phenylalanine	4524.8411077	4431.58301495	4495.34312878	4374.67734108	4433.2920172	4480.96876767	3843.95452416	4004.8056711	4245.69499704	4070.27794588	3805.2371422	3880.76822258	3742.33160542	4001.49977186	3957.47461858	4356.72350148	4498.65125492	4381.32265394	4374.18482522	4243.64513982
Amino acid metabolism;Phenylalanine,	7457.33115669	7545.02089518	7609.21855384	7649.29890883	7446.46572309	7259.73813427	7471.45750399	7473.35828689	7643.58809481	7582.21017891	7551.11283447	7588.3481499	7403.7381223	7497.74769063	7701.56476329	7851.43494087	7804.24002344	7766.19270902	7764.41649874	7679.35082874
Amino acid metabolism;Tyrosine	3575.75475036	3608.05055078	3791.65718021	3629.23256359	3655.72843029	3866.19670657	3141.11495971	3133.85066986	3397.78495688	3332.70971557	2987.60098607	3103.49758619	2863.63228031	3293.060037	3046.51344386	3500.32863426	3627.15578998	3425.49631683	3344.01625411	3462.67648151
Biosynthesis of other secondary metabolites;Acarbose	1629.68214804	1616.13004911	1798.28824515	1732.41350894	1658.06062756	1612.47731464	1515.69370543	1629.65318911	1625.06164557	1602.36690853	1585.75014674	1562.15147065	1446.69263369	1536.2701749	1589.91441872	1709.7957516	1653.81651429	1746.42679763	1680.60254675	1741.12570446
Biosynthesis of other secondary metabolites;Carbapenem	173.791611313	178.265731898	222.694000878	267.59678493	186.353548235	115.54829491	361.585255269	349.669212281	294.770967595	304.058824607	449.984568667	393.481085455	428.169863744	398.783869069	446.883318474	281.807949275	261.156795045	279.388043898	291.517790813	287.496068274
Biosynthesis of other secondary metabolites;Flavonoid	47.7403981597	38.3830095345	50.5516519566	63.7678359953	39.8353172998	28.4509287191	105.184161395	78.0108240017	71.6546200376	72.9993891134	87.6067708279	79.6185697325	88.8649369341	64.7600754887	105.873021879	44.7625567823	37.4617570374	34.0192615146	53.1931212365	52.3026982263
Biosynthesis of other secondary metabolites;Isoquinoline	739.933652421	779.360617345	759.286064107	722.96910857	740.004236083	752.709957234	588.843178474	623.633748259	698.138790718	642.42940241	572.873185018	605.091060945	573.1051036	667.083814286	575.130440034	817.388097322	810.142589554	795.223579842	734.789944173	739.044672179
Biosynthesis of other secondary metabolites;Monobactam	2205.1318925	2225.04511703	2229.46922351	2225.94381183	2242.86799001	2092.25273101	2369.96490594	2396.04939897	2285.78230619	2351.49466445	2515.99856872	2541.22547473	2534.42050803	2376.74004981	2432.88693034	2212.48728462	2263.61224485	2252.10545778	2266.36899822	2310.5149868
Biosynthesis of other secondary metabolites;Novobiocin	1476.51589202	1563.31679157	1551.17241292	1538.75460428	1501.35930657	1455.5364838	1293.76529462	1377.27085847	1453.04081975	1387.08872736	1468.30431669	1447.90718275	1378.23839745	1463.3066594	1411.16468544	1594.27063152	1564.49955764	1567.91462787	1545.61276058	1536.31656135
Biosynthesis of other secondary metabolites;Penicillin	367.49552055	317.752180512	319.165381862	316.631642261	375.602933919	367.932303654	363.005153046	362.549478854	382.276870858	365.452724925	269.868972808	308.64795267	295.804366002	288.951527948	329.527588128	346.070604771	365.211717123	333.60329654	364.838189918	358.002349952
Biosynthesis of other secondary metabolites;Phenazine	1249.75559209	1299.49979119	1227.33370422	1243.10530183	1235.65421481	1235.31851335	1129.09638516	1174.52320962	1211.88896361	1199.612454	1226.55407214	1163.761411	1126.23013923	1177.98764025	1134.70517149	1276.61176331	1183.17255202	1274.25021427	1326.30958581	1281.17585052
Biosynthesis of other secondary metabolites;Phenylpropanoid	769.435616253	657.153698337	637.091837319	676.039670939	710.950848602	715.760840982	733.245057839	710.95432854	712.228050182	692.912421803	1030.33370333	760.707671087	906.556937702	747.683062987	866.028951637	569.617358037	564.19532776	575.659129874	639.6982401	604.511806127
Biosynthesis of other secondary metabolites;Prodigiosin	2220.61971478	2028.30325516	2196.22493291	2091.63636915	2200.34347518	2507.28277282	2159.64687105	2157.45026585	2077.99815933	2121.53996137	1805.13321041	1940.98414179	2034.41013665	2022.10280662	1995.22578146	1919.49550865	1930.84035599	2042.36343622	1946.40839005	2080.40275375
Biosynthesis of other secondary metabolites;Stilbenoid,	47.7403981597	38.3830095345	50.5516519566	63.7678359953	39.8353172998	28.4509287191	105.184161395	78.0108240017	71.6546200376	72.9993891134	87.6067708279	79.6185697325	88.8649369341	64.7600754887	105.873021879	44.7625567823	37.4617570374	34.0192615146	53.1931212365	52.3026982263
Biosynthesis of other secondary metabolites;Tropane,	1117.89293486	1176.51022699	1181.42023761	1140.58645807	1119.375498	1130.52170879	998.971031894	1024.79310159	1105.25993674	1037.10602307	1034.88930352	1082.48663781	982.277771212	1104.8644176	1052.68222877	1240.47815712	1214.32962705	1211.12162444	1195.7510428	1141.63401636
Carbohydrate metabolism;Butanoate	9518.72481205	9732.39562837	9846.28777324	9729.53684434	9696.00212517	9504.83904048	8507.89870734	9112.98213902	9245.4883206	9061.44913944	8920.23975814	9189.11105067	8923.6757577	9325.45910676	9003.16666101	9714.30845651	9934.34418429	9639.09189386	9452.81610431	9600.62450322
