	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
<<<<<<< HEAD
Amino acid metabolism;Alanine,	1.32999664759	1.06652057126	1.40007336453	1.46617973358	1.21885181592	0.861268345362	2.11653231983	1.84620200387	1.57089127164	1.71583377038	2.04174015187	1.84781871777	2.10159677368	1.63363866066	1.97601361344	1.13142902847	1.11322729371	1.14230558553	1.26923265399	1.36536337564
Amino acid metabolism;Arginine	1.72171807627	1.39651402232	1.78736656308	1.90593886828	1.61701221331	1.36257589712	2.64822513583	2.32603677747	1.98912343671	2.21491533429	2.7063012093	2.46703707303	2.74164794485	2.27764779175	2.67164810186	1.74210082585	1.66441409731	1.72389687886	2.07314736765	1.89938424044
Amino acid metabolism;Cysteine	1.21196250934	1.07205089889	1.35096244372	1.44283778061	1.12912978639	0.798695330368	2.1174755626	1.92277709908	1.59684651567	1.74996610724	2.35815419449	2.20321791541	2.48752959949	1.87558257626	2.30899022828	1.24992684775	1.14343065565	1.30051737074	1.49589398001	1.43251158273
Amino acid metabolism;Glycine,	1.31002313874	1.19312462838	1.4920640375	1.5806145749	1.21017665276	0.861724517793	2.15468717139	2.0121044663	1.70112882017	1.88182358659	2.55097307689	2.4115449181	2.5762494903	2.03508082653	2.41397212346	1.42661395767	1.42953631606	1.36945209218	1.68083341298	1.60650189655
Amino acid metabolism;Histidine	0.79142810032	0.605322467373	0.80366770057	0.881452527522	0.685620565401	0.614775669072	1.21091761133	1.06729851353	0.947503607924	1.01915803802	1.3298660874	1.37667318098	1.3584936286	1.12953288707	1.32011657844	0.904574867553	0.901377558628	0.905390319939	0.989094660238	0.89091359648
Amino acid metabolism;Lysine	1.61511988228	1.45718795864	1.76523257489	1.83182101913	1.55750259655	1.1781181795	2.24208021687	2.19630385516	1.83525370944	1.95161817491	2.96513220659	2.75161230378	2.96086963768	2.33516965217	2.72907453487	1.57324267783	1.57862453222	1.6236779765	1.84938463725	1.83844328073
Amino acid metabolism;Phenylalanine	0.603762648409	0.558586506855	0.659581603834	0.644429833092	0.569307721277	0.414036612966	0.669869718899	0.674861088995	0.620776185704	0.622077929615	0.851397463232	0.815999087206	0.877247723987	0.696066338923	0.82528353226	0.533247615312	0.5235023485	0.545082732126	0.64699356436	0.5745115651
Amino acid metabolism;Phenylalanine,	1.05825870744	0.939119632776	1.24686440247	1.35356540548	0.961437980274	0.654479869917	1.97558422263	1.7317576688	1.41987559526	1.61003788725	2.20701376146	2.00714708382	2.21531323434	1.70182952808	2.11053803942	1.06875611922	1.06595171861	1.08627641972	1.31051360354	1.20984782974
Amino acid metabolism;Tryptophan	0.82116435732	0.720221771661	0.835087461074	0.861399019955	0.764845193941	0.713681159094	1.02145796927	1.02229818486	0.911108378197	0.935044540803	1.38540314216	1.30500968653	1.34330048707	1.06470229718	1.29339792235	0.865985499366	0.88824641025	0.8453339027	0.948373628234	0.887935196176
Amino acid metabolism;Tyrosine	0.449944376551	0.387450206895	0.465477688203	0.467121808749	0.422846737891	0.383033375491	0.532374119329	0.469794152611	0.450295807289	0.458925936186	0.519889970027	0.51944744758	0.530004459438	0.482796966617	0.49821042902	0.393399819385	0.373943594811	0.350190412963	0.404448691263	0.376601735941
Amino acid metabolism;Valine,	2.23456370325	2.01896868256	2.32567046589	2.44566810748	2.14660689723	1.83269041339	2.89198541221	2.85457733976	2.43578764221	2.63843084867	4.08902885988	3.65135427511	3.95531978844	3.09203217521	3.62955375491	2.11911501891	2.35970437976	2.20580658813	2.45383366439	2.50150914624
Biosynthesis of other secondary metabolites;Acarbose	0.289090427439	0.281004583948	0.363951090666	0.333102118297	0.294268113001	0.183560586312	0.359968220039	0.376815904941	0.334435609847	0.341866222777	0.479766750074	0.414238038609	0.471551513744	0.362751036511	0.45601875709	0.250400169961	0.246276313936	0.309344274735	0.328378751437	0.343604464767
Biosynthesis of other secondary metabolites;Carbapenem	0.119829756484	0.102376406444	0.143015175956	0.174263029539	0.126778058761	0.0635754917591	0.269564281248	0.229295552792	0.179604532079	0.202845803296	0.298469293311	0.254225460135	0.315269423507	0.226787032539	0.30366701701	0.149986403274	0.141690978705	0.130905408798	0.161278149332	0.182777416182
Biosynthesis of other secondary metabolites;Glucosinolate	0.0489030060012	0.0335503826484	0.0563873376234	0.06277290616	0.0345439887346	0.0280880697239	0.0888276198273	0.0763309695348	0.0580490659867	0.0758810830693	0.0781487039641	0.0824193873184	0.0842305552578	0.0705107824956	0.0775937153159	0.0539613325144	0.0533108806574	0.0474874107067	0.0560173095606	0.057315268119
Biosynthesis of other secondary metabolites;Isoquinoline	0.0607257625583	0.0521430068959	0.0616370823041	0.06241541521	0.0545685519772	0.0588017828992	0.089144931278	0.0753098237341	0.0644670437618	0.0742305362217	0.0613179084198	0.0633700408554	0.0629826763234	0.0736206919591	0.0578008554814	0.0603561048311	0.0443712187317	0.0617831157925	0.0696202078292	0.0421914029054
Biosynthesis of other secondary metabolites;Monobactam	0.453862329799	0.428560104947	0.53569187509	0.543054670307	0.446117494692	0.345006663965	0.656525132666	0.673609126095	0.555777509996	0.604174768098	0.951404496225	0.828196530993	0.872967383881	0.68947725655	0.803480245413	0.423320173626	0.397355359482	0.447296207492	0.516081966779	0.521825668898
Biosynthesis of other secondary metabolites;Neomycin,	0.0755809942963	0.0360310176178	0.0705515454359	0.0880079701819	0.0557468437908	0.0384506315777	0.198563492331	0.142131056694	0.116783687441	0.149529508771	0.0947246357205	0.0889934860816	0.0999085492345	0.0628018103096	0.119162850327	0.0543745671319	0.0654060221503	0.0331479561723	0.0684810104054	0.0470531404326
Biosynthesis of other secondary metabolites;Novobiocin	0.155369688423	0.123677490928	0.151026520737	0.175786252825	0.130774277159	0.0941685704906	0.237554803133	0.216753959323	0.176239671866	0.19862488156	0.2631904356	0.270742735577	0.242366538884	0.244350668189	0.224053251808	0.161990076176	0.132807328048	0.166462933893	0.188292877659	0.135471728555
Biosynthesis of other secondary metabolites;Phenazine	0.150542877378	0.17335916759	0.177625023887	0.198683182515	0.153987841202	0.144933925835	0.262108524714	0.238060040532	0.193317918443	0.217587870082	0.341294286643	0.288426852421	0.322495995138	0.243829921657	0.311092362636	0.143920119846	0.146125977908	0.139139439257	0.196975149136	0.183289802241
Biosynthesis of other secondary metabolites;Phenylpropanoid	0.208397782687	0.149911966551	0.175113777025	0.193703107599	0.172931461707	0.134810191641	0.288790994647	0.234309208019	0.233777042549	0.229287470176	0.329689206438	0.227016616904	0.252573062989	0.158872908798	0.270367988078	0.149486386815	0.133423888757	0.131311706513	0.176251550843	0.143541282907
Biosynthesis of other secondary metabolites;Prodigiosin	0.394840658115	0.342716996773	0.450906955119	0.455353954593	0.364024259736	0.21689335894	0.544102612634	0.545939574516	0.433600755616	0.477929466651	0.730245116283	0.685234645139	0.785436458042	0.646060399595	0.759329008478	0.459303559953	0.392963747995	0.496662302955	0.573490854752	0.528916893653
Biosynthesis of other secondary metabolites;Streptomycin	0.538204266333	0.460997155522	0.592567550537	0.596685809655	0.504312684589	0.320902133729	0.930592759431	0.824559394643	0.716116636204	0.777383355087	0.802843548491	0.77111393885	0.835408150513	0.641237708012	0.814666188894	0.48724605124	0.475490091755	0.476858920608	0.596667731486	0.532011942489
Biosynthesis of other secondary metabolites;Tropane,	0.133320265678	0.11066470301	0.144614317084	0.165578695349	0.118019691476	0.0915296516738	0.219092257417	0.189407741196	0.154271434607	0.176957894186	0.250389258469	0.247976451561	0.223147280296	0.222261096498	0.21018779824	0.149248122648	0.125012497859	0.142810759104	0.169107997571	0.121805306821
Carbohydrate metabolism;Amino	1.48972938466	1.36617358432	1.86627486568	1.93223264426	1.42347218666	0.916998752708	2.84446363136	2.54999647245	2.07767750114	2.306223794	2.89809583112	2.6883904177	2.95729080884	2.34960505658	2.93680576249	1.61889103477	1.58836523304	1.64118043054	1.99376279853	1.91649526088
Carbohydrate metabolism;Ascorbate	0.491918497143	0.385227930402	0.481151190901	0.506652466474	0.464056753573	0.450579787469	0.602641893736	0.571156770599	0.522968584352	0.54637084112	0.696778978358	0.645805467173	0.686724252449	0.590076328519	0.665934410714	0.462551193218	0.552333239983	0.458825155733	0.502407246584	0.544715673814
Carbohydrate metabolism;Butanoate	1.28517946229	1.32305691802	1.67582579442	1.75795421934	1.32960064303	0.942533109221	1.78968673398	1.90959496574	1.53360403526	1.61881909082	2.56395418887	2.37205887072	2.54797882655	2.01931697092	2.37625858706	1.36890084688	1.30511060545	1.41918498888	1.5324078193	1.6061845175
