Category	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Aging	6331.72879689	5791.84424964	4831.23145613	5293.48179745	5866.63877413	6509.51409174	8770.6126676	7278.8584852	6601.299786	7288.25864475	6242.0296371	6354.02498588	6910.86198068	5143.71482136	6831.62777188	4892.08732122	5132.99092837	4472.99901646	5118.7416998	4558.29159278
Cancers: Specific types	1274.14852978	1131.77884574	1081.70149036	1176.93710488	1135.79937961	1281.61129354	1871.45104634	1542.14778425	1432.360816	1589.28060016	1153.2450192	1340.03279419	1314.34082513	1392.6665591	1301.06201198	1160.95565081	1194.59858485	1119.24570387	1185.39806442	1047.00146326
Cellular community - eukaryotes	753.565373868	854.3008058	623.404503629	642.541366933	751.082536401	948.445673399	615.325778112	646.461182106	754.485096999	726.879053074	419.806040074	526.624682073	469.779168046	564.18445204	483.832602991	836.490290867	688.989927914	735.123998911	593.182728208	669.597038527
Endocrine system	20857.1932184	21462.000442	19925.2712091	19693.390209	20173.4574988	21759.4228742	18351.8547673	18568.376013	20237.040463	19602.485291	15442.0260137	17429.6779694	15754.0027205	15908.6465591	16892.7305767	20299.2923858	21112.6288124	19084.8194917	19649.6378189	18581.7700739
Transcription	17677.7054879	19381.7936604	15588.9439707	15925.0981673	17529.3846104	20227.4371706	14907.1484957	14922.5013974	16763.100867	16315.8899457	10789.6717799	13652.1846089	11829.8380742	12726.4429489	12818.9127718	18015.7948481	17526.9452378	17046.0876449	16504.8113028	15518.38011
Energy metabolism	116775.162368	114732.822928	101559.773189	103311.388913	111644.268821	120848.572594	118975.289043	109056.218955	113382.505408	114094.438891	91927.1703952	103141.423052	97579.5991485	87376.3736571	102025.947918	111042.158531	110470.743756	102783.183797	105849.663135	99258.3206748
Substance dependence	647.348721887	900.875661789	693.783362587	756.519938921	800.101494427	480.863878202	878.28546816	1021.51671417	792.487939	855.169109087	1461.57812526	1720.80522124	1894.49378819	1645.30058612	1404.79399698	804.405044871	955.913541881	801.270619904	1153.2032904	1047.94340326
Sensory system	34.947565994	22.3045599948	37.5635049777	34.7650499964	28.146504015	44.4620910187	40.8007740074	47.3384510078	38.412997	44.5903130045	43.5415870077	68.0251800093	68.8522910068	148.252318011	42.8605439992	51.7698539917	50.2938349937	92.8357119889	36.0120910127	63.1312699554
Drug resistance: Antineoplastic	5609.68366202	5616.96876168	5011.52970402	5029.19101548	5363.10511286	5407.62181927	5545.632567	5165.67354285	5379.82881	5557.73885856	4436.73840279	4939.09789568	4785.40686047	4430.07103531	4988.32754691	5655.0682191	5585.43657531	5359.78696935	5430.8710779	5053.78058943
Nervous system	3042.16066148	3037.54090729	2888.35799129	3065.58573669	2933.80711157	2943.17047623	3282.8507546	3244.53923753	3095.03684	3182.06492732	2992.69444353	4082.60979557	3370.16479133	3868.43615328	3397.57669194	3528.13782245	3719.69957454	3372.65112659	3557.86981025	3405.4261956
Circulatory system	91.623930984	73.3599169828	83.0489609506	117.373068988	91.9131440491	92.1888580389	116.530679021	147.695202024	98.330911	116.352534012	138.795111025	271.600128038	169.352580017	385.398560028	155.315407997	174.354679973	118.842547985	171.83836198	161.449275057	160.622748887
Signaling molecules and interaction	4.5499249992	28.1485569934	2.29782399863	2.33172799975	5.01083100267	4.98419700209	4.08264200074	10.6474950018	21.547619	15.7883100016	3.31393700059	12.4863230017	3.51827100034	12.4071420009	10.5389089998	8.09090899871	15.8471149981	4.9000969994	2.81218700099	8.31090799413
Development	11.7698249979	19.8305759953	10.7419799936	11.0981619988	8.59014900458	13.6795230057	13.0172510024	20.1416660033	20.44968	21.3171750022	11.8256660021	27.0158200037	16.2153490016	45.4558340032	20.2142919997	14.9525819976	24.094682997	14.8687279982	9.77881500343	17.3426729877
Metabolism of terpenoids and polyketides	32913.4203983	30865.8257457	28820.5662129	28831.93849	31233.6295347	33210.602152	31197.9646227	29340.3174798	30859.647972	30594.4628731	24998.1192714	28462.2873779	26440.1343126	24253.9169367	28669.9190935	30786.543292	30838.7777601	28909.6319995	29134.4585363	28307.374684
Amino acid metabolism	221013.774059	219550.326218	194087.811836	196578.167427	213262.932796	234409.487927	205674.04988	194663.576039	209767.879805	206917.188909	171030.399302	197573.791232	179250.755552	166037.768058	192336.515868	218447.019684	216839.749231	203346.150823	208566.202266	196520.0679
Infectious diseases: Bacterial	10746.9590551	10928.7098254	9474.39935336	9752.76820099	10333.4149355	10808.5354025	10888.09794	10406.2600787	10482.101355	10495.0615221	8669.65448053	9709.47880935	9320.8557919	8436.9661416	9432.57951884	10068.3597604	9665.5447708	9494.31594786	9977.4659565	9208.58472349
Transport and catabolism	10961.7351151	11179.6927474	9909.4844191	9827.53301398	10680.5886787	11008.5598236	10102.7850338	9868.36975462	10501.752728	10439.5270881	8453.8436195	9524.55216033	9041.53455188	8887.06491363	9248.05528284	10330.4562104	10851.1664077	9523.66108985	9712.62895241	9627.6305052
Translation	85058.3636281	92245.3371075	73659.0906371	74489.9035942	83453.6287655	90624.9212262	78262.8250832	74743.4520352	81865.85887	80681.8871883	62612.8911171	71851.418072	66507.7374446	62360.7992354	69490.3299718	82357.4691489	80853.2231219	77654.7331656	77688.1167403	72338.8330129
Cell motility	3988.83614131	4791.72548288	3499.53798392	3765.64734761	4143.58269221	3556.62364749	4487.28582181	4471.97543874	4359.473529	4458.48832145	3442.28296761	4331.76275861	3554.78391234	3337.06461823	4322.35856892	5097.73738519	5403.95790433	4336.45838648	3727.8630823	4251.559415
Replication and repair	64632.0347107	68602.461646	60892.5254178	61860.9315436	63410.8525509	66177.1270919	60739.5626671	58742.1155546	64059.908149	63447.7654465	59697.0314525	61741.4151256	57451.0889767	51813.4387356	60267.366824	66897.8774093	65137.1660668	64154.1410973	65703.449028	61789.9726653
Endocrine and metabolic diseases	4187.01851627	4506.73518995	3987.26574763	4123.99229057	4092.43236019	4138.15576074	4447.74347981	4246.38087069	4422.877581	4517.38019446	3642.43688164	4225.31259259	3869.61616438	3713.05317227	4048.80345993	4449.56656729	4332.19997446	4132.12028451	4019.59215541	3891.90402125
Nucleotide metabolism	85538.6949031	91758.4462095	78969.002298	80569.5606016	84695.9979062	89892.3288038	85510.4584016	81699.0126864	84837.527736	84597.1612746	75945.1564674	83119.8361455	76711.8256155	193561.880017	81034.3460926	88592.8309819	86375.6731432	85158.1341098	87095.1144456	81079.1711257
Drug resistance: Antimicrobial	4769.50495017	4974.53613983	5293.75807085	5780.8583424	4634.20002347	3341.68305041	8032.78512146	7825.68477728	6003.265573	6747.06383069	9907.23329975	9968.11935338	10314.676665	7442.08650054	9865.83445582	5467.15129313	5540.92409931	5875.0232353	6428.31010226	6394.95261548
Digestive system	2566.55072756	2448.70344743	2373.44840459	2345.62944875	2542.84897136	2593.97026609	2756.9946435	2486.71303141	2512.055217	2497.48886525	2160.72698838	2349.14735433	2542.91653625	2225.16386616	2481.68879996	2362.48657463	2651.24145067	2089.20058675	2147.58906376	2224.01485543
Immune diseases	186.279529967	152.445162964	176.618436894	194.45883098	168.57391009	133.430239056	399.652204072	303.931749049	261.967897	313.881850032	290.183510052	324.676721045	334.667079033	356.818166026	320.467395995	180.508685971	179.972917978	178.238012979	194.569824069	208.225416853
Cell growth and death	11971.3988749	12470.3495411	11434.8311062	11623.7880588	11553.5633072	12038.8675071	12750.1772603	12466.92722	12445.826516	12662.3665523	11337.815773	12844.1372168	12281.8171442	11693.9682848	12277.3852298	12212.8895711	12443.2771465	11575.9182766	12198.8533543	11740.6206577
Signal transduction	36642.2937596	36370.4580715	34900.5416532	35316.9737003	35143.8063288	37982.330651	39483.9761602	37142.454727	36947.215217	37918.3661939	31478.7891525	36085.809611	33119.6586913	31469.0950253	35493.2677784	37399.8952831	37379.1151273	34741.1502818	35280.4378104	34243.2759648
Cardiovascular diseases	2310.0458526	2070.31109652	1917.81043686	2116.10738678	2125.05715913	2073.47368588	2930.56935653	2432.4955414	2504.634993	2577.83848726	2029.03257936	2092.13397329	2305.47619823	1788.51674813	2221.37040296	2346.11295863	2285.53400772	1927.90950576	2327.56839982	1932.24093064
Cancers: Overview	14611.1297795	14821.4723895	13729.8488208	13990.1343155	13975.6510555	15706.6941806	15384.5125428	14426.7034754	15052.004377	15226.1679676	10895.5990589	12604.6680258	11534.0227291	11655.4854848	12469.5539418	15702.0156165	15264.6230171	14539.0071343	14422.7945561	13644.4699394
Xenobiotics biodegradation and metabolism	55197.1049824	51403.300537	47293.8712209	46918.0657971	52489.455434	63006.5530544	50857.3926672	45802.0942355	50373.911397	50402.2330621	34002.854073	41889.0813158	36395.5223656	36319.0623976	41125.8529593	49340.9372491	50009.6217678	46361.9633444	46093.8383572	44055.7129539
Environmental adaptation	6920.15381279	7265.57826031	6728.33449799	6671.72119031	6803.48828662	7108.19764799	5883.34011507	6130.393045	6605.415483	6479.88763265	5402.42954696	6308.79353388	5434.97112653	5879.06061142	5761.7492089	6589.40273495	6863.06760815	6213.17586226	6519.27736928	6236.3811446
Carbohydrate metabolism	259633.179044	258595.177096	232956.878055	234124.858113	250659.839987	273406.572204	246232.691067	236888.545646	248493.316946	246987.712676	206523.244878	236455.554488	217516.920159	198954.534313	230610.449504	258854.616245	255702.622388	241072.126319	245983.49401	235786.84212
Biosynthesis of other secondary metabolites	40133.753903	39488.2310627	36274.0190594	36705.2723472	38793.9882697	41075.6219443	39397.9721782	37481.5221371	38906.168553	38748.9096309	32727.9425258	36605.8912701	33788.9230453	30801.4901562	36327.8954604	39714.9733067	38847.5099372	37103.4720346	38006.0721093	36601.0268442
Glycan biosynthesis and metabolism	10533.2888832	11230.6097324	10854.7648515	11210.3196208	10432.4128666	8789.49452271	14598.7945957	14294.8504933	12523.375528	12968.3861753	15259.5438257	15707.2881502	16626.3244976	12854.4920409	15590.5921837	11526.5796652	11489.7779396	11692.5524746	12221.4367993	12568.4555921
Lipid metabolism	70038.1785959	67785.3228721	63009.3838084	62205.2342305	68053.2459673	74634.6450003	64614.3138608	62421.8566443	65085.541585	65263.3342256	51435.6380281	59129.5855192	55244.5781874	51062.4931606	58105.2362569	63620.8601888	64806.0051099	60812.0952337	62609.438471	60739.2639831
Excretory system	1046.81441281	1254.5491087	1042.56266338	989.353683897	1126.87816961	1299.27393355	939.76823617	999.349840163	1068.75518	1083.74044411	1079.47763919	1145.15666316	1096.49495911	1032.70889607	1165.05053798	1025.73314084	1091.71417586	982.025444882	1114.37993039	1020.30097028
Metabolism of other amino acids	32556.3045723	31319.3905387	28225.0379792	28761.899452	31275.6830627	35592.601835	34160.5848172	31159.2784681	31996.876811	32650.2489383	28638.3284301	31949.8066964	30122.1275219	25917.1110078	30824.9039715	31142.923551	31503.9595371	29425.5747665	30492.2136327	28886.9436076
Metabolism of cofactors and vitamins	108198.529043	106236.745943	96368.7343997	98740.9337947	103913.555021	113173.996045	109097.876196	100154.170855	106270.87936	107651.57582	86391.8467232	97366.5921255	90864.4032059	80898.1129287	96640.2190463	107286.050829	105947.338488	98651.9321822	100960.246749	96245.0814251
Membrane transport	74065.0963141	73106.7923449	71851.1980883	71576.3321665	72007.6073704	76955.6907404	72913.8171783	69988.5274425	73052.80338	72085.4067284	56739.681919	65021.776451	59719.7885059	57181.529258	64165.3883619	75706.425241	74913.4180717	72714.1761522	74371.099991	70366.6172523
Infectious diseases: Viral	13341.9393227	14912.1080015	11919.1805419	12652.8109427	13430.3272282	15713.9374866	11047.003901	11423.4433979	13187.118374	13193.6287753	7328.40380929	9312.61068729	8009.50323278	9743.26822068	9048.79357485	14769.3564256	13139.0385004	13099.2975694	12177.8365193	11914.8881886
Neurodegenerative diseases	3127.47739345	2933.52802631	2650.12914242	3179.70950567	2947.00928657	3358.89034142	4198.34314076	3832.82416163	3460.842509	3867.56335539	2830.8639795	3638.9683085	3254.22267632	3995.72807429	3104.60008495	2974.30430453	2699.29091066	2858.08338366	2575.2053899	2699.75097809
Folding, sorting and degradation	35814.6935818	37136.2576943	31622.0458432	32581.9527076	35025.9884907	36024.0179592	35006.5807544	33510.3523895	35254.28251	34772.5339186	29276.8424532	33726.0195727	31298.5227351	29223.0002391	32396.9574494	37062.6815931	35922.0295815	35013.4594588	35100.5235753	32664.1200129
Immune system	1396.05292176	1328.21537469	1196.40644629	1342.01832186	1302.3038857	1367.66344958	1843.61594534	1611.34048026	1586.034661	1606.05759716	1368.94592125	1411.2352712	1540.36522115	1415.2290021	1398.84697697	1484.28451577	1430.99407282	1216.35752485	1421.4147555	1172.30058917
Global and overview maps	1136582.61062	1126957.67884	1010440.67563	1024074.40515	1094090.38023	1184314.00276	1107197.78173	1040520.50391	1098379.34136	1097054.8294	910820.333334	1039275.88804	957369.057801	991190.978426	1014375.67656	1122697.50197	1107319.49363	1046193.25717	1077921.89089	1016198.19876
Infectious diseases: Parasitic	1254.55289078	1223.19143071	1150.62159432	1086.42322989	1231.27111065	1145.22621648	825.30700415	936.605863153	1075.895925	1021.3943821	637.220091113	787.135425109	734.045358072	842.79717206	749.172645987	1085.48301583	951.983018882	1015.79255388	1007.29586735	1006.75978729
Cellular community - prokaryotes	65338.6476966	66732.2621544	63166.1591954	62108.2884266	64638.0590045	66633.802032	60573.937553	59406.8055408	62692.365411	61438.8745862	44048.9771918	50589.1364001	45375.0494814	46428.4112143	50040.8594112	63593.5602899	63222.9781322	61511.4511806	62312.8650158	60107.0610596
