Category	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Nucleotide metabolism	85538.6949031	91758.4462095	78969.002298	80569.5606016	84695.9979062	89892.3288038	85510.4584016	81699.0126864	84837.527736	84597.1612746	75945.1564674	83119.8361455	76711.8256155	193561.880017	81034.3460926	88592.8309819	86375.6731432	85158.1341098	87095.1144456	81079.1711257
Metabolism of terpenoids and polyketides	32913.4203983	30865.8257457	28820.5662129	28831.93849	31233.6295347	33210.602152	31197.9646227	29340.3174798	30859.647972	30594.4628731	24998.1192714	28462.2873779	26440.1343126	24253.9169367	28669.9190935	30786.543292	30838.7777601	28909.6319995	29134.4585363	28307.374684
Glycan biosynthesis and metabolism	10533.2888832	11230.6097324	10854.7648515	11210.3196208	10432.4128666	8789.49452271	14598.7945957	14294.8504933	12523.375528	12968.3861753	15259.5438257	15707.2881502	16626.3244976	12854.4920409	15590.5921837	11526.5796652	11489.7779396	11692.5524746	12221.4367993	12568.4555921
Biosynthesis of other secondary metabolites	40133.753903	39488.2310627	36274.0190594	36705.2723472	38793.9882697	41075.6219443	39397.9721782	37481.5221371	38906.168553	38748.9096309	32727.9425258	36605.8912701	33788.9230453	30801.4901562	36327.8954604	39714.9733067	38847.5099372	37103.4720346	38006.0721093	36601.0268442
Energy metabolism	116775.162368	114732.822928	101559.773189	103311.388913	111644.268821	120848.572594	118975.289043	109056.218955	113382.505408	114094.438891	91927.1703952	103141.423052	97579.5991485	87376.3736571	102025.947918	111042.158531	110470.743756	102783.183797	105849.663135	99258.3206748
Metabolism of other amino acids	32556.3045723	31319.3905387	28225.0379792	28761.899452	31275.6830627	35592.601835	34160.5848172	31159.2784681	31996.876811	32650.2489383	28638.3284301	31949.8066964	30122.1275219	25917.1110078	30824.9039715	31142.923551	31503.9595371	29425.5747665	30492.2136327	28886.9436076
Metabolism of cofactors and vitamins	108198.529043	106236.745943	96368.7343997	98740.9337947	103913.555021	113173.996045	109097.876196	100154.170855	106270.87936	107651.57582	86391.8467232	97366.5921255	90864.4032059	80898.1129287	96640.2190463	107286.050829	105947.338488	98651.9321822	100960.246749	96245.0814251
Xenobiotics biodegradation and metabolism	55197.1049824	51403.300537	47293.8712209	46918.0657971	52489.455434	63006.5530544	50857.3926672	45802.0942355	50373.911397	50402.2330621	34002.854073	41889.0813158	36395.5223656	36319.0623976	41125.8529593	49340.9372491	50009.6217678	46361.9633444	46093.8383572	44055.7129539
Amino acid metabolism	221013.774059	219550.326218	194087.811836	196578.167427	213262.932796	234409.487927	205674.04988	194663.576039	209767.879805	206917.188909	171030.399302	197573.791232	179250.755552	166037.768058	192336.515868	218447.019684	216839.749231	203346.150823	208566.202266	196520.0679
Lipid metabolism	70038.1785959	67785.3228721	63009.3838084	62205.2342305	68053.2459673	74634.6450003	64614.3138608	62421.8566443	65085.541585	65263.3342256	51435.6380281	59129.5855192	55244.5781874	51062.4931606	58105.2362569	63620.8601888	64806.0051099	60812.0952337	62609.438471	60739.2639831
Global and overview maps	1136582.61062	1126957.67884	1010440.67563	1024074.40515	1094090.38023	1184314.00276	1107197.78173	1040520.50391	1098379.34136	1097054.8294	910820.333334	1039275.88804	957369.057801	991190.978426	1014375.67656	1122697.50197	1107319.49363	1046193.25717	1077921.89089	1016198.19876
Carbohydrate metabolism	259633.179044	258595.177096	232956.878055	234124.858113	250659.839987	273406.572204	246232.691067	236888.545646	248493.316946	246987.712676	206523.244878	236455.554488	217516.920159	198954.534313	230610.449504	258854.616245	255702.622388	241072.126319	245983.49401	235786.84212
