Category	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Cellular community - eukaryotes	753.565373868	854.3008058	623.404503629	642.541366933	751.082536401	948.445673399	615.325778112	646.461182106	754.485096999	726.879053074	419.806040074	526.624682073	469.779168046	564.18445204	483.832602991	836.490290867	688.989927914	735.123998911	593.182728208	669.597038527
Transcription	17677.7054879	19381.7936604	15588.9439707	15925.0981673	17529.3846104	20227.4371706	14907.1484957	14922.5013974	16763.100867	16315.8899457	10789.6717799	13652.1846089	11829.8380742	12726.4429489	12818.9127718	18015.7948481	17526.9452378	17046.0876449	16504.8113028	15518.38011
Energy metabolism	116775.162368	114732.822928	101559.773189	103311.388913	111644.268821	120848.572594	118975.289043	109056.218955	113382.505408	114094.438891	91927.1703952	103141.423052	97579.5991485	87376.3736571	102025.947918	111042.158531	110470.743756	102783.183797	105849.663135	99258.3206748
Signaling molecules and interaction	4.5499249992	28.1485569934	2.29782399863	2.33172799975	5.01083100267	4.98419700209	4.08264200074	10.6474950018	21.547619	15.7883100016	3.31393700059	12.4863230017	3.51827100034	12.4071420009	10.5389089998	8.09090899871	15.8471149981	4.9000969994	2.81218700099	8.31090799413
Nucleotide metabolism	85538.6949031	91758.4462095	78969.002298	80569.5606016	84695.9979062	89892.3288038	85510.4584016	81699.0126864	84837.527736	84597.1612746	75945.1564674	83119.8361455	76711.8256155	193561.880017	81034.3460926	88592.8309819	86375.6731432	85158.1341098	87095.1144456	81079.1711257
Metabolism of terpenoids and polyketides	32913.4203983	30865.8257457	28820.5662129	28831.93849	31233.6295347	33210.602152	31197.9646227	29340.3174798	30859.647972	30594.4628731	24998.1192714	28462.2873779	26440.1343126	24253.9169367	28669.9190935	30786.543292	30838.7777601	28909.6319995	29134.4585363	28307.374684
Amino acid metabolism	221013.774059	219550.326218	194087.811836	196578.167427	213262.932796	234409.487927	205674.04988	194663.576039	209767.879805	206917.188909	171030.399302	197573.791232	179250.755552	166037.768058	192336.515868	218447.019684	216839.749231	203346.150823	208566.202266	196520.0679
Transport and catabolism	10961.7351151	11179.6927474	9909.4844191	9827.53301398	10680.5886787	11008.5598236	10102.7850338	9868.36975462	10501.752728	10439.5270881	8453.8436195	9524.55216033	9041.53455188	8887.06491363	9248.05528284	10330.4562104	10851.1664077	9523.66108985	9712.62895241	9627.6305052
Translation	85058.3636281	92245.3371075	73659.0906371	74489.9035942	83453.6287655	90624.9212262	78262.8250832	74743.4520352	81865.85887	80681.8871883	62612.8911171	71851.418072	66507.7374446	62360.7992354	69490.3299718	82357.4691489	80853.2231219	77654.7331656	77688.1167403	72338.8330129
Cell motility	3988.83614131	4791.72548288	3499.53798392	3765.64734761	4143.58269221	3556.62364749	4487.28582181	4471.97543874	4359.473529	4458.48832145	3442.28296761	4331.76275861	3554.78391234	3337.06461823	4322.35856892	5097.73738519	5403.95790433	4336.45838648	3727.8630823	4251.559415
Replication and repair	64632.0347107	68602.461646	60892.5254178	61860.9315436	63410.8525509	66177.1270919	60739.5626671	58742.1155546	64059.908149	63447.7654465	59697.0314525	61741.4151256	57451.0889767	51813.4387356	60267.366824	66897.8774093	65137.1660668	64154.1410973	65703.449028	61789.9726653
