Category	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Metabolism;Metabolism of other amino acids;beta-Alanine	9792.72636929	9357.84472381	8229.1683331	8284.75169314	9441.53779804	11178.4166717	9092.49618965	8805.67262644	9410.29914699	9235.14460294	6559.62307316	7480.72317004	6955.08041368	7071.9008685	7422.40360287	9003.86786057	9660.3947058	8538.68414797	8317.29401892	8149.68555824
Environmental Information Processing;Signal transduction;Hippo	6.83060699881	5.72607399866	7.63124699546	5.93132099938	8.87339100474	9.65032200406	11.9808710022	9.34513200153	7.056842	9.50546400097	8.84772800156	11.3595390016	16.3818440016	31.1952110022	9.35695699984	7.63723099879	9.70718899879	6.82364299918	6.92785900244	10.4886779926
Environmental Information Processing;Signal transduction;Hippo	10.1893819982	6.94394199838	10.5184029937	9.96539999895	9.21333200492	15.2143740064	16.0970800029	16.7290630027	11.893562	14.2564460015	12.2444090022	19.0637940026	20.9843370021	49.8654240035	14.3314579998	12.0414369981	14.8910719982	10.0401529988	9.60790800338	17.2717859878
Organismal Systems;Immune system;Hematopoietic	0.813687999858	0.356824999916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.837541000148	8.47007700118	0.0	3.68278200026	7.74706599987	2.57633999959	11.4322169986	1.60845699981	0.862180000302	4.43666099687
Metabolism;Glycan biosynthesis and metabolism;Peptidoglycan	3449.3068074	3422.5834212	3744.21384877	4019.11970658	3309.25769176	2271.71965996	6360.97824616	5800.56479795	4687.971433	5144.62324852	7074.32966825	6943.37026496	7499.02035673	5128.28010636	6806.23131388	3791.7025324	3758.93166153	3929.80893153	4365.02343353	4418.17006088
Organismal Systems;Development;Axon	5.08771999911	15.6469239963	4.08263599757	3.8453289996	4.72522900252	6.73288700283	5.69062800104	9.67100500158	14.011403	11.9739590012	4.34200400077	7.212408001	6.76720800066	17.2698420012	5.10079399992	6.02827299904	6.01566599926	5.29115799936	3.45570200121	5.52247699609
Human Diseases;Neurodegenerative diseases;Amyotrophic	190.841059967	92.3428599784	115.500922931	151.804258984	118.120272063	90.4363490381	491.67753709	339.660958056	290.465691	313.056711032	146.739607026	136.502688019	179.284421017	123.927056009	175.268845997	87.8955999858	115.358467986	67.1139459919	91.3920250321	112.608186921
Organismal Systems;Endocrine system;PPAR	8408.91542353	8556.34266	7842.87697533	7695.6956672	8206.92121338	9112.61341883	6884.43591725	7078.28449316	8003.12169099	7617.20076578	5595.55725399	6288.72457887	5515.13824654	5664.6294654	6134.27152389	7579.28954979	8128.47925499	7151.59004414	7618.40369067	6944.0944451
Environmental Information Processing;Signal transduction;cAMP	88.0658699847	75.8265709822	88.2829009475	91.1525429905	70.0205630374	55.6098090234	102.552380019	104.610974017	91.892653	92.4862820094	159.322162028	211.952746029	200.13661502	177.946121013	222.392016996	113.484772982	104.754122987	108.167982987	120.283863042	114.860976919
Environmental Information Processing;Signal transduction;cGMP-PKG	38.0863879934	21.8539739948	32.9688239804	35.7953189963	27.6544160148	45.191712019	44.012405008	49.0994170081	39.002974	46.7471480048	40.7476780072	68.0955540094	60.4480720059	145.06205301	43.3451719992	36.0294239943	45.5716449943	38.2775619954	29.5602130104	52.0615319632
