Category	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Cellular Processes;Transport and catabolism;Endocytosis	78.3691179864	41.6575249902	70.9977409578	73.4781909924	54.6076600291	77.8593250328	208.550025038	173.081342028	99.038085	120.921495012	75.1416400133	118.921708016	138.918926014	265.104013019	118.597461998	136.065089978	96.141231988	100.712329988	84.7629280297	141.4564559
Cellular Processes;Transport and catabolism;Phagosome	418.354824927	472.891928889	314.106321813	284.81947097	401.756581215	511.284501215	350.773161064	323.886261053	352.14347	350.690593036	215.474640038	246.968212034	245.844191024	348.253496025	258.205662996	307.966860951	321.39253396	293.051746965	278.292675098	291.955670794
Cellular Processes;Transport and catabolism;Peroxisome	7617.86291267	7635.77719521	6796.42251195	6822.37318429	7351.21795792	7762.49974126	6680.01726321	6579.23067408	7112.75855199	6967.35945471	5706.52521101	6394.36257089	5845.67048557	5475.84545339	6284.73735589	7159.27980086	7580.41157606	6537.36532321	6860.28131941	6317.80020454
Cellular Processes;Transport and catabolism;Autophagy	671.955467883	743.714811826	574.461217658	562.428152941	666.937867356	686.759648289	519.424111094	477.857932078	616.77342	610.644377062	370.696684066	459.725597064	424.033457041	526.742312037	463.025639992	693.54605089	702.063672913	593.629426928	541.31784419	616.976140564
Cellular Processes;Transport and catabolism;Lysosome	1421.58717475	1493.51669265	1510.8658411	1445.00815785	1471.51835479	1212.92567851	1697.39761031	1713.03503328	1601.109536	1656.75572217	1631.26632729	1708.17265524	1819.02090018	1506.78646211	1556.16719997	1260.0004488	1370.99761683	1320.33080784	1349.22298247	1543.12105791
Cellular Processes;Cell motility;Bacterial	3689.70107036	4516.07717794	3175.04854511	3387.53301165	3898.11419608	3425.68839744	4091.97975274	4000.34042466	3885.274605	4018.70249341	2934.27710252	3642.83896351	3001.43612329	2849.8195832	3827.75603593	4841.46929523	4975.96660838	4100.33744451	3458.96802321	3904.67547824
Cellular Processes;Cell motility;Regulation	7.28351099872	17.243419996	6.14568399634	6.91985899927	5.61646700299	8.85830200372	7.53837200137	14.0494290023	17.096554	14.6993410015	7.3299450013	20.2659240028	9.41295100092	27.923090002	14.9760799997	11.1193279982	20.4714459975	8.90079499893	6.00185700211	13.7944619903
Cellular Processes;Cellular community - eukaryotes;Focal	9.42465399835	18.4536679957	7.78829999536	8.65775499909	6.9463220037	11.6527590049	10.0482050018	16.9437970028	19.104487	17.6487570018	9.63943400171	23.6293190033	12.9484730013	37.3881680026	17.3322639997	12.9581199979	23.0866979971	11.1696879987	7.88729500277	16.1842579886
Cellular Processes;Cell growth and death;Apoptosis	169.012270971	87.6573709795	91.0344829458	127.930860987	124.817446067	248.304333104	274.76943505	207.090225034	151.455612	216.838033022	68.5795440121	62.0926680086	100.62382201	70.563707005	89.2153839985	53.9744619914	43.0565789946	25.6862439969	51.9340840182	60.5426979572
Cellular Processes;Cell growth and death;Apoptosis	22.608061996	10.5712439975	10.3641799938	9.87812299897	14.1357140075	3.63988900154	31.6503350057	32.8040660054	29.225789	26.7670840027	6.03008300107	14.8198550021	17.3310230017	12.5315330009	4.88304399992	5.6549049991	4.74445399941	7.27073399912	4.09170600143	12.4164599912
