Category	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Environmental Information Processing;Signal transduction;Hippo	6.83060699881	5.72607399866	7.63124699546	5.93132099938	8.87339100474	9.65032200406	11.9808710022	9.34513200153	7.056842	9.50546400097	8.84772800156	11.3595390016	16.3818440016	31.1952110022	9.35695699984	7.63723099879	9.70718899879	6.82364299918	6.92785900244	10.4886779926
Environmental Information Processing;Signal transduction;Hippo	10.1893819982	6.94394199838	10.5184029937	9.96539999895	9.21333200492	15.2143740064	16.0970800029	16.7290630027	11.893562	14.2564460015	12.2444090022	19.0637940026	20.9843370021	49.8654240035	14.3314579998	12.0414369981	14.8910719982	10.0401529988	9.60790800338	17.2717859878
Environmental Information Processing;Signal transduction;cAMP	88.0658699847	75.8265709822	88.2829009475	91.1525429905	70.0205630374	55.6098090234	102.552380019	104.610974017	91.892653	92.4862820094	159.322162028	211.952746029	200.13661502	177.946121013	222.392016996	113.484772982	104.754122987	108.167982987	120.283863042	114.860976919
Environmental Information Processing;Signal transduction;cGMP-PKG	38.0863879934	21.8539739948	32.9688239804	35.7953189963	27.6544160148	45.191712019	44.012405008	49.0994170081	39.002974	46.7471480048	40.7476780072	68.0955540094	60.4480720059	145.06205301	43.3451719992	36.0294239943	45.5716449943	38.2775619954	29.5602130104	52.0615319632
Environmental Information Processing;Signal transduction;Calcium	56.8044549901	21.016912995	49.8645919703	64.5183179933	36.8600070197	46.1335340194	156.355403029	102.988620017	94.0314689999	110.648902011	85.6665960151	72.7022130101	95.6012510094	131.098937009	92.4951939983	56.888909991	59.0456009927	40.6083359951	59.948724021	52.1396799632
Environmental Information Processing;Signal transduction;Hippo	2.02961099965	1.2877719997	1.81232999892	1.81051399981	1.10152800059	2.18570900092	2.85305000052	2.70191100044	1.840856	1.9975020002	1.97602700035	2.69378700037	3.63992000036	7.53831900053	2.65827199995	2.65572199958	2.17565199973	1.75157199979	1.19477400042	2.4087469983
Environmental Information Processing;Signal transduction;TGF-beta	16.3815119972	9.78245399771	13.6560539919	16.0648949983	12.9456340069	20.0738770084	18.3584550033	19.6153440032	17.214747	23.9691840024	16.5866890029	28.656656004	28.0271760027	63.6287440045	18.2117549997	15.2676539976	19.2428629976	17.7066649979	12.9833650046	21.1203679851
Environmental Information Processing;Signaling molecules and interaction;ECM-receptor	1.76587399969	13.5951199968	0.404081999759	0.264132999972	1.89790200101	1.38629800058	0.834546000152	4.01898500066	9.99249699999	6.44695400066	1.05300300019	8.72091500122	0.111707000011	3.72259600026	7.97637199987	4.44500599929	12.2565269985	2.14966499974	1.00198700035	4.8143729966
Environmental Information Processing;Signaling molecules and interaction;Cell	2.78405099951	14.5534369966	1.89374199887	2.06759499978	3.11292900166	3.59789900151	3.24809600059	6.62851000109	11.555122	9.34135600095	2.2609340004	3.76540800053	3.40656400033	8.68454600061	2.56253699996	3.64590299942	3.59058799956	2.75043199966	1.81020000064	3.49653499753
Environmental Information Processing;Membrane transport;Bacterial	8282.40199256	8720.38165696	7731.5139274	8387.96242713	8077.76421831	7748.55106826	8872.47896461	8651.73298942	8661.03700899	8571.19843687	8142.02293144	9093.00573826	8911.74895187	7670.53753254	9250.67418084	8646.91598562	8603.00957493	8807.28678694	8598.99100702	8102.80548228
Environmental Information Processing;Signal transduction;Plant	3.09461399946	1.04436799976	3.29498699804	2.31681399976	1.28477800069	2.39274500101	2.16907600039	2.85136300047	2.042906	2.40090200024	3.87369200068	4.14366300058	7.64945500075	9.05888300064	4.45532999992	1.8650179997	3.2523599996	3.41314499959	2.33793000082	3.75354899735
Environmental Information Processing;Signal transduction;Phosphatidylinositol	1709.5963867	1807.35372858	1766.04884495	1815.25273481	1661.29905089	1712.76994172	2023.43371537	1836.9550313	1766.01535	1825.75696019	1647.65507629	1856.07283926	1719.46014217	1631.96581411	1813.44328897	1909.8603607	1879.94122477	1637.8902758	1655.26527058	1670.08254282
Environmental Information Processing;Signal transduction;Sphingolipid	33.3511149942	21.182810995	22.4183089867	26.3153569973	24.8071570132	32.9491890139	43.5095070079	40.0673610066	35.485238	39.374128004	39.9863250071	67.7251950094	54.3086560053	125.257011009	54.505207999	29.4212069953	39.8601919951	48.4023419942	39.4355360138	44.1545249688
Environmental Information Processing;Signal transduction;Phospholipase	67.9939059882	18.0773559958	57.141856966	65.0803329932	36.3473500194	38.7107470163	273.31151805	192.246188031	112.5721	134.908146014	58.6222940104	80.4190830112	116.341803011	93.6407790066	106.506291998	112.612751982	64.911237992	58.187093993	74.6831790262	83.5416599409
Environmental Information Processing;Signal transduction;Wnt	25.3083909956	14.7866429965	21.1178579874	23.4441829976	20.0643410107	30.811109013	28.5707020052	32.4266370053	26.218582	35.1361270036	25.9783800046	42.4832850059	41.338885004	99.157995007	29.1144829995	23.1600029963	28.3823289965	26.6439419968	19.856772007	32.7424229769
Environmental Information Processing;Signal transduction;Hedgehog	18.1178149969	11.1510419974	16.0097049905	17.5514459982	13.9610230075	22.0647740093	21.5527890039	23.2126820038	16.759477	23.9836550024	17.7460440031	32.2516580045	29.8990760029	72.5089140052	20.7485089996	18.981027997	19.6851529975	20.0911679976	15.9965810056	25.6062489819
Environmental Information Processing;Signal transduction;Hedgehog	17.404891997	10.7548899975	16.9349999899	17.7902099982	15.1474960081	21.8437550092	21.928819004	25.6074750042	19.329022	25.5335580026	19.6766440035	33.5895890047	29.0945250028	75.5851440054	21.8421589996	19.0964989969	20.8760409974	18.5997629978	16.4198930058	25.1948549822
Environmental Information Processing;Signal transduction;TNF	5.52907699903	3.92493399908	5.7064369966	7.13020799926	3.78516200201	7.18380900302	6.49333800118	8.97544800147	5.246736	8.22603200084	6.40992800114	10.5262410015	10.7455090011	25.2962760018	8.94865999985	5.92428999905	8.57853799894	6.27936499925	5.29594600186	7.2220149949
