Category	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Genetic Information Processing;Transcription;Spliceosome	149.489594974	87.5944239795	135.434016919	151.170744984	110.675254059	179.727351076	194.026074035	216.893638036	149.12893	202.363017021	173.216939031	272.672800038	261.848488026	600.871332042	199.344579997	166.531309973	185.780587977	188.005236977	133.107675047	215.313392848
Genetic Information Processing;Folding, sorting and degradation;Protein	7185.62531775	7420.92887826	6164.40674733	6120.82585136	7019.22649275	7304.84624807	5648.86702903	5569.22101491	6305.238648	5989.99570761	4274.75778276	5268.88863173	4477.12005144	4881.65731534	4961.64169391	7332.49060783	6784.64181016	6668.1561832	6686.44952935	6133.69072967
Genetic Information Processing;Replication and repair;Nucleotide	13619.1335196	14098.7109167	12215.4204957	12315.1530247	13177.028789	14208.793369	11485.3940961	11186.9189628	12758.968768	12394.1454343	9649.57281571	11265.0943226	10165.736202	9724.57807969	10903.5770228	13326.6372419	12906.6183664	12761.1725715	12581.5375454	12017.7233435
Genetic Information Processing;Replication and repair;DNA	19268.4571246	20910.6976601	18359.3295251	18612.5354081	19112.2231142	20076.2170655	17097.2477491	16957.7323768	18926.030241	18593.4923729	16478.9847649	16810.5917503	15198.9622485	14746.891397	16423.2375727	20420.8245547	19889.4552885	19372.1336557	19713.9851499	18670.6741138
Genetic Information Processing;Replication and repair;Non-homologous	906.735827842	1008.36085776	1010.0054774	997.625304896	876.438521468	933.276185392	627.033092114	648.627156106	887.961623	834.184676085	613.068008109	622.637435086	545.667899054	581.644869041	565.95631299	890.652348858	763.065254905	844.312081899	856.8578363	806.84330543
Genetic Information Processing;Folding, sorting and degradation;SNARE	20.8152329964	11.1361029974	17.7225639895	20.2649009979	15.9971020085	26.141683011	27.9897550051	27.3373700045	18.232991	28.4204800029	25.2479630044	36.344623005	43.6505900043	84.445026006	25.6096259995	19.7895199969	24.531599997	23.4267449972	15.5359200054	28.7187059797
Genetic Information Processing;Replication and repair;Base	8712.42969848	9582.87900175	8223.2979571	8319.77847113	8611.3772866	9128.86567284	7696.5650984	7604.29782425	8477.40642499	8342.94165785	6554.50807816	7675.75535207	6900.89564367	6466.49214546	7301.64269687	9109.55577455	9079.66170087	8691.13713995	8356.93464693	7931.8460344
Genetic Information Processing;Transcription;Basal	9024.43879843	9712.42969972	8191.73263213	8336.08680213	8935.84845577	10599.8759635	7022.62324328	7297.2466512	8651.86832699	8300.37513385	4693.37713083	6146.54131385	4940.19483948	5865.24361041	5768.6248979	9470.77484749	9106.49968387	8794.14674594	8381.91025694	7938.39240639
Genetic Information Processing;Transcription;RNA	8503.77709452	9581.76953675	7261.77732168	7437.84062022	8482.86090053	9447.83385598	7690.4991784	7408.36110821	7962.10360999	7813.15179479	5923.07771005	7232.970495	6627.79474665	6260.32800644	6850.94329388	8378.48869067	8234.66496597	8063.93566203	7989.7933708	7364.6743108
Genetic Information Processing;Folding, sorting and degradation;Protein	10385.0584262	11222.9333234	9417.27839539	9990.59497096	10309.7366205	10375.4316524	10841.407649	10380.8073817	10682.219618	10636.0259531	9284.71581264	10174.2732804	9829.28058296	8638.75054561	9978.66305083	10660.6368063	10582.4735077	10166.4701488	10565.3589697	9810.55028207
Genetic Information Processing;Replication and repair;Homologous	5880.11424598	6010.88690159	5800.85293555	6151.78936036	5591.26663599	4869.33172305	8515.96930955	7793.68718728	7080.52788599	7424.91005876	10906.1942469	9527.78398532	9950.21881497	7232.75812551	9569.06559883	6235.49535601	6166.88573524	6296.04603124	7281.16383455	6861.34553815
Genetic Information Processing;Translation;Aminoacyl-tRNA	24370.9874638	27006.2638997	22519.2300536	22575.6435166	24047.2997868	25818.3431039	23930.5064883	23083.4569968	24757.803596	24426.7078805	19886.6634845	22887.1197992	20977.1742711	19571.1878334	22605.4480936	25566.2834739	24969.4399629	24331.9469751	24437.5125276	22959.3028358
Genetic Information Processing;Folding, sorting and degradation;Sulfur	7039.02645577	6998.71118036	6428.48456117	6575.29286431	6765.11693061	7152.47326401	6595.7461252	6411.65528105	6922.85719499	6853.5356757	5599.03258599	6772.06304094	5958.01774158	5563.67478439	6483.27735889	8028.55989672	7632.01660005	7212.20924313	7345.10332558	6518.4274814
Genetic Information Processing;Folding, sorting and degradation;Ubiquitin	76.5974309867	44.7765309895	61.5492959633	75.5493429921	55.6888550298	89.9961820379	106.096862019	107.213062018	85.881761	106.888062011	95.5132330168	130.277098018	131.265663013	318.267397022	89.6444779985	68.896252989	84.4796559895	84.2123549899	65.1068150229	100.308798929
Genetic Information Processing;Folding, sorting and degradation;RNA	6633.22142684	6705.62672943	5953.76501346	6163.47966436	6425.96116643	5984.00594752	8443.70978354	7788.15312727	7312.20530999	7523.28478277	7673.13792036	8401.74432417	8362.87625082	6868.72966149	8238.68840386	6864.44122891	6662.26636517	6862.31328818	6875.32877141	6548.22740338
Genetic Information Processing;Translation;RNA	11249.92551	12504.0804901	9945.89829108	9915.82940297	11116.1549469	12256.6042122	8631.07796157	8479.80457339	10205.755185	9714.64920999	6692.21435818	8027.37146711	6940.13884168	7595.71343754	7682.68742787	11522.4422182	10964.5545526	10611.4016227	10492.1866077	9679.42200716
Genetic Information Processing;Translation;Ribosome	39419.7195821	42023.0554612	32517.6686836	33408.9034135	38366.2029475	41324.8810644	37872.0772689	35614.4424048	37858.768548	38000.0006699	30293.7253184	33884.5177147	32568.7503222	28553.454683	32588.0208354	35639.0850043	35767.3542835	33796.5187239	33979.2266539	31453.9466878
Genetic Information Processing;Translation;mRNA	1668.75300871	1688.9345566	1312.50932322	1329.78378486	1632.28704587	1779.08943775	1185.99829922	1216.3069962	1426.148284	1341.82667314	910.974135161	1221.34331617	983.841733096	1276.72399409	1077.98150198	1627.54822874	1655.08296879	1468.42516382	1523.39796953	1332.06984506
Genetic Information Processing;Folding, sorting and degradation;Proteasome	4474.34929122	4732.14494889	3578.83926587	3635.94511262	4434.26132336	5091.12298214	3342.76355061	3225.96515253	3927.646987	3634.38325737	2324.43715541	2942.42857441	2496.31185524	2867.4755092	2619.43283796	4087.86728035	4151.62004248	3996.67149552	3547.64024424	3524.19661151
Genetic Information Processing;Replication and repair;Mismatch	12793.3879398	13390.7680969	12499.2611616	12686.1023067	12653.1046998	12824.7011764	12943.5940814	12273.818717	12938.260066	13102.3342413	13799.0344424	13573.0351279	12831.2383573	11072.9405188	13387.6494498	13740.3358298	13338.3836893	13251.0127544	13933.7279209	12875.8363829
