Category	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Metabolism;Metabolism of other amino acids;beta-Alanine	9792.72636929	9357.84472381	8229.1683331	8284.75169314	9441.53779804	11178.4166717	9092.49618965	8805.67262644	9410.29914699	9235.14460294	6559.62307316	7480.72317004	6955.08041368	7071.9008685	7422.40360287	9003.86786057	9660.3947058	8538.68414797	8317.29401892	8149.68555824
Metabolism;Glycan biosynthesis and metabolism;Peptidoglycan	3449.3068074	3422.5834212	3744.21384877	4019.11970658	3309.25769176	2271.71965996	6360.97824616	5800.56479795	4687.971433	5144.62324852	7074.32966825	6943.37026496	7499.02035673	5128.28010636	6806.23131388	3791.7025324	3758.93166153	3929.80893153	4365.02343353	4418.17006088
Metabolism;Energy metabolism;Nitrogen	7731.04960665	7525.39073424	6836.94739993	6684.3555163	7382.19081694	8277.85600848	6955.00115726	6415.36260105	6939.41053899	6870.0611107	5309.20146994	6453.4346139	5403.84873553	5509.50514239	6239.67222389	7506.87264981	7658.11818205	6802.85633218	7010.35759146	6569.60017336
Metabolism;Amino acid metabolism;Lysine	11847.3209109	12106.6606292	10214.8474019	10285.9845479	11531.1912532	11992.47713	11248.772082	10650.3772107	11230.899961	11219.4012491	9443.74267967	11214.5568636	10141.662364	9033.94261464	10491.9464808	11694.2598371	11289.9947936	10835.4070297	11282.376877	10639.8082075
Metabolism;Xenobiotics biodegradation and metabolism;Steroid	81.0140449859	79.2311119813	63.2974369623	61.4997899936	55.1127800294	46.0810620194	69.2046210128	92.8038030154	80.5219949999	83.7796230085	38.1759960067	88.6820100123	50.841750005	74.3349290052	50.9798549991	84.9846879865	64.329774992	78.9464879905	57.8605580203	63.0741679555
Metabolism;Xenobiotics biodegradation and metabolism;Metabolism	3444.0725714	3087.05238928	2995.06407022	2880.1073267	3271.58884175	4177.63077176	3095.54562956	2593.51564542	3018.525124	3081.01697331	1627.79187829	2203.18537731	1720.62183517	2018.07799314	2145.33211896	2949.77438953	3139.95873561	2604.21972169	2625.08236092	2684.6760211
Metabolism;Metabolism of terpenoids and polyketides;Insect	2628.01215454	2448.49334643	2098.17948175	2154.15138478	2413.60883329	3258.96831837	2511.09787146	2334.81129938	2456.017115	2433.36951425	1890.50933633	2247.24945931	2098.9477522	1951.32199114	2255.60049696	2549.59457159	2710.97187066	2299.87326272	2217.34131178	2313.36736037
Metabolism;Xenobiotics biodegradation and metabolism;Drug	3523.80981139	3293.65690423	3150.60002212	3053.88439868	3415.61286582	4111.87724173	3267.27173759	2841.06268746	3174.267976	3246.45336933	2045.61502336	2701.20983238	2238.03888022	2422.52420517	2560.60521596	3159.7436605	3404.07177058	2817.73449566	2939.40056603	2951.85055892
Metabolism;Xenobiotics biodegradation and metabolism;Drug	9983.23473226	10309.8372426	8636.67804586	8750.89196609	9662.37274916	11007.5972516	8845.81286761	8600.02693341	9471.92813099	9150.06606093	7154.31822126	8322.07146615	7677.71759475	7283.11660551	8323.16758186	10017.1302454	9950.09825976	9563.99681885	9421.8493403	8817.83631677
Metabolism;Biosynthesis of other secondary metabolites;Caffeine	66.8517259884	59.0083259862	67.0701999601	72.6886369924	53.3231560285	98.6964190415	130.256325024	139.804021023	101.431628	98.2609310101	73.8449520131	80.0510110111	62.4647490062	85.8350000061	85.0908639986	107.128036983	89.6197579889	104.351893987	89.0010880312	114.213155919
Metabolism;Nucleotide metabolism;Purine	47782.9307227	50532.8102572	43877.2583759	44761.5284653	47032.4837801	49441.4925308	47793.0132017	45209.6845264	47242.121966	46955.3261748	41399.8554533	45698.8966123	42007.3083251	162330.064416	44275.3322952	49091.8471332	47886.193417	46949.2478264	48146.8082049	44288.8437137
Metabolism;Metabolism of cofactors and vitamins;Pantothenate	13485.0697036	13054.3228879	11222.2603893	11634.8718468	13040.354467	14317.010361	12635.0824933	12008.219246	12592.986227	12699.2836453	10796.1181949	12022.1777227	11320.8422091	10050.7282777	11860.6045998	12552.662876	12843.4594434	11957.8839556	11956.4455752	11567.3202088
Metabolism;Metabolism of cofactors and vitamins;One	9916.79266527	9969.47223966	9569.0260723	9406.80478702	9522.41485408	10096.7216002	9343.2564237	9096.52595549	9468.96288799	9668.94347499	8254.11330746	9396.3668543	8482.43073583	8065.13026457	9204.85864284	10750.2551383	10724.9386567	9906.26332181	10382.7365676	9710.47824814
Metabolism;Lipid metabolism;Primary	0.0	1.13071999974	0.43613499974	0.240051999975	0.63652600034	0.408711000172	0.851348000155	0.387780000063	0.0	0.58616700006	0.829187000147	0.837118000116	1.34886500013	2.25497400016	0.0	0.0	0.392561999951	0.292458999965	0.25523800009	0.0
Metabolism;Lipid metabolism;Secondary	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.88205600031	0.0	0.0	0.0	8.29296700115	0.0	4.05296800029	0.0	1.14172799982	1.29050699984	0.0	2.39270700084	0.0
Metabolism;Carbohydrate metabolism;Pentose	7654.27895967	7425.89970526	6444.19486516	6616.85225031	7731.47772713	8405.19931554	8073.49087147	7717.08696826	7352.596174	7615.54582077	7018.90573524	7915.7005611	7855.30982377	6400.19671945	7607.41060087	7273.31209784	6869.14165315	7299.89096812	6946.76813944	7084.350191
Metabolism;Glycan biosynthesis and metabolism;Other	28.446010995	5.93796799861	27.1548419838	36.9233319962	15.4552740082	14.9282880063	132.608522024	74.5456700122	58.7975819999	72.1476020073	30.3390370053	22.6736800031	36.3249580036	15.6028120011	42.5973589993	12.537335998	28.3970289965	7.11438199914	10.3669760036	16.1606369886
Metabolism;Glycan biosynthesis and metabolism;Various	1313.00883877	1576.85313863	1415.58679916	1426.77992485	1345.23402472	1281.12346154	1186.31489022	1436.96993924	1401.802761	1295.13085113	1309.92629623	1512.93196921	1419.73995914	1376.5986131	1466.17160397	1739.76807572	1657.12423179	1672.7401158	1656.19351858	1593.79630187
Metabolism;Glycan biosynthesis and metabolism;Other	1420.36305075	1596.27926763	1511.9082101	1395.06830486	1590.13745685	1350.60081457	1339.99955124	1555.70217825	1439.528775	1443.52958715	1894.33704633	1845.56638226	2083.7342532	1556.90289511	1822.43167197	1364.87764478	1438.70265382	1484.60730882	1660.60189258	1727.91837078
Metabolism;Glycan biosynthesis and metabolism;N-Glycan	2544.25175756	2710.49902636	2305.04828663	2327.29121976	2441.4651693	2422.72029002	2696.65273949	2536.81124742	2632.818231	2537.86524026	2015.64809836	2148.2543973	2106.7457432	1957.37717014	2249.00792196	2589.99671559	2474.97293069	2331.79640972	2434.26807285	2183.04276846
Metabolism;Biosynthesis of other secondary metabolites;Glucosinolate	832.643859855	727.790974829	546.125292675	838.613404912	799.544614427	900.68402638	809.057632147	708.111016116	706.279952999	654.048147067	528.765229093	578.87668808	541.440489053	525.765236037	591.75573099	690.27606689	645.80962992	583.41236493	642.077959225	750.59520547
Metabolism;Biosynthesis of other secondary metabolites;Isoquinoline	2107.17833063	2333.42852245	2058.75403577	2012.44045179	2104.90284212	2194.15474392	1825.20745133	1909.49813331	2040.333981	1973.9029482	1877.92432633	2233.92013031	2066.3866472	1952.21846614	2047.46965396	2421.63488761	2435.0542817	2245.14460473	2260.15269779	2126.5525955
Metabolism;Amino acid metabolism;Histidine	11924.4174969	11595.6264053	9996.05714205	10270.6272699	11350.9053951	12654.0748323	11270.537869	10290.2177037	11291.469864	10959.0902401	9051.8175736	10757.0680845	9702.90027195	9105.23754564	10412.3389708	11748.7817921	12080.9944305	10979.8847537	11039.3557339	10520.6429996
Metabolism;Global and overview maps;Biosynthesis	194161.429311	192291.960744	173106.802805	176058.990731	186881.623651	198055.241746	192816.228278	179206.913427	189397.98567	189146.279522	159788.878257	181045.99418	168251.406929	150225.410421	177749.456317	191270.727321	188376.378393	178052.112277	184885.316023	173541.807163
Metabolism;Metabolism of other amino acids;Cyanoamino	3819.12836333	3530.01465517	3230.94873008	3314.47522065	3741.72691	4461.45125088	3652.89329766	3399.93665156	3464.31038	3624.31116237	4014.71782571	4347.5996176	3952.86643539	3156.63524822	3854.21910093	3519.48170444	3501.73288256	3310.1452386	3569.80805325	3330.34640965
Metabolism;Metabolism of cofactors and vitamins;Biotin	7594.28740267	7061.19975635	6646.56214805	6582.93810031	7196.90752784	8173.11472844	7667.31408839	7110.67339316	7207.32516599	7330.57149175	5448.29631896	6492.0269649	6135.2722186	5491.78365239	6462.35221789	6825.64122291	6646.12782617	6773.57580119	6530.30214429	6443.58049745
Metabolism;Metabolism of cofactors and vitamins;Lipoic	1677.60188571	1699.0433466	1402.60370016	1502.79776884	1545.78236583	1566.34290066	1798.56396133	1602.78588826	1614.952169	1618.05772316	1412.79717125	1555.10752522	1430.87000514	1211.51136209	1647.43063197	1695.76964973	1610.1289518	1573.38685581	1700.2982316	1527.23433992
Metabolism;Global and overview maps;Carbon	87525.3440037	86594.1445357	77373.1952749	77677.6751949	83809.4531487	93203.8684092	80736.8253187	78018.1798828	82905.2605289	82135.3733314	67729.856356	77929.3367158	70710.0399549	65662.0342536	74601.9457437	87219.9087311	86383.5579433	81028.1803423	82985.4551081	77989.6773509
Metabolism;Metabolism of cofactors and vitamins;Thiamine	6451.31502187	6677.04344144	6199.27954831	6473.67473533	6392.70026141	6686.65208381	7523.05344337	6992.54765015	6953.34217899	7182.99938873	7124.31224626	7325.11561102	7526.29217773	5892.20220242	7496.92729287	6412.05257698	6448.0202452	6013.86693228	6412.10299825	6240.68644359
Metabolism;Nucleotide metabolism;Pyrimidine	37755.7641804	41225.6359523	35091.7439221	35808.0321363	37663.5141261	40450.836273	37717.4451999	36489.32816	37595.40577	37641.8350998	34545.3010141	37420.9395332	34704.5172904	31231.8156012	36759.0137974	39500.9838487	38489.4797262	38208.8862834	38948.3062407	36790.327412
Metabolism;Biosynthesis of other secondary metabolites;Tropane,	2848.6978745	3017.13861129	2768.44189435	2703.86462872	2760.91044347	3018.57877527	2536.59420746	2494.35729841	2758.670425	2643.35070827	2323.60872841	2746.39768838	2328.68586423	2308.80440316	2630.72846695	3191.37206349	3107.66141361	2932.84030265	2961.15303604	2695.7349601
