Category	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Metabolism;Metabolism of other amino acids;beta-Alanine	9792.72636929	9357.84472381	8229.1683331	8284.75169314	9441.53779804	11178.4166717	9092.49618965	8805.67262644	9410.29914699	9235.14460294	6559.62307316	7480.72317004	6955.08041368	7071.9008685	7422.40360287	9003.86786057	9660.3947058	8538.68414797	8317.29401892	8149.68555824
Environmental Information Processing;Signal transduction;Hippo	6.83060699881	5.72607399866	7.63124699546	5.93132099938	8.87339100474	9.65032200406	11.9808710022	9.34513200153	7.056842	9.50546400097	8.84772800156	11.3595390016	16.3818440016	31.1952110022	9.35695699984	7.63723099879	9.70718899879	6.82364299918	6.92785900244	10.4886779926
Environmental Information Processing;Signal transduction;Hippo	10.1893819982	6.94394199838	10.5184029937	9.96539999895	9.21333200492	15.2143740064	16.0970800029	16.7290630027	11.893562	14.2564460015	12.2444090022	19.0637940026	20.9843370021	49.8654240035	14.3314579998	12.0414369981	14.8910719982	10.0401529988	9.60790800338	17.2717859878
Metabolism;Glycan biosynthesis and metabolism;Peptidoglycan	3449.3068074	3422.5834212	3744.21384877	4019.11970658	3309.25769176	2271.71965996	6360.97824616	5800.56479795	4687.971433	5144.62324852	7074.32966825	6943.37026496	7499.02035673	5128.28010636	6806.23131388	3791.7025324	3758.93166153	3929.80893153	4365.02343353	4418.17006088
Environmental Information Processing;Signal transduction;cAMP	88.0658699847	75.8265709822	88.2829009475	91.1525429905	70.0205630374	55.6098090234	102.552380019	104.610974017	91.892653	92.4862820094	159.322162028	211.952746029	200.13661502	177.946121013	222.392016996	113.484772982	104.754122987	108.167982987	120.283863042	114.860976919
Environmental Information Processing;Signal transduction;cGMP-PKG	38.0863879934	21.8539739948	32.9688239804	35.7953189963	27.6544160148	45.191712019	44.012405008	49.0994170081	39.002974	46.7471480048	40.7476780072	68.0955540094	60.4480720059	145.06205301	43.3451719992	36.0294239943	45.5716449943	38.2775619954	29.5602130104	52.0615319632
Environmental Information Processing;Signal transduction;Calcium	56.8044549901	21.016912995	49.8645919703	64.5183179933	36.8600070197	46.1335340194	156.355403029	102.988620017	94.0314689999	110.648902011	85.6665960151	72.7022130101	95.6012510094	131.098937009	92.4951939983	56.888909991	59.0456009927	40.6083359951	59.948724021	52.1396799632
Genetic Information Processing;Transcription;Spliceosome	149.489594974	87.5944239795	135.434016919	151.170744984	110.675254059	179.727351076	194.026074035	216.893638036	149.12893	202.363017021	173.216939031	272.672800038	261.848488026	600.871332042	199.344579997	166.531309973	185.780587977	188.005236977	133.107675047	215.313392848
Cellular Processes;Transport and catabolism;Endocytosis	78.3691179864	41.6575249902	70.9977409578	73.4781909924	54.6076600291	77.8593250328	208.550025038	173.081342028	99.038085	120.921495012	75.1416400133	118.921708016	138.918926014	265.104013019	118.597461998	136.065089978	96.141231988	100.712329988	84.7629280297	141.4564559
Cellular Processes;Transport and catabolism;Phagosome	418.354824927	472.891928889	314.106321813	284.81947097	401.756581215	511.284501215	350.773161064	323.886261053	352.14347	350.690593036	215.474640038	246.968212034	245.844191024	348.253496025	258.205662996	307.966860951	321.39253396	293.051746965	278.292675098	291.955670794
