	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Cellular Processes;Cell motility;Flagellar	119.286409957	106.630125297	145.482477578	167.343980911	102.383753221	48.0390644778	164.149008227	205.233192232	193.112707784	180.189456916	260.404936704	303.907806959	269.988128778	249.564875685	222.095004486	102.099779467	170.692016122	101.872399289	115.224736148	153.222023324
Cellular Processes;Cellular community - prokaryotes;Quorum	23050.1522609	24217.2277621	25381.7925881	24493.2284297	23984.0018221	23199.4998705	21052.2898159	22257.9605775	22647.7852099	22050.3419963	18951.2458197	19357.5926999	18429.9522207	20927.0530471	19248.356326	23067.5861427	23262.2057571	23718.5632785	23473.8590095	23951.398447
Environmental Information Processing;Membrane transport;ABC	24608.1344752	23946.6372863	26121.8326331	25423.3775539	24670.0806666	24334.6781047	24426.4862716	24576.2433945	24582.0250035	24274.1079973	22264.0965625	22287.218689	22231.4634809	23662.9520852	22538.0960714	24597.4204383	24654.806667	24933.7445472	25330.8199292	25264.1035501
Environmental Information Processing;Membrane transport;Bacterial	3359.48608923	3538.52819684	3491.18894961	3748.82209111	3389.23610517	3026.39394818	3680.8682209	3790.79987555	3619.31108388	3582.75044047	4059.96366107	4035.68063882	4243.1384207	4038.6053982	4180.10334342	3551.96231879	3579.51358083	3870.17898638	3684.58782479	3640.16351776
Environmental Information Processing;Membrane transport;Phosphotransferase	358.875014072	293.654924186	347.583067516	354.290445406	337.813069837	383.507013227	351.197645095	382.999591419	380.632355795	375.115866252	542.242633246	477.767352305	503.352316232	462.994530957	461.354745809	438.234921525	395.396014652	441.263560381	400.451765145	460.648096653
Genetic Information Processing;Folding, sorting and degradation;Proteasome	1845.97054714	1958.21964418	1656.12298183	1662.20637616	1895.97213783	2010.93054228	1420.27683037	1454.86678579	1676.84406023	1555.41876757	1211.28465208	1355.33554188	1242.61497085	1561.14705131	1230.45210533	1715.17641491	1760.4666802	1796.63659141	1555.75399799	1630.68968011
Genetic Information Processing;Folding, sorting and degradation;Protein	7191.87240015	7643.93424135	7125.31619619	7281.65573982	7341.83407144	6948.1831575	6921.08896076	7084.80025294	7177.7648749	7032.03528492	6883.9669522	6968.24847115	6929.45040201	7228.34105181	6854.90475234	7478.44469406	7298.30097105	7480.73583264	7475.03695829	7268.67534354
Genetic Information Processing;Folding, sorting and degradation;RNA	2729.58991033	2746.87589257	2743.9891176	2806.72671868	2735.45852994	2356.47870145	3573.38940001	3497.63864318	3101.57569208	3207.65538056	3971.06931882	3858.93307946	4150.89193193	3729.71653622	3862.78045173	2865.38737447	2814.94927019	3058.89711826	3004.29235028	3021.1762223
Genetic Information Processing;Folding, sorting and degradation;Sulfur	2864.9315724	2862.98526355	2934.92545928	2968.52958151	2857.59462888	2804.93682143	2741.40270524	2832.128588	2904.56260014	2875.44740063	2854.1666145	3054.70847049	2887.16145494	2985.44931538	2976.02838597	3338.65617935	3206.66109442	3209.93848209	3182.61141687	2976.13498876
Genetic Information Processing;Replication and repair;All	26423.4142454	28127.2855439	27858.7257064	27945.9727956	26844.7578764	25930.7297611	25461.5472389	26148.7943843	27029.5200427	26833.3928999	30816.5192785	28155.797078	28295.6793497	27905.445787	28000.1869954	27748.4404689	27278.752115	28457.1263164	28471.2550016	28265.213026
Genetic Information Processing;Transcription;Basal	3723.18903646	4019.12258313	3790.75886488	3810.92018872	3820.73099995	4186.81976335	2983.77941779	3290.95984569	3693.77239401	3552.33841529	2445.76011519	2831.20751842	2459.13188033	3193.22963291	2709.75325178	3973.72236801	3861.55021477	3953.2610703	3675.73640371	3673.19307087
Genetic Information Processing;Translation;RNA	4638.65788033	5173.35262045	4600.99343102	4529.65970612	4751.57844528	4840.92746417	3660.93874097	3816.97427248	4352.77806972	4156.18126007	3481.43148429	3694.41254825	3446.15274687	4106.49362181	3604.08449417	4832.99331739	4648.17573239	4766.94492341	4597.70889312	4472.38925954
Genetic Information Processing;Translation;Ribosome	19475.9579069	20865.8380686	18242.6738967	18386.3853787	19717.7860882	19799.1441621	18729.9723615	18751.9899873	19196.4062219	19133.630751	18163.2922265	18130.5762058	18567.2076646	18284.8752715	17770.6380898	18115.2990969	18152.624894	18333.7751369	17918.9549513	17559.9089561
Metabolism;Carbohydrate metabolism;Butanoate	9514.04553938	9728.94823816	9841.24868819	9724.21887888	9692.18526536	9500.5356084	8500.45106041	9105.08483394	9239.50903471	9054.67086997	8914.79125568	9181.87669246	8916.10508605	9310.42077543	8996.96963866	9709.03214322	9928.4512428	9633.62263658	9448.38214284	9593.90417687
Metabolism;Carbohydrate metabolism;Citrate	8545.87408551	8979.8142115	8871.08167511	8770.53145209	8519.83007866	8462.23679238	8268.48443241	8940.62661436	8689.69721484	8439.77716732	9397.85225163	9441.59276043	9150.25188924	9361.41415348	9120.66506606	9303.48795366	9135.64550351	9276.38667233	9267.1342539	9130.17109296
Metabolism;Carbohydrate metabolism;Fructose	3003.08867221	2950.81465556	3245.45980692	3259.1200351	3039.76501173	3104.94254755	3518.03786113	3443.31310642	3265.45014798	3340.17501449	3781.25163711	3896.05656213	4083.40424942	3601.17407449	3937.86220432	3323.07936951	3212.63249725	3576.04167739	3375.18477394	3553.65831218
Metabolism;Carbohydrate metabolism;Galactose	4293.64784355	4436.39149664	4483.89464771	4452.66985371	4471.78390566	3953.99796871	4672.26585838	4769.23201945	4522.98496718	4548.29345474	4991.79714586	4820.35235903	4949.93051064	4706.27868241	4986.5572425	4591.49884549	4731.45233492	4569.09803839	4684.53219355	4749.14953154
