	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Amino acid metabolism;Alanine,	7.16214102707	7.51058495602	7.36851231504	7.39881769377	7.2469716673	7.01938724982	6.64281735539	6.5907027596	7.01327951719	6.9291774789	6.55826843837	6.83523733604	6.2822258347	6.6517366892	6.72322967095	7.57104140012	7.31643913436	7.53092719858	7.3339299256	7.28281830557
Amino acid metabolism;Arginine	10.5037701531	10.0154364906	9.85533302865	9.82228605647	10.2690516081	11.010698125	9.18166486866	8.98700801465	9.70878456844	9.63113506844	8.96972274534	9.31965563144	8.96837449304	9.30063342438	9.39180146526	10.4991633584	10.3027052022	10.5760820473	10.2839514252	10.0685170403
Amino acid metabolism;Cysteine	7.61651710365	7.76374488678	7.54638020932	7.5888167166	7.56803932548	7.38592272966	7.01856639874	7.05509692068	7.55772286281	7.32328621831	7.33228176137	7.61543900274	7.23612983729	7.13436864078	7.44223921525	7.97484675835	7.63884003228	7.92748446537	7.98977888828	7.47469059001
Amino acid metabolism;Glycine,	9.77657321453	9.76843583364	9.70687782947	9.55715797998	9.60246353095	9.78191390628	8.67802011411	8.65489739943	9.34949362511	9.18251755045	9.18571629409	9.64054462605	8.85716757925	9.17051259138	9.12917018076	10.4674434407	10.281106404	10.1541618762	10.1091675789	9.80252710618
Amino acid metabolism;Histidine	4.56644164363	4.42777806414	4.24370167987	4.28384769563	4.44567638076	4.63169810094	3.95721555731	3.84698100636	4.25606366604	4.07793782747	3.9490521916	4.22778179809	3.90378470235	4.14936786842	4.12206819772	4.59385250508	4.66798692271	4.59477076853	4.43402934242	4.37893367163
Amino acid metabolism;Lysine	8.01173036965	8.01814605638	7.74630123687	7.69468973237	7.94825055346	7.68744306451	6.95002075366	7.08866263426	7.45217088149	7.33774814871	7.54822794067	7.86363548431	7.56653212437	7.54886768014	7.59983409536	7.859301897	7.67860858317	7.82143220977	7.84231401214	7.8791819691
Amino acid metabolism;Phenylalanine	4.29759900288	4.2160907122	4.25148075127	4.13113381468	4.17973012351	4.21277978958	3.31540000637	3.47567561767	3.87890124172	3.6755836439	3.41799864183	3.55149124297	3.28509193405	3.56684761889	3.55392104997	4.1760264617	4.24064116706	4.19392123792	4.16917179748	3.97234880497
Amino acid metabolism;Phenylalanine,	7.08281643054	7.17813305363	7.19643535258	7.22345327829	7.02056552461	6.82523795085	6.44411116226	6.48594995939	6.98324382059	6.84696428322	6.78267672894	6.94448894065	6.49914624139	6.68332500864	6.91621697368	7.52579319396	7.35664528003	7.43401093979	7.40050719936	7.18840974739
Amino acid metabolism;Tryptophan	3.86109795031	3.57378852613	3.59559185836	3.59250182123	3.68951271046	3.81174536762	3.51841828405	3.44889437826	3.6114844409	3.53099608922	3.49987894391	3.46175890799	3.43254363816	3.43512457796	3.54587029652	3.66945176213	3.64248992323	3.58259963914	3.59686633382	3.57075688648
Amino acid metabolism;Tyrosine	3.39617672399	3.43260373662	3.58596820205	3.42718884065	3.44663924329	3.63480224755	2.70920285138	2.71979448122	3.10424378048	3.00953730514	2.68356891597	2.84017077747	2.51375246718	2.93536024528	2.73585286088	3.35515095148	3.41912837664	3.27897826486	3.1872860462	3.24130749159
Amino acid metabolism;Valine,	13.3619877859	12.9356160733	12.2882613039	12.69098999	13.2462122178	13.8685920996	10.7192877454	11.0869244621	12.0218493523	11.6271970229	11.6747001291	11.9234651861	11.3135203667	11.7356438593	11.5099242871	12.4921932147	12.5589730568	12.4573433335	12.5987299182	12.4209842536
Biosynthesis of other secondary metabolites;Acarbose	1.54783785944	1.53754332634	1.70073510308	1.63596797427	1.56322794094	1.51596946877	1.30728157398	1.41433725374	1.484669445	1.4469856061	1.4243768904	1.42960541573	1.2699351108	1.36939695807	1.42778687545	1.63888121437	1.55896556453	1.67172724211	1.6018346322	1.62981549671
Biosynthesis of other secondary metabolites;Carbapenem	0.165063620514	0.169597296051	0.210613346086	0.252699351457	0.175695067268	0.108632652169	0.311866269512	0.303469595078	0.269305136856	0.274574281503	0.40419206138	0.3600948444	0.37585588721	0.355467043593	0.401313510628	0.270119839575	0.246178730773	0.267437836351	0.277854686183	0.269116437783
