2014	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Jan	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	79	72	66	61	55	53	65	-	31	21	-	0	29.98	-	29.86	-	0	-
2	78	72	66	63	56	52	78	-	37	20	-	0	29.92	-	29.83	-	0	-
3	77	70	64	63	57	50	83	-	37	23	-	2	29.93	-	29.77	-	0	-
4	76	70	65	61	57	54	73	-	46	69	-	0	29.92	-	29.83	-	0	-
5	76	71	66	61	58	55	73	-	46	23	-	9	29.93	-	29.83	-	0	-
6	77	71	65	59	58	55	73	-	44	21	-	0	29.95	-	29.83	-	0	-
7	80	74	68	59	57	55	64	-	31	26	-	0	29.98	-	29.86	-	0	-
8	80	74	67	57	55	54	68	-	31	25	-	0	30.01	-	29.92	-	0	-
9	77	72	68	63	59	53	69	-	44	18	-	0	30.01	-	29.86	-	0	-
10	78	72	67	64	61	58	73	-	44	20	-	2	29.96	-	29.8	-	0	-
11	77	72	67	63	60	59	78	-	46	22	-	0	29.92	-	29.8	-	0	-
12	79	72	66	63	59	55	78	-	34	21	-	4	29.98	-	29.88	-	0	-
13	78	72	67	61	58	54	78	-	38	23	-	5	30	-	29.86	-	0	-
14	77	72	66	63	59	55	78	-	45	23	-	0	29.96	-	29.82	-	0	-
15	80	74	69	61	58	55	73	-	34	18	-	6	29.95	-	29.79	-	0	-
16	83	75	67	59	57	55	68	-	35	24	-	0	29.92	-	29.8	-	0	-
17	84	76	68	61	56	54	60	-	37	26	-	10	29.94	-	29.83	-	0	-
18	79	74	68	63	58	54	68	-	40	32	-	5	29.98	-	29.86	-	0	-
19	77	71	65	63	58	54	73	-	42	24	-	0	30.01	-	29.83	-	0	-
20	77	70	64	63	59	55	73	-	45	24	-	0	29.97	-	29.83	-	0	-
21	76	71	66	59	57	55	73	-	39	18	-	1	29.96	-	29.83	-	0	-
22	77	72	66	57	55	53	64	-	38	22	-	0	29.98	-	29.83	-	0	-
23	80	74	67	57	55	54	64	-	32	88	-	4	29.98	-	29.89	-	0	-
24	82	74	67	57	55	52	68	-	28	29	-	5	30.01	-	29.88	-	0	-
25	80	73	66	61	57	54	73	-	34	26	-	2	29.98	-	29.88	-	0	-
26	78	72	65	61	57	54	78	-	36	25	-	0	29.97	-	29.83	-	0	-
27	77	70	64	61	57	54	78	-	36	25	-	0	29.95	-	29.86	-	0	-
28	78	72	65	61	55	50	78	-	33	23	-	4	29.97	-	29.86	-	0	-
29	77	70	62	57	54	48	73	-	26	22	-	0	29.93	-	29.8	-	0	-
30	78	70	62	57	53	49	82	-	27	18	-	0	29.98	-	29.89	-	0	-
31	77	70	63	59	53	48	83	-	28	21	-	0	30.01	-	29.88	-	0	-
2014	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Feb	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	75	69	63	63	58	52	78	-	48	26	-	9	29.97	-	29.8	-	0	-
2	76	70	64	61	58	54	78	-	42	129	-	0	29.95	-	29.8	-	0	-
3	77	70	63	61	58	55	73	-	40	20	-	0	29.92	-	29.83	-	0	-
4	77	70	64	59	56	55	73	-	39	20	-	0	29.98	-	29.86	-	0	-
5	76	72	67	59	56	54	64	-	40	21	-	2	30	-	29.88	-	0	-
6	78	71	64	57	54	51	68	-	31	23	-	0	29.99	-	29.86	-	0	-
7	75	70	64	61	56	52	68	-	37	21	-	0	29.96	-	29.83	-	0	-
8	76	70	64	60	56	54	68	-	43	20	-	0	29.96	-	29.83	-	0	-
9	76	70	63	57	55	53	68	-	42	21	-	0	29.95	-	29.83	-	0	-
10	77	71	65	57	56	55	68	-	37	22	-	0	29.95	-	29.86	-	0	-
11	75	70	64	59	57	55	68	-	48	23	-	0	29.95	-	29.83	-	0	-
12	75	72	68	59	57	55	68	-	45	21	-	4	29.95	-	29.83	-	0	-
13	75	70	66	57	56	54	68	-	38	22	-	2	29.95	-	29.86	-	0	-
14	75	69	63	55	54	50	68	-	36	22	-	5	29.98	-	29.89	-	0	-
15	75	68	62	55	52	48	59	-	31	24	-	2	30	-	29.89	-	0	-
16	75	68	61	57	51	48	68	-	32	17	-	4	30	-	29.86	-	0	-
17	77	70	62	54	52	50	63	-	30	18	-	0	29.99	-	29.89	-	0	-
18	76	68	61	57	52	48	64	-	34	20	-	0	29.98	-	29.89	-	0	-
19	74	68	61	57	53	48	68	-	39	26	-	4	29.99	-	29.83	-	0	-
20	75	68	62	58	54	50	68	-	40	20	-	0	29.92	-	29.83	-	0	-
21	76	70	63	56	55	53	73	-	36	20	-	0	29.95	-	29.89	-	0	-
22	76	68	61	57	53	52	68	-	34	22	-	0	29.97	-	29.86	-	0	-
23	76	69	62	57	55	53	72	-	42	24	-	0	29.95	-	29.8	-	0	-
