MAG name	bin name	Taxonomy
SG1_Nanohaloarchaea_45_8	bin.4	Archaea;Candidatus Nanohaloarchaeota;Nanohaloarchaea
SG1_Nanohaloarchaea_45_10	bin.62	Archaea;Candidatus Nanohaloarchaeota;Nanohaloarchaea
SG1_Nanohaloarchaea_46_23	bin.66	Archaea;Candidatus Nanohaloarchaeota;Nanohaloarchaea
SG1_Halobacteria_64_42	bin.10	Archaea;Euryarchaeota;Halobacteria
SG1_Halobacteria_65_47	bin.14	Archaea;Euryarchaeota;Halobacteria
SG1_Halobacteria_70_17	bin.20	Archaea;Euryarchaeota;Halobacteria
SG1_Halobacteria_57_7	bin.22	Archaea;Euryarchaeota;Halobacteria
SG1_Halobacteria_69_28	bin.23	Archaea;Euryarchaeota;Halobacteria
SG1_Halobacteria_65_131	bin.24	Archaea;Euryarchaeota;Halobacteria
SG1_Halobacteria_70_13	bin.28	Archaea;Euryarchaeota;Halobacteria
SG1_Halobacteria_68_16	bin.37	Archaea;Euryarchaeota;Halobacteria
SG1_Halobacteria_64_6	bin.40	Archaea;Euryarchaeota;Halobacteria
SG1_Halobacteria_63_6	bin.41	Archaea;Euryarchaeota;Halobacteria
SG1_Halobacteria_68_18	bin.46	Archaea;Euryarchaeota;Halobacteria
SG1_Halobacteria_65_9	bin.47	Archaea;Euryarchaeota;Halobacteria
SG1_Halobacteria_66_13	bin.51	Archaea;Euryarchaeota;Halobacteria
SG1_Halobacteria_68_35	bin.52	Archaea;Euryarchaeota;Halobacteria
SG1_Halobacteria_67_11	bin.65	Archaea;Euryarchaeota;Halobacteria
SG1_Halobacteria_66_15	bin.76	Archaea;Euryarchaeota;Halobacteria
SG1_Halobacteria_73_11	bin.77	Archaea;Euryarchaeota;Halobacteria
SG1_Halobacteria_66_14	bin.84	Archaea;Euryarchaeota;Halobacteria
SG1_Halobacteria_68_12	bin.85	Archaea;Euryarchaeota;Halobacteria
SG1_Halobacteria_70_19	bin.89	Archaea;Euryarchaeota;Halobacteria
SG1_Halobacteriaceae_67_5	bin.1	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_69_50	bin.15	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_71_21	bin.16	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_70_59	bin.18	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_69_8	bin.2	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_70_8	bin.21	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_64_14	bin.25	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_66_7	bin.26	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_70_7	bin.27	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_69_119	bin.3	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_66_56	bin.30	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_68_34	bin.31	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_67_10	bin.35	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_69_17	bin.48	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_64_5	bin.49	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_65_26	bin.53	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_71_22	bin.54	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_68_10	bin.55	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_71_8	bin.59	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_64_8	bin.6	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_68_17	bin.61	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_66_16	bin.64	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_70_22	bin.67	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_68_8	bin.68	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_65_26	bin.69	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_65_7	bin.7	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_67_13	bin.73	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_70_7	bin.74	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_67_222	bin.75	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_65_15	bin.78	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_62_8	bin.79	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_70_14	bin.80	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_60_4	bin.81	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_68_15	bin.82	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_68_29	bin.83	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_68_19	bin.86	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_61_5	bin.87	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_66_5	bin.88	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_70_5	bin.91	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_71_5	bin.92	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Halobacteriaceae_67_10	bin.93	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
SG1_Haloferacaceae_71_12	bin.29	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae
SG1_Haloferacaceae_65_10	bin.33	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae
SG1_Haloferacaceae_69_12	bin.36	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae
SG1_Haloferacaceae_64_39	bin.5	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae
SG1_Haloferacaceae_72_5	bin.90	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae
SG1_Halorubrum_69_9	bin.50	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Halorubrum
SG1_Halorubrum_69_6	bin.57	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Halorubrum
SG1_Halolamina_67_18	bin.45	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;Halolamina
SG1_Natrialbaceae_64_9	bin.56	Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae
SG1_Salinibacter_62_31	bin.12	Bacteria;FCB group;Bacteroidetes;Bacteroidetes;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae;Salinibacter
SG1_Salinibacter_64_7	bin.13	Bacteria;FCB group;Bacteroidetes;Bacteroidetes;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae;Salinibacter
SG1_Salinibacter_66_7	bin.60	Bacteria;FCB group;Bacteroidetes;Bacteroidetes;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae;Salinibacter
SG1_Salinibacter_68_41	bin.70	Bacteria;FCB group;Bacteroidetes;Bacteroidetes;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae;Salinibacter
SG1_Salinibacter_68_39	bin.71	Bacteria;FCB group;Bacteroidetes;Bacteroidetes;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae;Salinibacter
SG1_Salinibacter_62_5	bin.72	Bacteria;FCB group;Bacteroidetes;Bacteroidetes;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae;Salinibacter
SG1_Burkholderiales_64_6	bin.34	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales
SG1_Deltaproteobacteria_66_5	bin.44	Bacteria;Proteobacteria;Deltaproteobacteria
SG1_Gammaproteobacteria_46_8	bin.39	Bacteria;Proteobacteria;Gammaproteobacteria
SG1_Chromatiales_69_23	bin.11	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales
SG1_Chromatiales_50_6	bin.58	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales
SG1_Ectothiorhodospiraceae_64_8	bin.19	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae
SG1_Actinobacteria_70_6	bin.32	Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria
SG1_Actinobacteria_71_7	bin.38	Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria
SG1_Actinobacteria_73_19	bin.42	Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria
SG1_Euhalothece_44_8	bin.63	Bacteria;Terrabacteria group;Cyanobacteria;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Halothece cluster;Euhalothece 
SG1_Halothece_48_229	bin.9	Bacteria;Terrabacteria group;Cyanobacteria;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Halothece cluster;Halothece
SG1_Halothece_65_4	bin.43	Bacteria;Terrabacteria group;Cyanobacteria;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Halothece cluster;Halothece 
