BIN	CONSENSUS
bin.14.fa	Archaea;Candidatus Nanohaloarchaeota;Nanohaloarchaea
bin.65.fa	Archaea;Candidatus Nanohaloarchaeota;Nanohaloarchaea
bin.75.fa	Archaea;Candidatus Nanohaloarchaeota;Nanohaloarchaea;Nanohaloarchaea archaeon SG9
bin.80.fa	Archaea;Euryarchaeota;Halobacteria
bin.66.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales
bin.21.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales
bin.27.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales
bin.32.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales
bin.36.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales
bin.38.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales
bin.49.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.73.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.81.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.85.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.1.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.20.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.28.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.33.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.48.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.5.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.54.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.55.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.59.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.67.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.78.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.88.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.89.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.90.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.10.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.18.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.2.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.22.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.23.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.24.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.25.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.26.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.3.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.30.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.31.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.35.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae
bin.37.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.40.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.41.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.47.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.51.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.53.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.61.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.64.fa	Archaea;Euryarchaeota;Halobacteria;Haloferacales
bin.68.fa	Archaea;Euryarchaeota;Halobacteria;Halobacteriales
bin.69.fa	Archaea;Euryarchaeota;Halobacteria;Haloferacales
bin.7.fa	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae
bin.76.fa	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae
bin.82.fa	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae
bin.83.fa	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae
bin.84.fa	Archaea;Euryarchaeota;Halobacteria;Natrialbales
