hosts	2014_1	2014_2	2014_3	2014_4	2014_5	2015_1	2015_2	2015_3	2015_4	2015_5	2016_1	2016_2	2016_3	2016_4	2016_5	2017_1	2017_2	2017_3	2017_4	2017_5
SG1-2014-09-1	7	7	2	2	6	3	1	0	0	0	1	0	0	1	0	0	0	1	0	0
SG1-2014-09-2	13	10	5	5	10	3	1	0	1	0	3	0	0	6	0	12	0	7	0	2
SG1-2014-09-3	4	1	1	1	0	0	0	0	0	0	2	0	0	2	0	3	1	2	0	1
SG1-2014-09-4	5	1	2	1	0	0	0	0	0	0	2	0	0	2	1	4	1	3	0	2
SG1-2014-09-5	9	10	4	5	9	4	0	0	0	0	1	0	0	1	0	0	0	1	0	0
SG1-2015-06-1	5	9	1	2	7	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SG1-2015-06-2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
SG1-2015-06-3	6	2	2	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SG1-2015-06-4	2	2	1	1	1	1	0	0	0	0	0	1	0	0	0	7	0	0	0	0
SG1-2015-06-5	3	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SG1-2016-02-1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	5	0	0	1
SG1-2016-02-2	0	0	0	0	0	0	0	0	0	0	2	3	0	2	1	1	5	2	0	3
SG1-2016-02-3	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0
SG1-2016-02-4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	10	2	0	2
SG1-2016-02-5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	4	0	1
SG1-2017-02-1	0	1	2	0	0	0	0	0	0	0	3	0	0	1	1	4	10	0	0	1
SG1-2017-02-2	1	1	0	0	0	0	0	0	0	0	4	2	0	2	0	12	42	1	0	0
SG1-2017-02-3	4	2	0	1	0	0	0	0	0	0	3	4	0	3	0	3	5	3	0	3
SG1-2017-02-4	2	6	0	0	0	0	0	0	0	0	2	0	0	0	0	5	2	0	0	0
SG1-2017-02-5	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	3	1	0	3
