BIN	completeness	contamination	GC	N50	size (bp)	After/Before fold change	CheckM taxonomy	metaWRAP taxonomy	Consensus taxonomy (Taxator-tk + Kraken + metaWRAP)
bin.algae	NA	NA	0.556	9621	9945709	1.410167872	NA	Eukaryota	Eukaria;Plantae;Chlorophyta
bin.61	98.01	1.702	0.676	13193	2907746	4.421333559	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.63	97.77	0.222	0.439	18977	3489855	595.3363753	Cyanobacteria	Bacteria;Cyanobacteria;Chroococcales;Aphanothecaceae	Bacteria;Terrabacteria group;Cyanobacteria;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Chroococcaceae;Dactylococcopsis 
bin.6	97.05	0.816	0.643	36692	1787608	0.096452557	Euryarchaeota	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.9	96.22	1.333	0.483	8198	3548370	0.4297734	Cyanobacteria	Bacteria;Cyanobacteria	Bacteria;Terrabacteria group;Cyanobacteria;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Halothece cluster;Halothece
bin.46	95.95	1.725	0.676	18319	2506034	22.5028604	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria
bin.19	95.48	1.207	0.637	8367	2396020	18.30245377	Gammaproteobacteria	Bacteria;Proteobacteria;Gammaproteobacteria	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae
bin.35	94.84	2.815	0.666	12192	3181126	2.200165097	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.56	94.6	1.815	0.641	11350	3203868	0.371065931	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae
bin.36	94.48	1.674	0.692	15045	3252985	1.927879133	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae
bin.67	94.25	1.866	0.701	11609	3121721	0.297223371	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.79	93.99	1.315	0.618	9051	2064438	0.172051421	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.50	93.89	1.806	0.689	11289	2641672	4.662571345	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Halorubrum;Halorubrum trapanicum	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Halorubrum;Halorubrum trapanicum
bin.42	93.84	2.136	0.73	11979	2413993	3.782066975	Bacteria	Bacteria;Actinobacteria;Actinobacteria	Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria
bin.10	92.77	1.261	0.64	8885	2809869	0.917173481	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria
bin.13	92.55	0.282	0.638	8431	3054377	1.057810983	Bacteria	Bacteria	Bacteria;FCB group;Bacteroidetes;Bacteroidetes;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae;Salinibacter
bin.22	92.51	2.615	0.573	6484	2678007	0.581634087	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria
bin.83	92.22	2.056	0.68	13407	2459580	0.706632531	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.12	91.66	1.453	0.623	14954	3279077	0.955996067	Bacteria	Bacteria	Bacteria;FCB group;Bacteroidetes;Bacteroidetes;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae;Salinibacter
bin.33	91.5	2.272	0.65	7992	3721583	0.178275109	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae
bin.34	91.25	0	0.644	8200	2655338	0.938498311	Bacteria	Bacteria	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales
bin.53	91.15	0.8	0.651	16850	2603423	0.181383524	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.84	90.86	1.718	0.657	14371	2956102	8.204036197	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria
bin.51	90.71	1.063	0.664	7300	3089989	2.094078429	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria
bin.69	90.29	2	0.645	6411	2721633	0.204788098	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.76	89.92	2.066	0.657	6380	2466435	12.80918992	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria
bin.81	89.84	1.47	0.595	4846	1906484	27.52505293	Euryarchaeota	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.70	89.67	0.847	0.68	4699	2744797	0.567317243	Bacteria	Bacteria	Bacteria;FCB group;Bacteroidetes;Bacteroidetes;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae;Salinibacter
bin.2	89.63	2.356	0.687	12405	2703765	1.698313997	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.62	89.4	1.869	0.447	268131	1037184	0.108350627	Archaea	Archaea;Candidatus Nanohaloarchaeota;Nanohaloarchaea;Nanohaloarchaea archaeon SG9	Archaea;Candidatus Nanohaloarchaeota;Nanohaloarchaea
bin.24	89.27	1.795	0.65	8023	3353205	0.135792784	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria
bin.77	89.18	1.448	0.73	10870	2670516	9.423363901	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria
bin.18	87.75	1.762	0.696	4711	2778251	0.663819485	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.86	87.64	2.133	0.676	6167	2435471	11.06220146	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.60	87.54	0.634	0.658	8878	2437932	0.948976055	Bacteria	Bacteria	Bacteria;FCB group;Bacteroidetes;Bacteroidetes;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae;Salinibacter
bin.66	87.14	0	0.464	43621	1097787	0.156906153	Archaea	Archaea;Candidatus Nanohaloarchaeota;Nanohaloarchaea;Nanohaloarchaea archaeon SG9	Archaea;Candidatus Nanohaloarchaeota;Nanohaloarchaea
bin.16	86.96	1.276	0.706	4885	2115032	0.855895814	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacterium	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
bin.55	86.13	1.4	0.675	7135	2514956	0.249117575	Halobacteriaceae	Archaea;Euryarchaeota;Halobacteria	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae
