gene	SG1-2014-09-5	SG1-2016-02-1	SG1-2015-06-3	SG1-2015-06-2	SG1-2016-02-4	SG1-2016-02-5	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-2	SG1-2016-02-2	SG1-2017-02-1	SG1-2017-02-5	SG1-2017-02-4	SG1-2017-02-3	SG1-2017-02-2	SG1-2015-06-1	SG1-2016-02-3	SG1-2015-06-5	SG1-2014-09-1	SG1-2015-06-4
putative_dolichyl-phosphate-mannose--protein_mannosyltransferase	6	3	2	7	6	0	6	2	4	2	4	4	3	3	1	1	1	3	3	2
2-methyl-6-phytyl-1,4-hydroquinone_methyltransferase	8	2	0	0	1	0	0	0	1	1	2	0	0	2	1	2	4	0	1	0
Adenosylcobinamide-GDP_ribazoletransferase	0	2	0	1	2	0	0	1	0	1	1	0	1	0	0	1	0	0	0	1
3-oxoacyl-[acyl-carrier-protein]_synthase_3	2	2	1	1	0	1	1	1	3	0	1	2	2	1	1	3	2	0	0	0
Beta-phosphoglucomutase	0	1	2	2	1	0	0	1	1	0	0	1	0	2	0	1	1	0	1	2
N-acetylglucosamine-6-phosphate_deacetylase	6	3	2	6	0	1	1	3	2	2	2	1	2	6	1	0	0	2	5	4
Transcription_termination_antitermination_protein_NusG	0	1	1	1	0	1	3	0	1	0	0	0	2	9	2	0	0	0	1	0
Glycerol-3-phosphate_dehydrogenase_[NAD(P)+]	2	3	0	1	3	2	2	1	0	1	4	2	3	3	0	0	0	1	1	0
N_utilization_substance_protein_B	0	0	0	0	1	3	2	1	0	2	1	0	0	0	2	2	1	1	0	0
Dephospho-CoA_kinase	3	1	0	1	0	0	2	1	2	2	2	0	0	2	1	2	1	0	2	0
Isocitrate_dehydrogenase_[NADP]	6	1	2	3	1	0	1	2	3	1	4	0	0	1	1	0	2	0	2	0
Leucine_dehydrogenase	0	6	0	1	1	2	0	2	0	2	1	1	2	2	2	1	2	0	0	0
Anti-sigma-B_factor_antagonist	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	2	0
ATP_synthase_subunit_alpha	2	0	0	1	1	0	1	0	2	1	2	5	2	5	4	2	3	0	1	1
Glutamyl-tRNA_reductase	0	3	1	3	2	2	1	0	1	0	2	1	3	1	0	4	2	1	3	2
Cyanate_hydratase	0	0	0	2	1	1	0	1	2	0	1	1	1	0	2	2	0	1	0	0
Superoxide_dismutase_[Cu-Zn]	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0
dTDP-4-dehydrorhamnose_reductase	2	1	2	1	3	1	3	2	1	2	2	1	6	1	1	1	0	0	0	1
tRNA-Leu(caa)	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
S-adenosylmethionine:tRNA_ribosyltransferase-isomerase	1	1	3	2	0	2	2	2	1	2	2	1	3	1	1	2	0	2	0	3
Pyridoxine_5'-phosphate_synthase	1	0	1	0	0	0	1	1	1	0	0	2	1	0	0	4	0	2	2	1
High-affinity_zinc_uptake_system_membrane_protein_ZnuB	3	7	9	1	3	5	9	6	0	11	36	0	0	0	11	3	3	4	83	0
DNA_primase	3	5	2	4	86	6	4	2	6	4	11	6	8	0	0	3	5	1	1	4
Cobalamin_biosynthesis_protein_CobD	2	4	1	1	0	0	1	0	0	2	0	3	4	2	2	2	1	2	1	0
3-octaprenyl-4-hydroxybenzoate_carboxy-lyase	2	1	2	1	2	1	2	0	0	1	2	1	1	0	1	2	0	0	1	1
Metalloprotease_MmpA	1	4	4	4	5	1	2	2	3	1	0	5	3	3	1	0	2	3	3	1
Formamidopyrimidine-DNA_glycosylase	6	3	7	6	1	0	1	0	5	2	0	3	1	0	3	5	0	4	3	0
Type_IV_pilus_biogenesis_and_competence_protein_PilQ	1	8	1	2	4	3	2	2	1	1	12	4	0	3	4	0	3	1	2	1
Modulator_of_FtsH_protease_HflK	0	0	0	2	1	0	0	0	1	1	0	0	0	3	1	1	0	0	0	1
Sec-independent_protein_translocase_protein_TatAy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ferrichrome-iron_receptor	7	9	7	6	3	1	2	0	6	2	3	5	3	8	2	4	2	3	5	4
DNA_repair_protein_RadA	0	1	2	3	3	2	2	0	7	4	5	3	0	1	1	4	1	3	4	0
Nuclease_SbcCD_subunit_D	4	0	2	3	3	2	4	3	4	3	0	2	3	0	2	0	2	1	0	0
Sec-independent_protein_translocase_protein_TatAd	0	0	3	2	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0
Cobyric_acid_synthase	1	6	1	3	9	6	6	4	7	0	5	5	7	7	1	4	5	1	6	1
Protein_translocase_subunit_SecA	7	0	3	6	0	0	2	0	4	3	20	3	2	2	4	7	3	2	4	5
GTPase_Der	7	2	1	4	0	0	1	3	0	6	2	3	0	0	1	4	4	3	2	2
Inosine-5'-monophosphate_dehydrogenase	1	0	0	1	0	0	0	0	0	1	1	4	0	1	3	1	2	0	1	0
putative_cardiolipin_synthase_YwiE	4	1	1	1	2	1	4	1	3	1	2	3	2	2	1	4	2	0	0	1
Putative_cation_transport_regulator_ChaB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
