=====Result of the physicochemical property for each protein======

Pro_id	Hydrophobicity	MW	Half_life	pI
MOAKECDD_00001	-1.063	9902.968	4.4	4.93
MOAKECDD_00002	-0.1954	12277.696	0.8	4.15
MOAKECDD_00003	0.01	68898.579	7.2	5.38
MOAKECDD_00004	-0.2619	10356.691	1.9	5.07
MOAKECDD_00005	0.5008	13809.941	1.4	4.84
MOAKECDD_00006	-0.6269	24060.942	1	4.79
MOAKECDD_00007	-0.5648	21495.674	20	4.42
MOAKECDD_00008	-0.3475	40158.874	7.2	5.84
MOAKECDD_00009	-0.6336	84062.798	30	4.78
MOAKECDD_00010	-0.1128	25269.498	4.4	5.55
MOAKECDD_00011	0.7987	47923.782	30	9.5
MOAKECDD_00012	-0.3718	27095.892	1.1	4.67
MOAKECDD_00013	-0.1598	37635.958	30	4.43
MOAKECDD_00014	0.5576	34279.984	1.9	5.16
MOAKECDD_00015	0.8675	31888.031	1	9.84
MOAKECDD_00016	-0.4818	32743.829	1.9	4.66
MOAKECDD_00017	-0.3701	27499.118	20	4.79
MOAKECDD_00018	-0.1617	112094.711	1	3.74
MOAKECDD_00019	-0.0725	83579.804	1	4.07
MOAKECDD_00020	-0.3563	256721.716	20	3.68
MOAKECDD_00021	-0.626	65488.096	1	4.45
MOAKECDD_00022	-0.3043	37010.811	20	4.79
MOAKECDD_00023	-0.4229	58719.216	1.1	4.33
MOAKECDD_00024	-0.0622	32255.102	1.9	4.57
MOAKECDD_00025	0.6724	50612.315	1.1	5.6
MOAKECDD_00026	-0.361	56813.798	1.9	4.89
MOAKECDD_00027	-0.319	64230.1	20	5.96
MOAKECDD_00028	-0.6817	6123.631	1	4.61
MOAKECDD_00029	-0.1678	41052.459	1.1	9.57
MOAKECDD_00030	-0.0426	92021.193	1.9	4.4
MOAKECDD_00031	0.244	32421.897	1.4	4.6
MOAKECDD_00032	-0.1869	30352.122	20	5.21
MOAKECDD_00033	-0.5727	20654.623	1.1	3.99
MOAKECDD_00034	-0.3976	47628.007	1.3	4.75
MOAKECDD_00035	-0.4953	87667.958	1.9	5.74
MOAKECDD_00036	-0.5073	27596.959	3.5	6.48
MOAKECDD_00037	0.59	24743.269	20	9.71
MOAKECDD_00038	0.2295	33854.883	1.4	5.52
MOAKECDD_00039	-0.1762	53949.373	1.9	4.34
MOAKECDD_00040	-0.1423	17983.701	30	8.84
MOAKECDD_00041	-0.464	90601.423	4.4	5.11
MOAKECDD_00042	0.0905	12516.047	1.1	4.46
MOAKECDD_00043	-0.3453	25658.004	1.9	4.94
MOAKECDD_00044	-0.4425	28554.504	20	4.2
MOAKECDD_00045	-0.3865	25894.948	1.9	4.6
MOAKECDD_00046	-0.3483	34140.1	7.2	5.19
MOAKECDD_00047	-0.3155	21890.198	7.2	4.4
MOAKECDD_00048	-0.4017	12953.689	1.9	4.93
MOAKECDD_00049	-0.7021	15733.413	20	4.9
MOAKECDD_00050	-0.3702	24681.924	4.4	4.83
MOAKECDD_00051	-0.0417	24738.915	20	4.82
MOAKECDD_00052	0.1448	5981.793	7.2	4.66
MOAKECDD_00053	0.5882	34243.095	1.9	9.69
MOAKECDD_00054	-0.0756	18322.789	20	5.2
MOAKECDD_00055	-0.4214	20745.197	1.9	4.32
MOAKECDD_00056	-0.3725	22761.809	1.9	6.1
MOAKECDD_00057	-0.1994	24294.612	1.1	5.6
MOAKECDD_00059	-0.608	74572.892	4.4	4.52
MOAKECDD_00060	-1.0522	18183.708	100	6.09
MOAKECDD_00061	-1.5384	7586.158	20	12.03
MOAKECDD_00062	-1.1199	13846.011	20	10.88
MOAKECDD_00063	-0.5665	38304.748	1.9	4.6
MOAKECDD_00064	-0.8999	7952.488	1	3.87
MOAKECDD_00065	-0.9683	6216.695	30	5.03
MOAKECDD_00066	-0.2642	12373.752	20	3.99
MOAKECDD_00067	-0.2292	10037.325	2.8	4.69
MOAKECDD_00068	0.4935	31412.669	20	5.95
MOAKECDD_00069	-0.0999	26880.709	20	6.45
MOAKECDD_00070	-0.8519	10842.902	1.9	4.62
MOAKECDD_00071	-0.2551	105389.686	20	4.32
MOAKECDD_00072	-0.7842	8262.344	7.2	5.57
MOAKECDD_00073	-0.8127	9154.402	1.3	6.6
MOAKECDD_00074	-0.3891	42582.566	7.2	4.75
MOAKECDD_00075	-0.5183	24973.042	1.9	7.04
MOAKECDD_00076	-0.712	10024.102	1	6.55
MOAKECDD_00077	-0.593	25432.351	7.2	4.68
MOAKECDD_00078	-0.3313	20278.768	1.9	5.18
MOAKECDD_00079	-0.3949	37329.857	1	4.84
MOAKECDD_00080	-0.2823	30914.735	2.8	5.28
MOAKECDD_00081	-0.5502	17270.979	1.9	4.17
MOAKECDD_00082	-0.3759	29830.476	1.1	4.57
MOAKECDD_00083	-0.6169	5763.642	1	9.3
MOAKECDD_00084	-0.2335	27657.817	4.4	4.71
MOAKECDD_00085	-0.1231	47647.08	1	4.26
MOAKECDD_00086	-0.1885	47882.346	1	5.77
MOAKECDD_00087	-0.7431	51233.989	5.5	5.05
MOAKECDD_00088	0.1074	10207.64	7.2	4.97
MOAKECDD_00089	-0.1803	23811.866	5.5	5.77
MOAKECDD_00090	-0.2113	44212.639	4.4	4.53
MOAKECDD_00091	-0.9116	40424.796	7.2	4.77
MOAKECDD_00092	-0.447	17628.949	1.4	4.64
MOAKECDD_00093	-0.6178	62515.407	1	4.28
MOAKECDD_00094	-0.8185	106975.849	4.4	4.37
MOAKECDD_00095	-0.7582	15619.495	1.9	4.87
MOAKECDD_00096	-0.3553	26539.042	1.9	5.1
MOAKECDD_00097	-0.388	34763.114	1.3	4.99
MOAKECDD_00098	-1.0454	10508.777	20	5.55
MOAKECDD_00099	-0.3574	78688.42	1.4	4.6
MOAKECDD_00100	-0.3868	36267.192	3.5	4.64
MOAKECDD_00101	-0.5305	31464.088	2.8	4.46
MOAKECDD_00102	0.5634	14309.887	0.8	10.47
