=====Result of the physicochemical property for each protein======

Pro_id	Hydrophobicity	MW	Half_life	pI
AIGHFNOK_00001	-0.5663	16527.888	4.4	3.81
AIGHFNOK_00002	-1.2912	12796.654	3.5	4.43
AIGHFNOK_00003	0.3635	81611.725	1.9	4.23
AIGHFNOK_00004	-0.4859	82495.306	7.2	3.91
AIGHFNOK_00005	-0.1684	11266.315	4.4	4.25
AIGHFNOK_00006	-0.4308	25165.172	30	4
AIGHFNOK_00007	-0.3874	65172.943	20	4.06
AIGHFNOK_00008	-0.412	27620.978	1.3	4.28
AIGHFNOK_00009	-0.443	62248.464	20	4.11
AIGHFNOK_00010	0.6375	11919.806	4.4	5.32
AIGHFNOK_00011	-0.9844	20994.543	1.9	10.56
AIGHFNOK_00012	-0.2272	7007.757	7.2	4.37
AIGHFNOK_00013	-0.5879	48965.153	1.4	4.6
AIGHFNOK_00014	-0.7728	17280.122	1.9	4.97
AIGHFNOK_00015	-0.7216	12908.154	1.9	4.86
AIGHFNOK_00016	-0.5904	30634.771	4.4	5.01
AIGHFNOK_00017	-1.5339	6072.803	1.9	9.51
AIGHFNOK_00018	-0.9289	7756.252	1.4	4.19
AIGHFNOK_00019	-0.9037	14725.95	100	4.78
AIGHFNOK_00020	-0.904	16057.397	1.9	4.25
AIGHFNOK_00021	-0.3118	6169.779	1.4	3.94
AIGHFNOK_00022	-0.4216	19831.741	4.4	4.1
AIGHFNOK_00023	-0.6919	41799.321	4.4	4.27
AIGHFNOK_00024	-0.7937	12410.709	7.2	5.62
AIGHFNOK_00025	-0.7682	7053.745	4.4	4.44
AIGHFNOK_00026	-0.4448	31143.764	7.2	4.58
AIGHFNOK_00027	-0.5844	6588.4	20	5.43
AIGHFNOK_00028	0.5554	6423.367	7.2	4.49
AIGHFNOK_00029	-0.6631	20006.86	20	4.45
AIGHFNOK_00030	-0.6346	16240.878	4.4	4.37
AIGHFNOK_00031	-0.5512	12583.693	4.4	4.19
AIGHFNOK_00032	0.3254	14212.432	100	10.01
AIGHFNOK_00033	-0.6987	18672.683	7.2	4.9
AIGHFNOK_00034	-0.7478	16297.829	1.9	5.11
AIGHFNOK_00035	0.9672	6781.154	7.2	11.06
AIGHFNOK_00036	-1.0579	19179.839	1.1	4.26
AIGHFNOK_00037	-0.5462	8843.794	1.1	4.45
AIGHFNOK_00038	-0.7578	8184.832	5.5	4.22
AIGHFNOK_00039	-0.4019	10993.073	1.1	4.01
AIGHFNOK_00040	-0.8618	4598.983	1.3	4.03
AIGHFNOK_00041	-0.3306	49328.069	7.2	4.28
AIGHFNOK_00042	-0.9438	30883.205	1.9	4.27
AIGHFNOK_00043	-0.6725	12494.64	1	4.5
AIGHFNOK_00044	-0.667	70212.453	20	5.39
AIGHFNOK_00045	-0.2594	12709.178	0.8	4.52
AIGHFNOK_00046	-0.2174	6220.943	4.4	5.43
AIGHFNOK_00047	-0.7251	17517.299	1.3	4.32
AIGHFNOK_00048	-0.7709	14577.877	7.2	4.58
AIGHFNOK_00049	-0.686	143836.444	30	3.96
AIGHFNOK_00050	-0.8279	17561.904	7.2	3.96
AIGHFNOK_00051	-0.8042	39608.832	7.2	4.96
AIGHFNOK_00052	-0.9461	17543.269	1.9	5.34
AIGHFNOK_00053	-0.5485	57859.329	1.1	3.84
AIGHFNOK_00054	-0.0345	15894.296	4.4	3.83
AIGHFNOK_00055	-0.4708	40568.564	1.9	4.15
AIGHFNOK_00056	-1.1529	16135.537	7.2	3.91
AIGHFNOK_00057	-0.7507	13243.45	4.4	4.86
AIGHFNOK_00058	-0.6837	16838.34	20	4.3
AIGHFNOK_00059	-0.5863	20160.485	1.9	5.49
AIGHFNOK_00060	-0.3755	19102.128	7.2	4.4
AIGHFNOK_00061	-0.7495	14333.404	7.2	4.03
