=====Result of the physicochemical property for each protein======

Pro_id	Hydrophobicity	MW	Half_life	pI
IKFDHMNE_00001	0.0154	4229.812	1	4.49
IKFDHMNE_00002	-0.6231	31256.268	1.4	5.15
IKFDHMNE_00003	-0.0562	111500.124	7.2	5.91
IKFDHMNE_00004	-0.5798	58869.179	7.2	7.73
IKFDHMNE_00005	-0.5054	32628.711	1	5.01
IKFDHMNE_00006	0.6634	48099.554	0.8	5.52
IKFDHMNE_00007	1.0885	9886.951	4.4	9.39
IKFDHMNE_00008	-0.0926	40739.342	1.3	4.97
IKFDHMNE_00009	-0.684	12081.194	1	4.2
IKFDHMNE_00010	0.0362	14748.383	30	9.99
IKFDHMNE_00011	-0.1447	42799.375	1.1	5.43
IKFDHMNE_00012	-0.6898	18291.563	1	4.96
IKFDHMNE_00013	-0.5313	19955.489	1	4.52
IKFDHMNE_00014	-0.2449	56855.798	1.9	5.84
IKFDHMNE_00015	-0.4113	18159.743	20	9.12
IKFDHMNE_00016	-0.5548	76937.026	1	5.77
IKFDHMNE_00017	-0.1461	18042.946	1.9	4.75
IKFDHMNE_00018	-0.2348	24531.385	1.3	8.96
IKFDHMNE_00019	-0.0578	33967.661	100	4.64
IKFDHMNE_00020	-0.3558	11674.226	4.4	4.86
IKFDHMNE_00021	-0.0603	22954.107	20	5.61
IKFDHMNE_00022	0.0931	16216.701	0.8	5.03
IKFDHMNE_00023	-0.3871	49178.104	5.5	9.1
IKFDHMNE_00024	0.3675	55490.515	1.1	6.18
IKFDHMNE_00025	-0.5726	7535.511	100	6.7
IKFDHMNE_00026	-0.4454	3819.484	0.8	11
IKFDHMNE_00027	-0.0721	19253.935	1.9	6.23
IKFDHMNE_00028	-0.8494	12184.635	0.8	4.61
IKFDHMNE_00029	-0.3466	72617.735	1.9	5.76
IKFDHMNE_00030	0.0366	14585.068	5.5	4.9
IKFDHMNE_00031	-0.3617	80442.288	3.5	9.07
IKFDHMNE_00032	-0.2413	35518.111	1.1	5.23
IKFDHMNE_00033	-0.4249	23764.75	4.4	5.11
IKFDHMNE_00034	-0.279	15314.378	1.3	7.81
IKFDHMNE_00035	-0.1619	53307.214	1	5.94
IKFDHMNE_00036	0.1203	35049.283	1.3	8.54
IKFDHMNE_00037	0.0714	21887.055	7.2	5.11
IKFDHMNE_00038	-0.2195	20882.632	2.8	5.05
IKFDHMNE_00039	-0.2297	14419.765	0.8	7.94
IKFDHMNE_00040	-0.4219	51598.156	7.2	9.22
IKFDHMNE_00041	0.1723	34522.435	7.2	5.51
IKFDHMNE_00042	0.9798	9403.271	4.4	7.65
IKFDHMNE_00043	-0.945	11844.166	7.2	5.3
IKFDHMNE_00044	-0.0176	43132.081	30	4.83
IKFDHMNE_00045	0.7676	11180.026	1.1	6.22
IKFDHMNE_00046	0.1131	34084.789	3.5	4.03
IKFDHMNE_00047	-0.3704	21758.613	1.9	4.55
IKFDHMNE_00048	-0.3021	23571.719	4.4	4.4
IKFDHMNE_00049	-0.3541	36326.639	1.9	4.7
IKFDHMNE_00050	-0.3978	31282.021	1.1	4.66
IKFDHMNE_00051	-0.0956	37260.092	1.4	4.97
IKFDHMNE_00052	-0.3424	25481.165	4.4	4.59
IKFDHMNE_00053	-0.2898	61778.759	1.4	4.49
IKFDHMNE_00054	-0.3429	38762.692	30	4.99
IKFDHMNE_00055	-0.1649	24908.228	1.3	4.65
IKFDHMNE_00056	-0.4337	73905.308	4.4	5.03
IKFDHMNE_00057	-0.3506	52773.061	0.8	4.45
IKFDHMNE_00058	-0.4838	41012.711	4.4	4.43
IKFDHMNE_00059	-0.4671	58772.165	1.4	4.69
IKFDHMNE_00060	0.4745	5660.632	1.4	6.69
IKFDHMNE_00061	0.6765	64179.361	4.4	5.25
IKFDHMNE_00062	-0.4897	128971.854	5.5	4.96
IKFDHMNE_00063	-0.4164	92086.105	3.5	5.7
IKFDHMNE_00064	0.3962	14177.718	1	8.65
IKFDHMNE_00065	0.3023	4638.405	7.2	5.97
IKFDHMNE_00066	-0.6856	54499.807	1	5.63
IKFDHMNE_00067	-0.3954	126944.138	1.9	5.15
IKFDHMNE_00068	-0.6248	57072.43	3.5	4.79
IKFDHMNE_00069	-0.5806	66413.644	30	4.72
IKFDHMNE_00070	-0.9708	12137.607	20	6.6
IKFDHMNE_00071	-0.4102	64079.079	3.5	4.56
IKFDHMNE_00072	-0.5485	70394.018	1.3	4.74
IKFDHMNE_00073	-0.4955	118212.891	7.2	4.56
IKFDHMNE_00074	-0.2745	21587.799	7.2	10.57
IKFDHMNE_00075	-0.6105	114457.026	100	4.51
IKFDHMNE_00076	-0.6316	43791.091	1.1	4.85
IKFDHMNE_00077	0.5561	45856.774	20	6.02
IKFDHMNE_00078	-0.0999	22458.846	1.3	9.74
IKFDHMNE_00079	-0.3842	31084.06	1.4	5.08
IKFDHMNE_00080	-0.2787	43795.774	1	6.39
IKFDHMNE_00081	0.4888	53021.351	1.4	9.6
IKFDHMNE_00082	-0.2008	36151.694	1	5.6
IKFDHMNE_00083	-0.246	57828.386	20	5.85
IKFDHMNE_00084	-0.5532	118695.61	5.5	4.48
IKFDHMNE_00085	-0.2704	49686.206	1.2	5.3
IKFDHMNE_00086	-0.4358	48989.897	1.9	5.1
IKFDHMNE_00087	-0.584	23167.941	20	4.87
IKFDHMNE_00088	-0.182	27102.937	20	6.39
IKFDHMNE_00089	0.1785	58556.202	1.4	5.48
IKFDHMNE_00090	0.5618	45990.611	1.1	6.89
IKFDHMNE_00091	0.6143	31680.303	1.9	6.11
IKFDHMNE_00092	-0.254	43364.988	1.9	5.27
IKFDHMNE_00093	-0.3321	48906.729	1.3	5.92
IKFDHMNE_00094	-0.6278	35084.651	100	6.01
IKFDHMNE_00095	-0.5018	30919.892	1.9	5.15
IKFDHMNE_00096	-0.6253	24471.588	1.4	7.71
IKFDHMNE_00097	-0.3468	46761.784	7.2	5.6
IKFDHMNE_00098	-0.1649	38026.3	1.4	4.84
IKFDHMNE_00099	-0.4876	27409.009	20	5.01
IKFDHMNE_00100	-0.7114	39821.073	1.4	6.57
IKFDHMNE_00101	-0.6415	34363.597	1.1	5.95
IKFDHMNE_00102	-0.4629	37446.166	1.9	5.34
IKFDHMNE_00103	-0.5179	14180.372	1.4	8.64
IKFDHMNE_00104	-0.5646	25127.395	3.5	8.76
IKFDHMNE_00105	0.1941	5406.203	30	4.93
IKFDHMNE_00106	-0.7586	47675.854	0.8	6.05
IKFDHMNE_00107	-0.4906	51075.837	1	4.62
IKFDHMNE_00108	-0.6251	36531.096	20	5.52
IKFDHMNE_00109	-0.5587	39063.361	7.2	6.9
IKFDHMNE_00110	-0.2767	35232.564	1.9	4.67
IKFDHMNE_00111	-0.4136	45663.193	1.1	4.87
IKFDHMNE_00112	-0.3215	31662.378	1.9	9.29
IKFDHMNE_00113	-0.5352	34967.986	1.3	8.97
IKFDHMNE_00114	-0.5477	22546.095	30	5.27
IKFDHMNE_00115	-0.3204	46148.373	1	6.5
IKFDHMNE_00116	-0.135	20805.038	20	5.97
IKFDHMNE_00117	-0.7267	17551.58	4.4	5.04
IKFDHMNE_00119	-0.1994	22830.381	5.5	4.24
IKFDHMNE_00120	-0.0802	16907.636	1.9	4.84
IKFDHMNE_00121	-0.1585	41907.722	1.1	5.73
IKFDHMNE_00122	-0.6682	20571.307	20	9.91
IKFDHMNE_00123	0.192	29606.096	1	4.77
IKFDHMNE_00124	-0.1524	69452.507	3.5	6.06
IKFDHMNE_00125	-0.362	134665.134	1.3	4.83
IKFDHMNE_00126	-0.1278	24156.499	1.4	5.52
IKFDHMNE_00127	1.0054	46216.074	4.4	9.87
IKFDHMNE_00128	0.7921	34960.469	1.9	8.57
IKFDHMNE_00131	0.0899	38934.245	5.5	5.92
IKFDHMNE_00132	0.5314	5730.761	1.3	8.18
IKFDHMNE_00133	-0.163	30153.164	30	4.94
IKFDHMNE_00134	0.0432	10215.057	20	5.81
